Block,Time,BSIUL,ANTA_RF,AURY_GF,URI,ANTA_GF,TEHRI,CHAMERA2,TANAKPUR,RIHAND1,DADRI_LF,KISHANGANGA,RIHAND3,RAPPB,URI2,KOLDAM,SINGRAULI,AURY_LF,UNCHAHAR3,RAPPC,UNCHAHAR2,RIHAND2,AURY_CRF,PARBATI3,DULHASTI,KOTESHWR,ANTA_CRF,DADRI_CRF,NJPC,SALAL,DADRT2,DADRI_GF,NAPP,TANDA2,DADRI_RF,UNCHAHAR4,DHAULIGNGA,ANTA_LF,CHAMERA3,CHAMERA1,UNCHAHAR1,JHAJJAR,SEWA2,AURY_RF,RAMPUR,SINGRAULI_HYDRO,BRBCL,TALA,SASAN,KHSTPP-I,FSTPP I & II,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.924666,47.284856,0.000000,33.642302,0.000000,10.020881,46.918734,0.247848,93.891893,0.000000,5.379164,126.226312,0.000000,34.008786,4.486223,145.002515,0.000000,26.737950,66.748813,21.718130,120.325212,0.000000,0.000000,57.246285,8.921851,0.000000,0.000000,53.252796,64.636831,665.973587,0.000000,49.035723,5.183415,98.518517,2.989266,0.000000,0.000000,33.695754,27.182702,21.892262,534.140333,18.187717,77.637774,2.056015,0.754252,17.624950,0.000000,404.574613,44.886470,13.581329,143.465420,0,0,0,0,0

2,00:15-00:30,18.924666,47.284856,0.000000,33.642302,0.000000,0.000000,46.918734,0.247848,93.891919,0.000000,5.379164,126.226352,0.000000,34.008786,2.243111,145.002570,0.000000,26.737950,66.748813,21.718130,120.325212,0.000000,0.000000,57.246285,8.921851,0.000000,0.000000,53.252796,76.788555,665.973587,0.000000,49.035723,5.183415,91.675576,2.989266,0.000000,0.000000,33.695754,27.182702,21.892262,534.140333,18.187717,37.838833,2.056015,0.754252,19.348024,0.000000,405.118098,44.886470,13.581329,143.465420,0,0,0,0,0

3,00:30-00:45,18.924666,10.084607,0.000000,33.642302,0.000000,0.000000,46.918734,0.495696,93.891919,0.000000,5.379164,126.226352,0.000000,34.008786,1.812615,145.002570,0.000000,26.737950,66.748813,21.718130,120.325212,0.000000,0.000000,57.246285,8.921851,0.000000,0.000000,53.252796,76.788555,665.973587,0.000000,49.035723,5.183415,51.044776,2.989266,0.000000,0.000000,33.695754,27.182702,21.892262,534.140333,18.187717,0.273953,2.056015,0.754252,17.757362,0.000000,405.118098,44.886470,13.581329,143.465420,0,0,0,0,0

4,00:45-01:00,18.924666,0.000000,0.000000,33.642302,0.000000,0.000000,46.918734,0.495696,93.891919,0.000000,5.379164,126.226352,0.000000,34.008786,0.000000,145.002570,0.000000,26.737950,66.748813,21.718130,120.325212,0.000000,0.000000,57.246285,8.921851,0.000000,0.000000,53.252796,76.788555,665.973587,0.000000,49.035723,5.183415,11.620427,2.989266,0.000000,0.000000,33.695754,27.182702,21.892262,534.140333,18.187717,0.000000,2.056015,0.754252,17.013313,0.000000,405.118098,44.886470,13.581329,143.465420,0,0,0,0,0

5,01:00-01:15,18.924666,0.000000,0.000000,33.642302,0.000000,0.000000,46.918734,0.495696,93.891919,0.000000,5.379164,126.226352,0.000000,34.008786,0.000000,145.002570,0.000000,26.737950,66.748813,21.718130,120.325212,0.000000,0.000000,57.246285,8.921851,0.000000,0.000000,53.252796,76.788555,665.973587,0.000000,49.035723,5.183415,0.000000,2.989266,0.000000,0.000000,33.695754,27.182702,21.892262,534.140333,18.187717,0.000000,2.056015,0.754252,13.914885,0.000000,405.118098,44.886470,13.581329,143.465420,0,0,0,0,0

6,01:15-01:30,18.924666,0.000000,0.000000,33.642302,0.000000,0.000000,46.918734,0.495696,93.891919,0.000000,5.379164,126.226352,0.000000,34.008786,0.000000,145.002570,0.000000,26.737950,66.748813,21.718130,120.325212,0.000000,0.000000,57.246285,8.921851,0.000000,0.000000,53.252796,76.788555,665.973587,0.000000,49.035723,5.183415,0.000000,2.989266,0.000000,0.000000,33.695754,27.182702,21.892262,534.140333,18.187717,0.000000,2.056015,0.754252,13.485983,0.000000,405.118098,44.886470,13.581329,143.465420,0,0,0,0,0

