Block,Time,DADRT2,CHAMERA3,CHAMERA2,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,SEWA2,JHAJJAR,RIHAND2,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,DULHASTI,SINGRAULI_HYDRO,KOLDAM,NJPC,RAPPC,TEHRI,DHAULIGNGA,TANDA2,RIHAND3,SINGRAULI,KISHANGANGA,NAPP,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,KGSU1AND2,NTPL,MAPS,KGSU3AND4,KKNP,KKNPPU2,FSTPP I & II,KHSTPP-II,KHSTPP-I,TALA,BRBCL,SASAN
1,00:00-00:15,688.715947,23.197435,48.499828,4.144743,3.094586,35.154834,27.638981,44.906625,18.800617,459.317829,124.384996,10.375318,0,0.939444,97.055943,19.725135,0.779669,0,24.515009,33.911501,24.382481,0,5.534073,63.038967,149.98895,5.493709,51.870006,13.983,0,35.328,0.6405,76.692,0,0,108.62768,0,0,0,83.597975,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.302375,46.39908,0,20.0018,418.77

2,00:15-00:30,688.715947,23.197435,48.499828,5.328955,3.094586,35.154834,27.638981,44.906625,18.800617,504.727829,124.384996,10.375318,0,0.939444,97.055943,19.725135,0.779669,0,24.515009,33.911501,24.382481,0,5.534073,63.038967,149.98895,5.493709,51.870006,13.983,0,35.328,0.6405,76.692,0,0,108.62768,0,0,0,83.597975,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.302375,46.39908,0,20.0018,418.77

3,00:30-00:45,688.715947,23.197435,48.499828,5.328955,3.094586,35.154834,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.939444,97.055943,19.725135,0.779669,0,24.515009,33.911501,24.382481,0,5.534073,63.038967,149.98895,5.493709,51.870006,13.983,0,35.328,0.6405,79.37622,0,0,108.62768,0,0,0,83.597975,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.302375,46.39908,0,20.0018,418.77

4,00:45-01:00,688.715947,23.197435,48.499828,6.513169,3.094586,35.154834,27.638981,44.906625,18.800617,674.817829,124.384996,10.375318,0,0.939444,97.055943,19.725135,0.779669,0,24.515009,33.911501,24.382481,0,5.534073,63.038967,149.98895,5.493709,51.870006,13.983,0,35.328,0.6405,79.37622,0,0,108.62768,0,0,0,83.597975,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.302375,46.39908,0,20.0018,418.77

5,01:00-01:15,688.715947,23.197435,48.499828,6.513169,3.094586,35.154834,27.638981,44.906625,18.800617,674.817829,124.384996,20.750636,0,0.939444,97.055943,19.725135,0.779669,0,24.515009,33.911501,24.382481,0,5.534073,63.038967,149.98895,5.493709,51.870006,13.983,0,13.248,0.6405,79.37622,0,0,108.62768,0,0,0,83.597975,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.302375,46.39908,0,20.0018,418.77

