Time,Block,NR/2024/21485/A/27773,NR/2024/21159/A/27479,NR/2024/21173/A/27486,NR/2024/21142/A/27434,NR/2024/21199/A/27456,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21158/A/27478,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20711/A/27774,NR/01102023/23072042/L_NR_2012_04,NR/2024/21096/A/27741,NR/2024/21072/A/27725,NR/2024/21622/C,NR/2024/21186/A/27734,NR/2024/21659/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21150/A/27472,NR/2024/20688/A/27488,NR/2024/21108/A/27738,NR/2024/21567/A/27722,NR/2024/21210/A/27433,NR/01072024/31072024/R2,NR/2024/20966/A/27426,NR/2024/21023/A/27458,NR/2024/21141/A/27435,NR/2024/21146/A/27474,NR/2024/21062/A/27693,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20931/A/27659,NR/2024/21148/A/27473,NR/2024/21113/A/27723,NR/2024/21144/A/27516,NR/2024/19779/A/27407,NR/2024/21075/A/27671,NR/30092023/31122025/SH-07,NR/2024/21626/C,NR/2024/20573/A/27695,NR/2024/21103/A/27740,NR/2024/21339/A/27431,NR/2024/21076/A/27668,NR/2024/20574/A/27694,NR/18072024/18072024/IEX_240717_01569,NR/30092023/26122029/SH-06,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21630/C,NR/2024/21653/C,NR/2024/21183/A/27669,NR/2024/21087/A/27487,NR/2024/21160/A/27475,NR/2024/21623/C,NR/2024/21089/A/27724,NR/2024/21632/C,NR/2024/21619/C,NR/2024/21625/C,NR/2024/21633/C,NR/2024/21629/C,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21099/A/27436,NR/2024/21227/A/27739,NR/2024/21152/A/27425,NR/2024/21156/A/27477,NR/2024/21153/A/27476,NR/2024/21238/A/27672,NR/2024/21496/A/27735,NR/2024/21500/A/27284,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/21618/C,Total
,,TPDDL,MHIL,GMRETL,TPTCL,INSTINCT,TPDDL,NDMC,MSSH,APPCPL,INSTINCT,TPTCL,TPDDL,TPTCL,APPCPL,NVVNL,IEXL,NVVNL,HPXL,AEL,BAL234,GMRETL,APPCPL,NVVNL,TPTCL,PTC,IEXL,INSTINCT,TPTCL,BAL184,PTC,NDMC,AEL,BAL224,NVVNL,DTCP,ITCLH,MANIKARAN,BAWANA_GAS,HPXL,PTC,APPCPL,TPTCL,MANIKARAN,PTC,IEXL,PUNJAB,DELHI,INSTINCT,IEXL,DIAPL,MANIKARAN,GMRETL,BMDRC,IEXL,NVVNL,HPXL,NVVNL,HPXL,IEXL,IEXL,MEJA,TPTCL,APPCPL,IEXL,UHL,JHPL-DL,MANIKARAN,APPCPL,DIAPL,SECI_Trader,SECI_Trader,NVVNL,Total

,,NA,HIMACHAL PRADESH,ODISHA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,NA,NA,NA,KERALA,NA,NA,MP,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,RAJASTHAN,MANIPUR,NA,NA,NA,MAHARASHTRA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ANDHRA PRADESH,GOA,DELHI,NA,HIMACHAL PRADESH,UTTARAKHAND,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,DELHI,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,NA,NA,SIKKIM,NA,UTTAR PRADESH,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,KERALA,HIMACHAL PRADESH,NA,NA,NA,
,,JHAJJAR,SHPPBPL,GMRKEL (STU),HP-GOVT,JPL_DHULE,CHANJUII,JITPL,SHPPBPL,Arunachal_Ben,JPL,JITPL,JPL-2,MPL,KSEB,RKM_POWER,JPL-2,JP BINA,GBHHPL,APL_Raigarh TPP,SHPPBPL,RUVNL,Manipur_Ben,TRN_ENERGY,SIMHAPURI,SEILP2,A_A_Energy_MH_Bio,JPL,TPC MSEB,SHPPBPL,SEILP2,SKS Raigarh,APL_Raigarh TPP,SHPPBPL,JPL-2,SHPPBPL,ITCWIND,GOA_Beneficiary,BAWANA_GAS,ACBIL,HP,UTTARAKHAND,JITPL,AEML,HP,JPL,BAWANA_GAS,MSEB_Beneficiary,JPL_DHULE,GEE_HP,GBHHPL,BLAPOWER_MP,GBHHPL,SHPPBPL,IND_BHARAT,RKM_POWER,IEPLBELA2022,KAMENG,JPL,LLHEP1234,JPNIGRIE_JNSTPP,MEJA,ACBIL,Nagaland_Ben,NHCPL_HP,SHPPBPL,SHPPBPL,MMS STEEL TN,KSEB,GBHHPL,SBSRPC11PL_BKN,SBSRPC11PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,MHIL,BRPL,BRPL,BRPL,TPDDL,NDMC,MSSH,BRPL,BRPL,BRPL,TPDDL,TPDDL,BYPL,NDMC,TPDDL,TPDDL,BYPL,BRPL,BAL234,BYPL,BRPL,NDMC,BRPL,BRPL,MES (Delhi),BRPL,BYPL,BAL184,BRPL,NDMC,BRPL,BAL224,NDMC,DTCP,ITCLH,BRPL,HARYANA,BRPL,BRPL,BYPL,BRPL,BYPL,BYPL,BRPL,PUNJAB,TPDDL,BRPL,BRPL,DIAPL,BRPL,BRPL,BMDRC,TPDDL,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,DELHI,BRPL,BYPL,MES (Delhi),UHL,JHPL-DL,BRPL,BYPL,DIAPL,BYPL,TPDDL,MES (Delhi),
,,North-North,North-North,East-North,North-North,West-North,North-North,East-North,North-North,North East-East-North,West-North,East-North,West-North,East-North,South-West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,North-North,South-East-North,West-North,West-North,North-North,West-North,North-North,South-West-North,West-North,North-North,West-North,North-North,North-North,East-North,West-North,North-North,West-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,East-West-North,West-North,West-North,North East-East-North,West-North,East-West-North,West-North,North-North,West-North,North East-East-North,North-North,North-North,North-North,South-West-North,South-West-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,67.020000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,47.870000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.620000,11.670000,32.000000,33.610000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,13.640000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,8.930000,96.040000,0.000000,24.010000,12.150000,1.920000,0.610000,1.580000,2.870000,98.820000,7.680000,0,0,0,2323.68

2,00:15-00:30,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,63.240000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,45.180000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.620000,11.670000,32.000000,33.610000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,13.640000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,8.930000,96.040000,0.000000,24.010000,12.150000,1.920000,0.610000,1.580000,2.710000,100.460000,7.680000,0,0,0,2318.69
