Column1,Time,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,GNA/NR/2025/06/07/5932,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/8128,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/16/5917,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/23/7329,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8154,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/2786,NR/30092023/26122029/SH-06
1,00:00-00:15,0,29.5,26,0,0,29.5,88.5,0,0,72.33,72.34,0,0,0,0,27.61,-0,0,10.51,49.15,0,15.28,19.28,0,10.76,12.67,115.62,0,129.33,96.38,28.26,159.03,0,0,0,0,271.07,18.45,0,0,20.79,6.35,86.93,192.76,4.44,8.53,43.8,32

2,00:15-00:30,0,29.83,26,0,0,29.83,89.51,0,0,73,73,0,0,0,0,27.01,-0,0,10.51,49.15,0,15.28,19.28,0,10.76,12.67,115.62,0,129.33,96.38,28.26,159.03,0,0,0,0,271.07,18.45,0,0,20.79,6.35,86.93,192.76,5.2,8.53,43.8,32

3,00:30-00:45,0,30,26,0,0,30,90,0,0,73.33,73.34,0,0,0,0,26.01,-0,15.39,10.51,49.15,0,15.28,19.28,0,10.76,12.67,115.62,0,129.33,96.38,28.26,159.03,0,0,0,0,271.07,18.45,0,0,20.79,6.35,86.93,192.76,5.91,8.53,43.8,30

4,00:45-01:00,0,30,26,0,0,30,90,0,0,73.33,73.34,0,0,0,0,25.61,-0,23.64,10.51,49.15,0,15.28,19.28,0,10.76,12.67,115.62,0,129.33,96.38,28.77,159.03,0,0,0,0,271.07,18.45,0,0,20.79,6.35,86.93,192.76,5.91,8.53,43.8,30

5,01:00-01:15,0,30.17,26.67,0,0,30.17,90.49,0,0,73.67,73.66,0,0,0,0,28.61,-0,23.64,10.51,49.15,0,15.28,19.28,0,10.76,12.67,115.62,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.36,0,0,20.79,6.17,86.93,192.76,5.91,8.53,43.8,30

6,01:15-01:30,0,30.5,28,0,0,30.5,91.5,0,0,74.33,74.34,0,0,0,0,28.41,-0,23.64,10.51,49.15,0,15.28,19.28,0,10.76,12.67,115.62,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.36,0,0,20.79,6.17,86.93,192.76,5.91,8.53,43.8,30
