Column1,Time,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/7960,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/5285,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/7459,GNA/WR/2025/04/01/4420,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/SR/2025/04/01/2597,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8510,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8456,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,0,22.14,0,2.89,2.8,9.62,8.85,100.27,4.81,31.29,2.89,48.12,260.45,9.62,0,0,1.92,2.89,9.62,52.5,4.99,272.15,3,0,0,0,0,0,80,29.66,33.17,80,33.17,99.49,0,115.09,7.68,0,7.06,30.5,86.82,23.81,0,0,0,0,0,0,0

2,00:15-00:30,0,22.14,0,2.89,2.8,9.62,8.85,100.27,4.81,31.29,2.89,48.12,260.45,9.62,0,0,1.92,2.89,9.62,52.5,4.99,272.15,3,0,0,0,0,0,80,29.66,33.17,80,33.17,99.49,0,115.09,7.68,0,7.06,30.5,86.82,23.81,0,0,0,0,0,0,0

3,00:30-00:45,0,22.14,0,2.89,2.8,9.62,8.85,100.27,4.81,31.29,2.89,48.12,260.45,9.62,0,0,1.92,2.89,9.62,52.5,4.99,272.15,2.8,0,0,0,0,0,80,29,33.17,80,33.17,99.49,0,115.09,7.68,0,7.06,30.5,86.82,23.81,0,0,0,0,0,0,0

4,00:45-01:00,0,22.14,0,2.89,2.8,9.62,8.85,100.27,4.81,31.29,2.89,48.12,260.45,9.62,0,0,1.92,2.89,9.62,52.5,4.99,272.15,2.8,0,0,0,0,0,80,28.66,33.17,80,33.17,99.49,0,115.09,7.68,0,7.06,30.5,86.82,23.81,0,0,0,0,0,0,0

5,01:00-01:15,0,22.14,0,2.89,2.8,9.62,8.75,100.27,4.81,31.29,2.89,48.12,260.45,9.62,0,0,1.92,2.89,9.62,52.5,4.99,272.15,2.6,0,0,0,0,0,80,28.34,33.17,80,33.17,99.49,0,115.09,7.68,0,7.06,30.5,86.82,23.81,0,0,0,0,0,0,0

