Column1,Block,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/4138,NR/2025/26199/A/68443,NR/2025/25855/A/68378,NR/2025/26200/A/68442,NR/2025/26101/A/68151,NR/2025/26286/A/68348,NR/2025/26153/A/67997,NR/2025/26312/A/68388,NR/2025/26265/A/68408,NR/2025/26197/A/68445,NR/2025/26291/A/68406,NR/2025/26202/A/68464,NR/2025/26191/A/68134,NR/2025/26085/A/67993,NR/2025/26198/A/68444,NR/2025/26233/A/68409,NR/2025/26201/A/68441,NR/2025/25858/A/68377,NR/2025/26232/A/68410,NR/2025/26002/A/68370,NR/2025/26289/A/68407,NR/2025/26372/C,NR/2025/26386/C,NR/2025/26362/C,NR/2025/26389/C,GNARE/NR/2024/12/20/3668,NR/2025/26395/C,NR/2025/26409/C,NR/2025/26396/C,NR/2025/26394/C,NR/2025/26388/C,NR/2025/26397/C,NR/2025/26406/C,NR/2025/26390/C,NR/2025/26391/C,NR/2025/26399/C,NR/2025/26402/C,NR/2025/26236/A/67996,NR/2025/26363/C,Total
,,NDMC,PXIL,PowerPulse,PowerPulse,PXIL,PXIL,IEXL,HPXL,PowerPulse,HPXL,PXIL,PXIL,HPXL,IEXL,PXIL,BAWANA_GAS,DELHI,PUNJAB,PowerPulse,APPCPL,PowerPulse,APPCPL,GMRETL,DIAPL,IEXL,IEXL,HPXL,APPCPL,HPXL,NVVNL,PXIL,ITCLH,APPCPL,HPXL,APPCPL,PowerPulse,HPXL,PowerPulse,HPXL,TPDDL,NVVNL,BRPL,HPXL,SECI_Trader,APPCPL,PXIL,APPCPL,HPXL,NVVNL,HPXL,NVVNL,HPXL,HPXL,APPCPL,IEXL,IEXL,BRPL,
,,NA,UTTARPRADESH_STATE,NA,NA,Meghalaya_State,NA,ODISHA_STATE,NA,NA,HIMACHAL_STATE,CSEB_State,ODISHA_STATE,MSEB_State,JK_and_LADAKH_UT,ODISHA_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,TAMILNADU_State,NA,NA,NA,MP_State,NA,NA,ANDHRA_PRADESH_STATE,NA,GEB_State,NA,NA,GEB_State,NA,NA,NA,NA,NA,GEB_State,NA,NA,ODISHA_STATE,NA,NA,NA,NA,NA,GEB_State,MP_State,NA,NA,NA,NA,
,,JIPL,LAPL_UP,APL_Raipur_TPP,COASTGEN,Meghalaya_Ben,SINGOLI,VSL,JPL,MAHAN_ENERGEN,KGEPL_HP,SKSIPL,FACORPOWER,GRETAENERGY,O2ZTPL,FACORPOWER,BAWANA_GAS,CHANJUII,BAWANA_GAS,COASTGEN,JPL2,APL_Raipur_TPP,TRN_ENERGY,GBHHPL,GBHHPL,SURYADEV_ALLOYSTN,MBMP,JPL,SKS_Raigarh,Ultratech_Sidhi_MP,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,ITCWIND,RKM_POWER,PCBL_MUNDRA,RKM_POWER,APL_Raipur_TPP,PCBL_PALEJ,COASTGEN,SIMHAPURI,JHAJJAR,Kameng,DADRT2,PCBL_PALEJ,APSEPL_FTG,JPL2,ODISHA,TRN_ENERGY,JPL,SORANG_HEP,SIMHAPURI,JPNIGRIE_JNSTPP,PCBL_MUNDRA,Ultratech_Sidhi_MP,RKM_POWER,MBMP,TPSL_BKN2,TS1PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,TPDDL,PUNJAB,BRPL,NDMC,TPDDL,NDMC,TPDDL,DIAPL,BRPL,NDMC,BRPL,NDMC,BRPL,TPDDL,BRPL,ITCLH,NDMC,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,TPDDL,NDMC,BYPL,NDMC,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,NDMC,NDMC,MES_Delhi,BRPL,
,,East-North,North-North,West-North,South-East-North,North East-East-North,North-North,East-North,West-North,West-North,North-North,West-North,East-North,West-North,North-North,East-North,North-North,North-North,North-North,South-East-North,West-North,West-North,West-North,North-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,North-North,North East-East-North,North-North,West-North,North-North,West-North,East-North,West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,28.95,28.9,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,14.45,32,13.64,32,0,43.78,144.5,14.59,0,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1762.6000000000001

2,00:15-00:30,28.95,28.9,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,14.45,32,13.64,32,0,43.78,144.5,14.59,0,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1762.6000000000001

