Time,Block,NR/2023/12814/F,NR/2023/11712/A,NR/2023/11266/A,NR/2023/12921/F,NR/2023/12872/F,NR/2023/11709/A,NR/2023/10432/A,NR/2023/13683/D,NR/2023/12923/F,NR/2023/10460/A,NR/2023/10651/A,NR/2023/10959/A,NR/2023/13686/D,NR/2023/12916/F,NR/2023/10436/A,NR/2023/12917/F,NR/2023/13369/F,NR/2023/12915/F,NR/2023/11507/A,NR/2023/13685/D,NR/2023/12169/A,NR/2023/13698/C,NR/2023/12924/F,NR/2023/10786/A,NR/2023/13315/F,NR/2023/12920/F,NR/2023/13053/F,NR/2023/12919/F,NR/2023/10705/A,NR/2023/10956/A,NR/2023/12706/A,NR/2023/10947/A,NR/2023/10435/A,NR/2023/10488/A,NR/2023/11953/A,NR/2023/10650/A,NR/2023/12813/F,NR/2023/12661/A,NR/2023/10720/A,NR/2023/13710/C,NR/2023/12922/F,NR/2023/11888/A,NR/2023/13053/F/II,ER/2023/8416/C,NR/2023/13693/D,NR/2023/13687/D,NR/2023/13684/D,WR/2023/16322/C,Total
,,MANIKARAN,MANIKARAN,TPTCL,SHPPBPL,ITCLH,MANIKARAN,TPTCL,KEIPL,SHPPBPL,GMRETL,KEIPL,NVVNL,NVVNL,SHPPBPL,APPCPL,SHPPBPL,SJVNL,SHPPBPL,TPTCL,NVVNL,APPCPL,GBHHPL,SHPPBPL,STATKRAFT,IEXL,SHPPBPL,GMRETL,SHPPBPL,KEIPL,NVVNL,HPXL,APPCPL,NVVNL,TPTCL,KEIPL,KEIPL,MANIKARAN,NVVNL,KEIPL,TPDDL,SHPPBPL,KEIPL,GMRETL,HPXL,TS1PL_BKN,TS1PL_BKN,NVVNL,HPXL,Total

,,HIMACHAL PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,ANDHRA PRADESH,TAMIL NADU,ODISHA,UTTAR PRADESH,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,NA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,JAMMU AND KASHMIR,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KERALA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,MEGHALAYA,KERALA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,DELHI,NA,NA,NA,DELHI,
,,HP,TANGEDCO,KWHEP,SHPPBPL,ITCWIND,TANGEDCO,NBVLIPP,BCMLB001,SHPPBPL,Meghalaya_Ben,Meghalaya_Ben,KAMENG,KAMENG,SHPPBPL,Meghalaya_Ben,SHPPBPL,IPCL_WB,SHPPBPL,JPL,SORANG_HEP,HP,GBHHPL,SHPPBPL,TANGEDCO,SAPU1234,SHPPBPL,GMR WARORA,SHPPBPL,KSEB,JPNIGRIE_JNSTPP,B_S_ISPAT_MH,HP,SEIL,APNRL,Meghalaya_Ben,KSEB,HP,SKS Raigarh,TANGEDCO,CHANJUII,SHPPBPL,Meghalaya_Ben,GMR WARORA,BYPL,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,BALCO_WR,
,,BRPL,BRPL,BRPL,MAX-HPTL,ITCLH,BRPL,TPDDL,BYPL,MHIL,BYPL,BYPL,BRPL,TPDDL,BAL224,BYPL,BAL234,NDMC,BAL184,BRPL,TPDDL,BRPL,DIAPL,UHL,BYPL,MES (Delhi),BMDRC,TPDDL,AISHER,BRPL,BRPL,NDMC,BYPL,TPDDL,TPDDL,BYPL,BYPL,BRPL,NDMC,BYPL,TPDDL,JHPL-DL,BYPL,TPDDL,VLSEZ,BRPL,BYPL,MES (Delhi),BALCO_LOAD,
,,North-North,South-West-North,North-North,North-North,South-West-North,South-West-North,East-North,North-North,North-North,North East-East-North,North East-East-North,North East-East-North,North East-East-North,North-North,North East-East-North,North-North,East-North,North-North,West-North,North-North,North-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-North,South-West-North,West-North,West-North,North-North,South-West-North,East-North,North East-East-North,South-West-North,North-North,West-North,South-West-North,North-North,North-North,North East-East-North,West-East-North,North-East,North-North,North-North,West-North,North-West,
1,00:00-00:15,85.640000,64.350000,74.820000,0.930000,0.480000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.810000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1764.5

2,00:15-00:30,85.640000,64.350000,74.820000,0.930000,0.480000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.810000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1764.5
