Block,Time,LT-35,L_NR_2012_01,LT-05,LT_MEJA_Delhi,L_NR_2012_04,SH-06,L_NR_2012_07,L_NR_2019_11,LT-31,L_NR_2019_19,L_NR_2020_02,LT-59,L_NR_2012_02,LT-36,SH-07,L_NR_2020_05,L_NR_2019_06,L_NR_2021_14,L_NR_2020_06,L_NR_2018_61,L_NR_2020_07,L_NR_2021_13,L_NR_2022_10,L_NR_2019_05,L_NR_2022_09,L_NR_2022_08,L_NR_2021_17,L_NR_2021_16,L_NR_2019_07,L_NR_2021_15,L_NR_2021_12
1,00:00-00:15,0.000000,101.270000,116.080000,6.640000,271.910000,29.490000,74.130000,10.620000,0.000000,0.000000,8.840000,10.110000,261.620000,0.000000,29.490000,67.52,0,0,22.51,7.23,22.5,0,48.49,0,48.49,13.27,0,0,0,0,0

2,00:15-00:30,0.000000,101.270000,116.080000,6.640000,271.910000,29.490000,74.130000,10.620000,0.000000,0.000000,8.840000,10.110000,261.620000,0.000000,29.490000,67.64,0,0,22.55,7.28,22.53,0,48.51,0,48.51,13.3,0,0,0,0,0

3,00:30-00:45,0.000000,101.270000,105.750000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.840000,10.110000,261.620000,0.000000,28.570000,67.72,0,0,22.57,7.2,22.58,0,44.11,0,44.11,13.33,0,0,0,0,0

4,00:45-01:00,0.000000,101.270000,105.750000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.840000,10.110000,261.620000,0.000000,28.570000,67.94,0,0,22.65,7.23,22.65,0,44.44,0,44.44,13.36,0,0,0,0,0

5,01:00-01:15,0.000000,101.270000,105.750000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.640000,10.110000,261.620000,0.000000,28.570000,68.63,0,0,22.88,7.22,22.87,0,45.22,0,45.22,13.39,0,0,0,0,0

6,01:15-01:30,0.000000,101.270000,105.750000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.640000,10.110000,261.620000,0.000000,28.570000,69.43,0,0,23.14,7.25,23.16,0,46.22,0,46.22,13.42,0,0,0,0,0

7,01:30-01:45,0.000000,101.270000,107.930000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.640000,10.110000,261.620000,0.000000,28.570000,69.78,0,0,23.26,7.16,23.26,0,46.55,0,46.55,13.46,0,0,0,0,0

8,01:45-02:00,0.000000,101.270000,107.930000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.640000,10.110000,261.620000,0.000000,28.570000,70.39,0,0,23.46,7.15,23.47,0,47.11,0,47.11,13.48,0,0,0,0,0

9,02:00-02:15,0.000000,101.270000,107.930000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.460000,10.110000,261.620000,0.000000,28.570000,77.81,0,0,25.94,7.23,25.93,0,53.42,0,53.42,16.76,0,0,0,0,0

10,02:15-02:30,0.000000,101.270000,107.930000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.460000,10.110000,261.620000,0.000000,28.570000,78.17,0,0,26.06,7.18,26.05,0,53.59,0,53.59,16.77,0,0,0,0,0

11,02:30-02:45,0.000000,101.270000,107.930000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.460000,9.180000,261.620000,0.000000,28.570000,78.58,0,0,26.19,7.21,26.21,0,54.35,0,54.35,16.86,0,0,0,0,0

12,02:45-03:00,0.000000,101.270000,107.930000,6.640000,271.910000,28.570000,74.130000,10.310000,0.000000,0.000000,8.460000,9.180000,261.620000,0.000000,28.570000,80.46,0,0,26.82,7.21,26.81,0,55.06,0,55.06,17.01,0,0,0,0,0

13,03:00-03:15,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,10.310000,0.000000,0.000000,8.180000,9.180000,261.620000,0.000000,29.490000,82.08,0,0,27.36,7.13,27.36,0,55.41,0,55.41,17.16,0,0,0,0,0

14,03:15-03:30,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,10.310000,0.000000,0.000000,8.180000,9.180000,261.620000,0.000000,29.490000,82.34,0,0,27.45,7.14,27.45,0,55.49,0,55.49,17.37,0,0,0,0,0

15,03:30-03:45,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,10.310000,0.000000,0.000000,8.180000,9.340000,261.620000,0.000000,29.490000,78.32,0,0,26.11,7.19,26.11,0,51.78,0,51.78,14.96,0,0,0,0,0

16,03:45-04:00,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,10.310000,0.000000,0.000000,8.180000,9.340000,261.620000,0.000000,29.490000,78.82,0,0,26.27,7.27,26.29,0,52.12,0,52.12,15.14,0,0,0,0,0

17,04:00-04:15,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,10.310000,0.000000,0.000000,7.900000,9.340000,261.620000,0.000000,29.490000,79.32,0,0,26.44,7.14,26.45,0,52.45,0,52.45,15.18,0,0,0,0,0

18,04:15-04:30,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,10.310000,0.000000,0.000000,7.900000,9.180000,261.620000,0.000000,29.490000,79.62,0,0,26.54,7.26,26.54,0,52.75,0,52.75,15.34,0,0,0,0,0

19,04:30-04:45,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,10.310000,0.000000,0.000000,7.900000,9.180000,261.620000,0.000000,29.490000,82.45,0,0,27.48,7.3,27.49,0,53.5,0,53.5,15.42,0,0,0,0,0

20,04:45-05:00,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,10.310000,0.000000,0.000000,7.900000,9.180000,261.620000,0.000000,29.490000,84.88,0,0,28.29,7.18,28.29,0,63.12,0,63.12,15.42,0,0,0,0,0

21,05:00-05:15,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,9.460000,0.000000,0.000000,7.720000,8.410000,261.620000,0.000000,29.490000,92.68,0,0,30.89,7.26,30.89,0,62.93,0,62.93,16.7,0,0,0,0,0

22,05:15-05:30,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,9.460000,0.000000,0.000000,7.720000,8.410000,261.620000,0.000000,29.490000,92.31,0,0,30.77,7.25,30.77,0,62.45,0,62.45,16.8,0,0,0,0,0

23,05:30-05:45,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,9.460000,0.000000,0.950000,7.720000,8.410000,261.620000,0.000000,29.490000,91.62,0,0,30.54,7.26,30.54,0,62.21,0,62.21,16.93,0,0,0,0,0

24,05:45-06:00,0.000000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,9.460000,0.000000,4.980000,7.720000,8.410000,261.620000,0.000000,29.490000,91.17,0,0,30.39,7.14,30.39,0.11,61.87,0,61.87,17.22,0.55,1.11,0,0,0.57

25,06:00-06:15,0.090000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,9.460000,0.090000,9.680000,7.430000,8.410000,261.620000,0.090000,29.490000,90.81,15.47,0.03,30.27,7.28,30.27,0.45,61.54,14.25,61.54,17.23,1.78,3.56,1.41,0.71,2.26

26,06:15-06:30,0.360000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,9.460000,0.360000,14.530000,7.430000,8.410000,261.620000,0.370000,29.490000,90.12,24.51,0.03,30.04,7.29,30.04,1.02,61.21,23.41,61.21,17.34,3.4,6.81,3.9,1.83,5.09

27,06:30-06:45,0.460000,101.270000,107.930000,6.640000,271.910000,29.490000,74.130000,9.080000,0.460000,20.360000,7.430000,8.410000,261.620000,0.470000,29.490000,109.69,33,1.24,36.56,7.29,36.57,1.81,69.86,33,69.86,17.52,5.27,10.54,11.29,3.29,9.05

28,06:45-07:00,0.950000,101.270000,107.930000,6.640000,271.910000,29.490000,46.920000,9.080000,0.950000,27.370000,7.430000,8.410000,261.620000,0.980000,29.490000,110.64,31,3.66,36.88,7.29,36.89,2.83,70.19,31,70.19,17.83,7.36,14.72,17.45,5.16,14.13

29,07:00-07:15,1.650000,101.270000,107.930000,6.330000,271.910000,29.490000,56.070000,9.080000,1.650000,35.230000,7.150000,7.920000,219.820000,1.690000,29.490000,112.33,26.63,7.16,37.44,7.18,37.45,4.07,71.08,26.63,71.08,17.87,9.92,19.85,26.19,7.39,20.36

30,07:15-07:30,2.520000,101.270000,107.930000,6.020000,271.910000,29.490000,56.070000,9.080000,2.520000,43.800000,7.150000,7.920000,212.090000,2.590000,29.490000,113.21,26.48,11.93,37.74,7.28,37.73,6.92,71.52,26.48,71.52,18.29,7.67,15.33,26.49,9.96,34.63

31,07:30-07:45,3.670000,101.270000,107.930000,5.720000,271.910000,29.490000,56.070000,9.080000,3.670000,52.560000,7.150000,7.920000,201.450000,3.760000,29.490000,115.57,26.48,17.83,38.52,7.14,38.52,7.96,70.94,26.48,70.94,17.87,9.33,18.67,26.49,12.72,39.78

