Column1,Block,NR/2025/30334/A/87707,NR/2025/31137/A/88243,NR/2025/31137/A/88244,NR/2025/31138/A/88245,NR/2025/31136/A/88242,NR/2025/31388/C,NR/2025/31136/A/88241,NR/2025/31132/A/87909,GNA/NR/2025/07/01/2236,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8230,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/1192,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2997,NR/2025/29992/A/87845,NR/2025/29915/A/88078,NR/2025/28725/A/88214,NR/2025/31375/C,NR/2025/27978/A/88254,NR/2025/31376/C,NR/2025/31336/C,NR/2025/31352/C,NR/2025/29352/A/87755,NR/2025/26975/A/88175,NR/2025/31372/C,NR/2025/27962/A/88333,NR/2025/29440/A/87762,NR/2025/30101/A/88252,NR/2025/30086/A/88159,NR/2025/31126/A/87848,NR/2025/29628/A/88172,NR/2025/29353/A/87754,NR/2025/30191/A/87706,NR/2025/31324/C,NR/2025/30822/A/87841,NR/2025/31338/C,NR/2025/30121/A/87704,NR/2025/31393/C,NR/2025/29167/A/88080,NR/2025/31395/C,NR/2025/30105/A/88155,NR/2025/30217/A/88154,NR/2025/30067/A/88298,NR/2025/27970/A/88337,NR/2025/29439/A/87844,NR/2025/31361/C,NR/2025/27968/A/88336,NR/2025/31377/C,NR/2025/30084/A/88163,NR/2025/31362/C,NR/2025/27964/A/88335,NR/2025/31373/C,NR/2025/31378/C,NR/2025/31389/C,NR/2025/31391/C,NR/2025/30082/A/88240,NR/2025/29910/A/88170,NR/2025/31363/C,NR/2025/27963/A/88334,NR/2025/31379/C,NR/2025/30083/A/88166,NR/2025/31200/A/87901,NR/2025/31297/C,NR/2025/31296/C,NR/2025/31138/A/88246,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/87842,NR/2025/31395/C/Alternate/1,Total
,,IEXL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,MES_Delhi,ABLWM1_AEROCITY,GMRETL,PowerPulse,BAWANA_GAS,PowerPulse,NDMC,PowerPulse,PUNJAB,APPCPL,MANIKARAN,PTC,DELHI,APPCPL,BYPL,TPTCL,PowerPulse,APPCPL,NVVNL,APPCPL,PowerPulse,ITCLH,PTC,APPCPL,APPCPL,PowerPulse,ITCLH,NVVNL,APPCPL,DIAPL,APPCPL,PTC,IEXL,BYPL,BRPL,HPXL,IEXL,NVVNL,TPTCL,NVVNL,APPCPL,APPCPL,MANIKARAN,PowerPulse,IVPL_Trader,PowerPulse,PowerPulse,APPCPL,APPCPL,PowerPulse,PowerPulse,APPCPL,APPCPL,NVVNL,NVVNL,HPXL,APPCPL,PowerPulse,PowerPulse,APPCPL,APPCPL,GMRETL,IEXL,IEXL,OIDLWM3_AEROCITY,SECI_Trader,BRPL,NVVNL,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,DELHI_UT,GOA_State,MSEB_State,NA,HIMACHAL_STATE,GOA_State,KERALA_State,UTTARPRADESH_STATE,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,GoHP_Chamera1_STATE,Manipur_State,MSEB_State,NA,ANDHRA_PRADESH_STATE,MP_State,NA,HIMACHAL_STATE,MSEB_State,GoHP_NJPC_STATE,NA,KERALA_State,NA,NA,TAMILNADU_State,NA,MSEB_State,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,KERALA_State,NA,NA,MP_State,NA,KERALA_State,NA,NA,NA,NA,NA,TAMILNADU_State,NA,NA,NA,NA,NA,
,,TPSL_BKN2,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,NTPCREL_PSS2_KPS2_S,TCSPL_BKN2,JNEPL_BKN2,MAHAN_ENERGEN,BAWANA_GAS,APL_Raipur_TPP,JPL2,APL_Raipur_TPP,BAWANA_GAS,GOA_Beneficiary,AEML,MEENAKSHI,CHANJUII,GOA_Beneficiary,KSEB,PPGCL,MAHAN_ENERGEN,SKS_Raigarh,JPNIGRIE_JNSTPP,RKM_POWER,MAHAN_ENERGEN,ITCWIND,GoHP_Chamera1,Manipur_Ben,AEML,APL_Raipur_TPP,ITCWIND,JP_BINA,RKM_POWER,GBHHPL,AEML,GoHP_NJPC,IND_BHARAT,KSEB,DADRT2,SKS_Raigarh,PCBLTNLTD_UNIT2,SORANG_HEP,TPC_MSEB,Kameng,JIPL,TRN_ENERGY,MBMP,APL_Raigarh_TPP,TPC_MSEB,MAHAN_ENERGEN,APL_Raigarh_TPP,JIPL,RKM_POWER,APL_Raigarh_TPP,MAHAN_ENERGEN,KSEB,TRN_ENERGY,JPNIGRIE_JNSTPP,JP_BINA,SKS_Raigarh,KSEB,APL_Raipur_TPP,MAHAN_ENERGEN,RKM_POWER,SKS_Raigarh,JNEPL_BKN2,PCBLTNLTD_UNIT2,IND_BHARAT,TESPL_BKN2,APSEPL_FTG,TS1PL_BKN,Kameng,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,MES_Delhi,ABLWM1_AEROCITY,DTCP,BRPL,HARYANA,BRPL,NDMC,BRPL,PUNJAB,BRPL,BRPL,BRPL,TPDDL,BRPL,BYPL,BRPL,BRPL,NDMC,TPDDL,NDMC,BRPL,ITCLH,BRPL,BYPL,BYPL,TPDDL,ITCLH,TPDDL,NDMC,DIAPL,BYPL,BRPL,BRPL,BYPL,BRPL,BRPL,MES_Delhi,TPDDL,BYPL,TPDDL,NDMC,NDMC,BRPL,TPDDL,BYPL,TPDDL,TPDDL,NDMC,NDMC,TPDDL,TPDDL,BYPL,NDMC,TPDDL,TPDDL,BRPL,BYPL,TPDDL,TPDDL,NDMC,NDMC,BLKMH,MES_Delhi,BRPL,OIDLWM3_AEROCITY,TPDDL,BRPL,TPDDL,
,,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,South-East-North,North-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,North East-East-North,West-North,West-North,South-West-North,West-North,West-North,North-North,West-North,North-North,East-North,South-West-North,North-North,West-North,South-West-North,North-North,West-North,North East-East-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,East-North,North-North,North-North,North-North,North East-East-West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,81.75,30,134.89,43.71,224.82,30,19.24,20.75,49.05,17.58,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.91,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,25.08,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,162.11,2470.92

2,00:15-00:30,0,0,0,0,0,0,0,0,81.75,30,134.89,43.71,224.82,30,19.24,20.75,49.05,17.58,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.91,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,25.08,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,162.11,2470.92

