Column1,Block,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/3469,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/4651,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,NR/2025/25513/A/56895,WR/2025/26427/A/56998,WR/2025/26582/A/57275,WR/2025/26499/A/57277,NR/2025/25159/A/56985,WR/2025/26426/A/56995,GNA/SR/2025/03/01/7500,NR/2025/25558/C,NR/2025/25557/C,GNARE/NR/2024/12/20/3668,Total
,,APPCPL,APPCPL,NDMC,PTC,PTC,NDMC,NDMC,BAWANA_GAS,DELHI,NDMC,NDMC,PUNJAB,TPTCL,NDMC,IEXL,KEIPL,APPCPL,APPCPL,ITCLH,KEIPL,APPCPL,SJVNL,SJVNL,SECI_Trader,
,,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,
,,BRPL,BYPL,JIPL,BRPL,BYPL,RKM_POWER,TRN_ENERGY,BAWANA_GAS,CHANJUII,RKM_POWER,SKS_Raigarh,BAWANA_GAS,BYPL,JPL2,TPDDL,BRPL,BRPL,BRPL,ITCWIND,BYPL,BYPL,RSRPL_BKN,TPSL_BKN2,APSEPL_FTG,
,,MSEB_State,MSEB_State,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,DELHI_UT,JK_and_LADAKH_UT,CSEB_State,CSEB_State,MSEB_State,DELHI_UT,CSEB_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,AEML,AEML,NDMC,HP,HP,NDMC,NDMC,HARYANA,TPDDL,NDMC,NDMC,PUNJAB,TPC_MSEB,NDMC,JK_LADAKH,CSEB_Beneficiary,CSEB_Beneficiary,AEML,ITCLH,CSEB_Beneficiary,KSEB,NDMC,NDMC,TPDDL,
,,North-West,North-West,East-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,West-North,North-North,North-West,West-North,North-North,North-West,North-West,North-West,South-West-North,North-West,North-West-South,North-North,North-North,North-North,
1,00:00-00:15,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,32,0,23.04,0,48,48,0,0.43,167.57,200,0,0,0,882.76

2,00:15-00:30,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,32,0,23.04,0,48,48,0,0.43,167.57,200,0,0,0,882.76

3,00:30-00:45,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,200,0,0,0,877.7500000000001

4,00:45-01:00,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,200,0,0,0,877.7500000000001

5,01:00-01:15,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,200,0,0,0,877.7500000000001

6,01:15-01:30,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,200,0,0,0,877.7500000000001

7,01:30-01:45,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,200,0,0,0,877.7500000000001

8,01:45-02:00,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,200,0,0,0,877.7500000000001

9,02:00-02:15,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.7500000000001

10,02:15-02:30,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.7500000000001

11,02:30-02:45,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.7500000000001

12,02:45-03:00,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.7500000000001

13,03:00-03:15,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.7500000000001

14,03:15-03:30,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.7500000000001

15,03:30-03:45,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.7500000000001

16,03:45-04:00,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.6,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.7500000000001

17,04:00-04:15,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.6500000000001

18,04:15-04:30,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.6500000000001

19,04:30-04:45,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.6500000000001

20,04:45-05:00,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,48,48,0,0.43,167.57,0,0,0,0,677.6500000000001

21,05:00-05:15,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,48,48,0,0.48,167.57,0,0,0,0,677.7

22,05:15-05:30,42,0,9.6,166.48,55.49,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,48,48,0,0.48,167.57,0,0,0,0,677.7

23,05:30-05:45,42,0,9.6,166.48,55.49,23.04,6.72,24.43,4.5,23.04,5.76,24.43,0,23.04,0,48,48,0,0.48,167.57,0,0,0,0,672.5800000000002

24,05:45-06:00,42,0,9.6,166.48,55.49,23.04,6.72,24.43,4.5,23.04,5.76,24.43,0,23.04,0,48,48,0,0.48,167.57,0,0,0,0,672.5800000000002

25,06:00-06:15,42,0,9.6,0,0,34.56,6.72,25.83,4.5,34.56,5.76,32,0,34.56,0,0,0,0,0.53,167.57,0,0,0,0,398.18999999999994

26,06:15-06:30,42,0,9.6,0,0,34.56,6.72,2.79,4.5,34.56,5.76,32,0,34.56,0,0,0,0,0.53,167.57,0,0,0,0,375.15

27,06:30-06:45,42,0,9.6,0,0,34.56,6.72,32,4.5,34.56,5.76,32,0,34.56,0,0,0,0,0.53,167.57,0,0,0,0.41,404.77000000000004

28,06:45-07:00,42,0,9.6,0,0,34.56,6.72,32,4.5,34.56,5.76,32,0,34.56,0,0,0,0,0.53,167.57,0,0,0,0.47,404.83000000000004

29,07:00-07:15,0,0,9.6,0,0,34.56,6.72,32,4.5,34.56,5.76,32,0,34.56,0,0,0,40.32,0.58,167.57,0,0,0,0.18,402.91

30,07:15-07:30,0,0,9.6,0,0,34.56,6.72,32,4.5,34.56,5.76,32,0,34.56,0,0,0,40.32,0.58,167.57,0,0,0,1.94,404.67

31,07:30-07:45,0,0,9.6,0,0,34.56,6.72,32,4.5,34.56,5.76,32,0,34.56,0,0,0,40.32,0.58,167.57,0,0,0,5.76,408.49

32,07:45-08:00,0,0,9.6,0,0,34.56,6.72,32,4.5,34.56,5.76,32,0,34.56,0,0,0,40.32,0.58,167.57,0,0,0,10.5,413.23

33,08:00-08:15,0,0,9.6,0,0,34.56,6.72,25.83,4.5,34.56,5.76,32,0,34.56,0,0,0,40.32,0.96,0,0,0,0,10.77,240.14000000000004

34,08:15-08:30,0,0,9.6,0,0,34.56,6.72,25.83,4.5,34.56,5.76,32,0,34.56,0,0,0,40.32,0.96,0,0,0,0,18.9,248.27000000000004

35,08:30-08:45,0,0,9.6,0,0,34.56,6.72,25.87,4.5,34.56,5.76,32,0,34.56,0,0,0,40.32,0.96,0,0,0,0,25.49,254.9

36,08:45-09:00,0,0,9.6,0,0,34.56,6.72,25.87,4.5,34.56,5.76,32,0,34.56,0,0,0,40.32,0.96,0,0,0,0,30.79,260.2

37,09:00-09:15,0,0,9.6,0,0,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,39.48,283.19

38,09:15-09:30,0,0,9.6,0,0,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,44.08,287.78999999999996

39,09:30-09:45,0,0,9.6,0,0,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,63.87,307.58

40,09:45-10:00,0,0,9.6,0,0,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,71.83,315.53999999999996

41,10:00-10:15,0,0,9.6,0,0,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,78.35,322.05999999999995

42,10:15-10:30,0,0,9.6,0,0,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,84.86,328.57

43,10:30-10:45,0,0,9.6,0,0,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,93.21,336.91999999999996

44,10:45-11:00,0,0,9.6,0,0,23.04,6.72,26.99,4.5,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,97.5,341.21

45,11:00-11:15,0,0,9.6,0,0,23.04,6.72,26.99,4.41,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,98.33,341.95

46,11:15-11:30,0,0,9.6,0,0,23.04,6.72,26.99,4.41,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,98.33,341.95

47,11:30-11:45,0,0,9.6,0,0,23.04,6.72,26.99,4.41,23.04,5.76,26.99,0,23.04,0,0,0,40.32,0.91,0,0,38.4,14.4,98.33,341.95

