Block,Time Block,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_GF,ANTA_LF,ANTA_GF,AURY_CRF,AURY_LF,ANTA_RF,ANTA_CRF,UNCHAHAR3,TelanganaSTPP,URI2,UNCHAHAR2,TANDA2,TEHRI,URI,UNCHAHAR1,TALST2,TANAKPUR,UNCHAHAR4,TALA,VALLURNTECL,MAPS,RAPPB,RIHAND2,NLCEXP,NLCIIST1,RIHAND1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,RAPPC,NNTPP,NAPP,NTPL,RIHAND3,PARBATI3,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,SASAN,SIMHST1,SINGRAULI_HYDRO,FSTPP I & II,JHAJJAR,KOLDAM,KISHANGANGA,KUDGI,KHSTPP-I,KGSU1AND2,KOTESHWR,KGSU3AND4,KKNP,KHSTPP-II,KKNPPU2,DHAULIGNGA,CHAMERA3,DADRT2,BRBCL,CHAMERA2,BSIUL,CHAMERA1,DULHASTI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,23.51,0,34.81,36.55,2.7,32.84,37.31,18.11,0,10.88,1.56,10.13,0,0,0,117.54,0,0,88.4,161.37,0,3.42,0,58.16,0,43.55,0,123.22,20.36,0,0,0,80.8,5.59,123.37,398.59,0,0,19.46,338.29,5.17,2.78,0,42.79,0,27.99,0,0,95.48,0,39.01,30.98,605.54,19.31,42.7,0,27.14,51.95,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,23.51,0,34.81,36.98,2.7,32.84,37.31,18.1,0,10.88,1.56,10.13,0,0,0,117.54,0,0,88.43,161.37,0,3.42,0,58.16,0,43.55,0,123.22,20.36,0,0,0,80.8,5.59,123.37,398.72,0,0,19.46,235.5,5.17,2.78,0,42.79,0,27.99,0,0,95.48,0,39.01,30.98,586.83,19.31,42.7,0,27.14,51.95,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,23.51,0,34.81,36.98,2.7,32.84,37.31,18.1,0,12.5,1.56,10.13,0,0,0,117.54,0,0,88.43,161.37,0,3.42,0,58.16,0,43.55,0,123.22,20.36,0,0,0,80.8,5.59,123.37,398.72,0,0,19.46,196.68,5.17,2.78,0,42.79,0,27.99,0,0,95.48,0,39.01,30.98,586.83,18.85,42.7,0,27.14,51.95,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,23.51,0,34.81,36.98,2.7,32.84,37.31,18.1,0,12.5,1.56,10.13,0,0,0,117.54,0,0,88.43,161.37,0,3.42,0,58.16,0,43.55,0,123.22,20.36,0,0,0,80.8,5.59,123.37,398.72,0,0,12.24,167.71,5.17,2.78,0,42.79,0,27.99,0,0,95.48,0,39.01,30.98,586.83,16.73,42.7,0,27.14,51.95,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,23.51,0,34.81,36.98,2.7,32.84,37.31,18.1,0,11.13,1.56,10.28,0,0,0,117.54,0,0,88.43,161.37,0,3.42,0,58.16,0,43.55,0,123.22,20.36,0,0,0,80.8,5.59,123.37,398.72,0,0,12.24,148.4,5.17,2.78,0,37.72,0,27.99,0,0,95.48,0,39.01,30.98,586.83,17.17,42.7,0,27.14,51.95,0,0,0,0,0

