Block,Time,CHAMERA2,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RAPPC,SASAN,SIMHST2,TALA,TANDA2,TelanganaSTPP,URI,URI2,VALLURNTECL,AURY_CRF,DADRT2,KHSTPP-II,NJPC,NNTPP,RIHAND1,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR3,FSTPP I & II,KKNPPU2,PARBATI3,RIHAND2,JHAJJAR,KOTESHWR,TEHRI,ANTA_CRF,AURY_RF,DADRI_LF,DADRI_RF,CHAMERA1,KKNP,KOLDAM,MAPS,SINGRAULI,BSIUL,KGSU3AND4,KISHANGANGA,NAPP,RAMPUR,RAPPB,RIHAND3,SALAL,ANTA_LF,ANTA_RF,AURY_LF,CHAMERA3,KGSU1AND2,KUDGI,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,TANAKPUR,UNCHAHAR4,ANTA_GF,DADRI_GF,BRBCL,DHAULIGNGA,DULHASTI,KHSTPP-I,SEWA2,UNCHAHAR1,UNCHAHAR2,AURY_GF,DADRI_CRF
1,00:00-00:15,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,40.09,0,43.99,0,0,0,0,0,0,0,0,5.76,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

2,00:15-00:30,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,69.72,0,43.99,0,0,0,0,0,0,0,0,5.76,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

3,00:30-00:45,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,69.72,0,44.21,0,0,0,0,0,0,0,0,5.76,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

4,00:45-01:00,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,618.18,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,69.72,0,44.21,0,0,0,0,0,0,0,0,5.76,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

5,01:00-01:15,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,69.72,0,44.21,0,0,0,0,0,0,0,0,5.76,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

6,01:15-01:30,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,26.73,0,44.21,0,0,0,0,0,0,0,0,5.76,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

7,01:30-01:45,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,26.73,0,44.21,0,0,0,0,0,0,0,0,5.76,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

8,01:45-02:00,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,26.73,0,44.21,0,0,0,0,0,0,0,0,5.76,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

9,02:00-02:15,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,26.73,0,44.21,0,0,0,0,0,0,0,0,0,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

10,02:15-02:30,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,26.73,0,44.42,0,0,0,0,0,0,0,0,0,0,0,0,20,0,16.48,45.53,16.53,17.33,37.62,0,0

11,02:30-02:45,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,26.4,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,26.73,0,44.21,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,20.55,42.39,0,0

12,02:45-03:00,0,0,0,0,0,25.51,180,0,0,0,0,35.33,32.28,0,0,683.14,148.3,0,0,92,0,0.73,26.4,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,26.73,0,44.21,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,20.55,42.39,0,0

13,03:00-03:15,0,0,0,0,0,25.51,180,0,0,0,0,35.33,30.94,0,0,683.14,148.3,0,0,92,0,0.73,26.4,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,13.36,0,44.42,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,20.55,42.39,0,0

14,03:15-03:30,0,0,0,0,0,25.51,180,0,0,0,0,35.33,30.94,0,0,683.14,148.3,0,0,92,0,0.73,26.4,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,6.52,0,0,20.83,0,0,62.16,13.36,0,44.42,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,20.55,42.39,0,0

15,03:30-03:45,0,0,0,0,0,25.51,200.25,0,0,0,0,35.33,29.6,0,0,683.14,148.3,0,0,92,0,0.73,26.4,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,13.04,0,0,20.83,0,0,62.16,13.36,0,44.42,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,20.55,42.39,0,0

16,03:45-04:00,0,0,0,0,0,25.51,205.88,0,0,0,0,35.33,29.6,0,0,683.14,148.3,0,0,92,0,0.73,26.4,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,13.04,0,0,20.83,0,0,62.16,13.36,0,44.52,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,20.55,42.39,0,0

17,04:00-04:15,0,0,0,0,0,25.51,211.5,0,0,0,0,35.33,29.6,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,13.04,0,0,20.83,0,0,62.16,13.36,0,44.52,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,17.33,37.62,0,0

18,04:15-04:30,0,0,0,0,0,25.51,217.12,0,0,0,0,35.33,29.6,0,0,683.14,148.3,0,0,92,0,0.73,22.7,20.8,0,0,118.76,434.65,8.87,0,0,70.81,0,59.73,0,0,0,0,139.69,13.04,0,0,20.83,0,0,62.16,13.36,0,44.52,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,17.33,37.62,0,0

19,04:30-04:45,0,0,0,0,0,25.51,234,0,0,0,0,35.33,29.6,0,0,683.14,148.3,0,0,92,0,0.73,26.4,20.8,0,0,118.76,434.65,8.87,12.1,0,70.81,0,59.73,0,0,0,0,139.69,13.04,0,0,20.83,0,0,62.16,13.36,0,44.52,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,20.55,42.39,0,0

20,04:45-05:00,0,0,0,0,0,25.51,250.88,0,0,0,0,35.33,29.6,0,0,683.14,148.3,0,0,92,0,0.73,26.4,20.8,0,0,118.76,434.65,8.87,12.1,0,70.81,0,59.73,0,0,0,0,139.69,13.04,0,0,20.83,0,0,62.16,13.36,0,44.52,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45.53,16.53,20.55,42.39,0,0

