Column1,Block,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/02/1250,NR/2025/25088/C,GNA/NR/2025/01/01/8738,NR/2024/24566/A/51515,NR/2024/24418/A/51417,NR/2025/25090/C,NR/2024/24507/A/51674,NR/2025/25089/C,GNA/WR/2025/01/01/8625,NR/2024/24508/A/51676,NER/2024/2820/A/51665,NR/2024/24614/A/51677,NR/2024/24435/A/51436,SR/2024/15456/A/51437,WR/2024/25501/A/51673,NR/2025/24839/A/51510,GNA/NR/2025/01/20/9046,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/8058,NR/2024/24434/A/51438,NR/2025/24838/A/51508,NR/2025/24837/A/51503,NR/2025/25094/C,NR/2025/25095/C,Total
82,20:15-20:30,0,8.65,1.29,0,0,20.19,48.08,0,34.62,32,25.35,19.23,34.62,28.85,34.62,48.08,0,31.73,5.77,0.58,0,28.85,0,50,14.42,38.46,0,16.35,153.86,38.46,0,0,50,30,0,26.92,0,0,0,0,0,820.98

83,20:30-20:45,0,8.65,1.29,0,0,20.19,48.08,0,34.62,32,25.35,19.23,34.62,28.85,34.62,48.08,0,31.73,5.77,0.58,0,28.85,0,50,14.42,38.46,0,16.35,153.86,38.46,0,0,50,30,0,26.92,0,0,0,0,0,820.98

84,20:45-21:00,0,8.65,1.29,0,0,20.19,48.08,0,34.62,32,25.35,19.23,34.62,28.85,34.62,48.08,0,31.73,5.77,0.58,0,28.85,0,50,14.42,38.46,0,16.35,153.86,38.46,0,0,50,30,0,26.92,0,0,0,0,0,820.98

85,21:00-21:15,0,8.65,1.29,0,0,20.19,48.08,0,28.85,32,26.12,19.23,28.85,28.85,28.85,48.08,0,31.73,5.77,0.58,0,28.85,0,50,14.42,0,0,16.35,269.25,38.46,0,0,50,30,0,26.92,0,0,0,0,0,881.37

86,21:15-21:30,0,8.65,1.29,0,0,20.19,48.08,0,28.85,32,26.12,19.23,28.85,28.85,28.85,48.08,0,31.73,5.77,0.58,0,28.85,0,50,14.42,0,0,16.35,269.25,38.46,0,0,50,30,0,26.92,0,0,0,0,0,881.37

87,21:30-21:45,0,8.65,1.29,0,0,20.19,48.08,0,28.85,26.99,26.99,19.23,28.85,28.85,28.85,48.08,0,31.73,5.77,0.58,0,28.85,0,50,14.42,0,0,16.35,269.25,38.46,0,0,50,30,0,26.92,0,0,0,0,0,877.23

88,21:45-22:00,0,8.65,1.29,0,0,20.19,48.08,0,28.85,26.99,26.99,19.23,28.85,28.85,28.85,48.08,0,31.73,5.77,0.58,0,28.85,0,50,14.42,0,0,16.35,269.25,38.46,0,0,50,30,0,26.92,0,0,0,0,0,877.23

89,22:00-22:15,0,8.65,1.29,0,0,20.19,48.08,0,25.96,26.99,26.99,19.23,25.96,28.85,25.96,48.08,0,31.73,5.77,0.48,0,28.85,0,0,14.42,0,0,16.35,288.48,38.46,0,0,50,30,0,26.92,0,0,0,0,0,837.6900000000002

90,22:15-22:30,0,8.65,1.29,0,0,20.19,48.08,0,25.96,26.99,26.99,19.23,25.96,28.85,25.96,48.08,0,31.73,5.77,0.48,0,28.85,0,0,14.42,0,0,16.35,288.48,38.46,0,0,50,30,0,26.92,0,0,0,0,0,837.6900000000002

91,22:30-22:45,0,8.65,1.29,0,0,20.19,48.08,0,25.96,26.99,26.99,19.23,25.96,28.85,25.96,48.08,0,31.73,5.77,0.48,0,28.85,0,0,14.42,0,0,16.35,288.48,38.46,0,0,50,30,0,26.92,0,0,0,0,0,837.6900000000002

92,22:45-23:00,0,8.65,1.29,0,0,20.19,48.08,0,25.96,26.99,26.99,19.23,25.96,28.85,25.96,48.08,0,31.73,5.77,0.48,0,28.85,0,0,14.42,0,0,16.35,288.48,38.46,0,0,50,30,0,26.92,0,0,0,0,0,837.6900000000002

93,23:00-23:15,0,8.65,1.29,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,48.08,0,31.73,5.77,0.48,0,28.85,0,0,14.42,0,0,16.35,288.48,38.46,0,0,50,30,0,26.92,0,0,0,0,0,829.0500000000001

94,23:15-23:30,0,8.65,1.29,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,48.08,0,31.73,5.77,0.48,0,28.85,0,0,14.42,0,0,16.35,288.48,38.46,0,0,50,30,0,26.92,0,0,0,0,0,829.0500000000001

95,23:30-23:45,0,8.65,1.29,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,48.08,0,31.73,5.77,0.48,0,28.85,0,0,14.42,0,0,16.35,288.48,38.46,0,0,50,30,0,26.92,0,0,0,0,0,829.0500000000001

96,23:45-24:00,0,8.65,1.29,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,48.08,0,31.73,5.77,0.48,0,28.85,0,0,14.42,0,0,16.35,288.48,38.46,0,0,50,30,0,26.92,0,0,0,0,0,829.0500000000001

