Block,Time Block,BRBCL,CHAMERA2,DHAULIGNGA,BSIUL,DADRT2,FSTPP I & II,DULHASTI,CHAMERA1,CHAMERA3,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KKNPPU2,KOLDAM,KHSTPP-II,KKNP,KOTESHWR,KISHANGANGA,KUDGI,MAPS,RAMPUR,NNTPP,NAPP,NTPL,PARBATI3,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,RAPPB,RSTPSU1TO6,RIHAND3,RAPPC,RIHAND2,RIHAND1,SASAN,RSTPSU7,SALAL,SEWA2,SIMHST1,SIMHST2,SINGRAULI_HYDRO,SINGRAULI,TALST2,TANAKPUR,TALA,TANDA2,TelanganaSTPP,TEHRI,ANTA_GF,URI2,UNCHAHAR3,ANTA_CRF,ANTA_RF,UNCHAHAR2,URI,ANTA_LF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.23,42.53,38.85,12.54,485.91,13.75,35.39,40.54,30.85,336.32,0,0,42.61,0,5.15,119.19,0,37.16,2.77,0,0,3.4,0,43.37,0,16.89,0,0,160.7,0,0,0,0,122.71,58.21,117.05,39.6,394.89,0,70.41,16.7,0,0,0.39,89.9,0,10.47,10.17,2.69,0,51.12,0,34.67,22.98,0,6.82,35.504,32.92,0,14.74,0,0.02,0,0,0,0,0,0,7.55,0,0,0,0,0,0

2,00:15-00:30,19.23,42.53,38.85,12.54,536.88,13.75,35.39,40.54,30.85,336.32,0,0,42.61,0,5.15,119.19,0,37.16,2.77,0,0,3.4,0,43.37,0,16.89,0,0,160.7,0,0,0,0,122.71,58.21,117.05,39.6,394.89,0,70.41,16.7,0,0,0.39,89.9,0,10.47,10.17,2.69,0,51.12,0,34.67,23.05,0,0,35.504,44.59,0,14.84,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,18.92,42.53,38.85,12.54,534.77,13.75,35.39,40.54,30.85,254.86,0,0,42.61,0,5.15,119.19,0,37.16,2.77,0,0,3.4,0,43.37,0,20.27,0,0,160.7,0,0,0,0,122.71,58.21,117.05,39.6,394.89,0,70.41,16.7,0,0,0.39,89.9,0,10.47,10.17,2.69,0,51.12,0,34.67,23.05,0,0,35.504,44.59,0,14.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,16.55,42.53,38.85,12.54,501.11,13.75,35.39,40.54,30.85,163.5,0,0,42.61,0,5.15,119.19,0,37.16,2.77,0,0,3.4,0,43.37,0,20.27,0,0,160.7,0,0,0,0,122.71,58.21,117.05,39.6,394.89,0,70.41,16.7,0,0,0.39,89.9,0,10.47,10.17,2.69,0,51.12,0,34.67,23.05,0,0,35.504,37.16,0,14.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,15.58,42.53,38.85,12.54,500.15,13.75,35.39,40.54,30.85,110.61,0,0,42.61,0,5.15,119.19,0,37.16,2.77,0,0,3.4,0,43.37,0,20.27,0,0,160.7,0,0,0,0,122.71,58.21,117.05,39.36,394.89,0,70.41,16.7,0,0,0.39,89.9,0,9.37,10.17,2.69,0,51.12,0,34.67,23.05,0,0,35.504,32.92,0,14.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,17.9,42.53,38.85,12.54,477.07,13.75,35.39,40.54,30.85,110.61,0,0,42.61,0,5.15,119.19,0,37.16,2.77,0,0,3.4,0,43.37,0,20.27,0,0,160.7,0,0,0,0,122.71,58.21,117.05,39.36,394.89,0,70.41,16.7,0,0,0.39,89.9,0,9.37,10.17,2.69,0,51.12,0,34.67,23.05,0,0,35.504,32.92,0,14.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,14.56,42.53,38.85,12.54,425.14,13.75,35.39,40.54,30.85,110.61,0,0,42.61,0,5.15,119.19,0,37.16,2.77,0,0,3.4,0,43.37,0,16.89,0,0,160.7,0,0,0,0,122.71,58.21,117.05,39.36,394.89,0,70.41,16.7,0,0,0.39,89.9,0,9.37,10.17,2.69,0,51.12,0,19.89,23.05,0,0,35.504,32.92,0,14.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,15.17,42.53,38.85,12.54,400.13,13.75,35.39,40.54,30.85,110.61,0,0,42.61,0,5.15,119.19,0,37.16,2.77,0,0,3.4,0,43.37,0,16.89,0,0,160.7,0,0,0,0,122.71,58.21,117.05,39.36,394.89,0,70.41,16.7,0,0,0.39,89.9,0,9.37,10.17,2.69,0,51.12,0,19.89,22.95,0,0,35.489,32.92,0,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,13.93,42.53,38.85,12.54,444.85,13.75,35.39,40.54,30.85,110.61,0,0,42.61,0,5.15,119.19,0,37.16,2.77,0,0,3.4,0,43.37,0,16.89,0,0,160.7,0,0,0,0,122.71,58.21,117.05,39.36,394.89,0,70.41,16.7,0,0,0.39,89.9,0,9.37,10.17,2.69,0,51.12,0,19.89,22.95,0,0,35.489,38.23,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

