Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/02/01/9969,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/02/01/2143,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/02/01/4863,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.47,132.49,0,8.64,0,26.99,0,0,70.04,32,57.61,0.92,149.31,25.23,24.01,0,6.01,6.83,18.33,18.34,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.47,132.49,0,8.64,0,26.99,0,0,70.04,32,57.61,0.92,149.31,25.23,22.01,0,6.01,6.83,19,19,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.47,132.49,0,8.64,0,26.99,0,0,70.04,32,57.61,0.92,149.31,25.23,20.01,0,6.01,6.83,19.67,19.66,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.47,132.49,0,8.64,0,26.99,0,0,70.04,32,57.61,0.92,149.31,25.23,18.01,0,6.01,6.83,20.33,20.34,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.47,132.49,0,8.64,0,26.99,0,0,70.04,32,52.81,0.92,149.31,25.23,17.01,0,6.01,6.83,21,21,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.47,132.49,0,8.64,0,26.99,0,0,70.04,32,52.81,0.92,149.31,25.23,15.01,0,6.01,6.83,21.67,21.66,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.47,132.49,0,8.64,0,26.99,0,0,70.04,32,52.81,0.92,149.31,25.23,14.01,0,6.01,6.83,22.33,22.34,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.47,132.49,0,8.64,0,26.99,0,0,70.04,32,52.81,0.92,149.31,25.23,13.01,0,6.01,6.83,23,23,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.38,132.49,0,8.64,0,26.99,0,0,70.04,26.99,52.81,0.92,149.31,25.23,12.01,0,6.01,6.83,19.33,19.34,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.38,132.49,0,8.64,0,26.99,0,0,70.04,26.99,52.81,0.92,149.31,25.23,11,0,6.01,6.83,18.67,18.66,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.38,132.49,0,8.64,0,26.99,0,0,70.04,26.99,52.81,0.92,149.31,25.23,10.2,0,6.01,6.83,18,18,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.38,132.49,0,8.64,0,26.99,0,0,70.04,26.99,52.81,0.92,149.31,25.23,8.6,0,6.01,6.83,17.33,17.34,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,20.51,6.83,0,23.04,75,0,23.04,0,0,1.25,0,23.04,59.36,4.15,1.38,132.49,0,8.64,0,26.99,0,0,70.04,26.99,52.81,0.92,149.31,25.23,9.6,0,6.01,6.83,16.67,16.66,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,20.51,6.83,0,23.04,75,0,23.04,0,0,1.25,0,23.04,59.36,4.15,1.38,132.49,0,8.64,0,26.99,0,0,70.04,26.99,52.81,0.92,149.31,25.23,9.2,0,6.01,6.83,16.67,16.66,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.38,132.49,0,8.64,0,26.99,0,0,70.04,26.99,52.81,0.92,149.31,25.23,11.61,0,6.01,6.83,20,20,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.38,132.49,0,8.64,0,26.99,0,0,70.04,26.99,52.81,0.92,149.31,25.23,11.21,0,6.01,6.83,20.33,20.34,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,20.51,6.83,0,23.04,75,0,23.04,0,0.62,1.25,0,23.04,59.36,4.15,1.47,132.49,0,8.64,0,26.99,0,0,70.04,26.99,52.81,0.92,149.31,25.23,11.21,0,6.01,6.83,19.33,19.34,0,0,0,0,0,0,0,0,0,0

