Block,Time,CHAMERA1,UNCHAHAR1,PARBATI3,AURY_GF,NAPP,ANTA_LF,SEWA2,ANTA_GF,SINGRAULI,UNCHAHAR4,DULHASTI,DADRI_LF,KISHANGANGA,RAPPC,BSIUL,JHAJJAR,ANTA_RF,TANDA2,URI,CHAMERA2,TANAKPUR,ANTA_CRF,RAPPB,SINGRAULI_HYDRO,DADRI_CRF,AURY_LF,UNCHAHAR2,AURY_CRF,DADRI_GF,SALAL,RIHAND3,URI2,NJPC,RAMPUR,TEHRI,DADRT2,KUDGI,AURY_RF,DADRI_RF,TALA,DHAULIGNGA,CHAMERA3,KOLDAM,UNCHAHAR3,KOTESHWR,KHSTPP-I,BRBCL,KHSTPP-II,RIHAND2,RIHAND1,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,41.294880,12.974394,18.483960,0.000000,37.424429,0.000000,15.298318,0.000000,134.796534,0.000000,47.854586,0.000000,0.000000,49.627037,19.032235,430.760000,0.000000,0.000000,45.952896,38.245796,9.796063,0.000000,0.000000,0.962928,0.000000,0.000000,41.033617,0.000000,0.000000,74.237856,119.708325,31.642332,148.046404,0.000000,35.614656,291.345305,48.40,0.000000,0.000000,27.036240,35.374731,28.132798,0.000000,16.059604,5.726688,41.130320,13.297900,142.795125,114.345000,51.176224,20.066640,405.217578,0,0,0,0,0

2,00:15-00:30,41.294880,12.974394,18.483960,0.000000,37.424429,0.000000,15.298318,0.000000,134.852080,0.000000,47.854586,0.000000,0.000000,49.627037,19.032235,430.760000,0.000000,0.000000,45.952896,38.245796,9.796063,0.000000,0.000000,0.962928,0.000000,0.000000,41.033617,0.000000,0.000000,74.237856,119.708325,31.642332,148.046404,0.000000,35.614656,216.809305,38.72,0.000000,0.000000,27.036240,35.374731,28.132798,0.000000,16.059604,5.726688,41.130320,13.297900,142.795125,114.345000,51.176224,20.066640,405.369360,0,0,0,0,0

3,00:30-00:45,41.294880,12.974394,18.483960,0.000000,37.424429,0.000000,15.298318,0.000000,134.852080,0.000000,47.854586,0.000000,0.000000,49.627037,19.032235,430.760000,0.000000,0.000000,45.952896,38.245796,9.796063,0.000000,0.000000,0.962928,0.000000,0.000000,41.033617,0.000000,0.000000,74.237856,119.708325,31.642332,148.046404,0.000000,26.710992,180.802856,36.78,0.000000,0.000000,27.036240,35.374731,28.132798,0.000000,16.059604,5.726688,41.130320,12.353639,142.795125,114.345000,51.176224,20.066640,405.369360,0,0,0,0,0

4,00:45-01:00,41.294880,6.776000,18.483960,0.000000,37.424429,0.000000,15.298318,0.000000,134.852080,0.000000,47.854586,0.000000,0.000000,49.627037,19.032235,419.144000,0.000000,0.000000,45.952896,38.245796,9.796063,0.000000,0.000000,0.962928,0.000000,0.000000,41.033617,0.000000,0.000000,74.237856,119.708325,31.642332,148.046404,0.000000,26.710992,178.457801,35.82,0.000000,0.000000,27.036240,35.374731,28.132798,0.000000,11.161556,5.726688,41.130320,13.297900,142.795125,114.345000,51.176224,20.066640,405.369360,0,0,0,0,0

5,01:00-01:15,41.294880,6.776000,18.483960,0.000000,37.424429,0.000000,15.298318,0.000000,134.852080,0.000000,47.854586,0.000000,0.000000,49.627037,12.688157,419.144000,0.000000,0.000000,45.952896,38.245796,10.540068,0.000000,0.000000,0.962928,0.000000,0.000000,41.033617,0.000000,0.000000,74.237856,119.708325,31.642332,148.046404,0.000000,26.710992,178.457801,33.88,0.000000,0.000000,27.036240,35.374731,28.474243,0.000000,11.161556,5.726688,41.130320,12.684166,142.795125,114.345000,51.176224,20.066640,405.369360,0,0,0,0,0

6,01:15-01:30,41.294880,6.776000,18.483960,0.000000,37.424429,0.000000,15.298318,0.000000,134.852080,0.000000,47.854586,0.000000,0.000000,49.627037,12.688157,419.144000,0.000000,0.000000,45.952896,38.245796,10.540068,0.000000,0.000000,0.962928,0.000000,0.000000,27.851683,0.000000,0.000000,74.237856,119.708325,31.642332,148.046404,0.000000,17.807328,178.457801,31.94,0.000000,0.000000,27.036240,35.374731,28.474243,0.000000,11.161556,5.726688,41.130320,12.579347,142.795125,114.345000,51.176224,20.066640,405.369360,0,0,0,0,0

