Block,Time,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/04042024/30042024/SJVN040424NR1694,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/06022042/L_NR_2012_02,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01042024/30042024/PTC/OA/32001,NR/26072023/31072042/L_NR_2023_07,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01042024/31072024/LT_MEJA_DELHI,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05
1,00:00-00:15,272.660000,0,0.000000,16.34,0,100.460000,27.960000,65,0,0,0,0,0.000000,2.040000,0.000000,0,0,7.270000,261.810000,21.67,35,6.41,40.980000,0,0.000000,2.530000,86.980000,0,2.950000,30.860000,0.000000,0.000000,16.080000,35,0,0,0,0,115.280000,21.66,0

2,00:15-00:30,272.660000,0,0.000000,16.34,0,100.460000,27.960000,66,0,0,0,0,0.000000,2.040000,0.000000,0,0,7.270000,261.810000,22,34.33,6.41,40.980000,0,0.000000,2.530000,86.980000,0,2.950000,30.860000,0.000000,0.000000,16.080000,34.33,0,0,0,0,115.280000,22,0

3,00:30-00:45,272.660000,0,0.000000,15.66,0,100.460000,28.930000,66.5,0,0,0,0,0.000000,2.040000,0.000000,0,0,7.270000,261.810000,22.17,34,6.41,40.980000,0,0.000000,2.530000,86.980000,0,2.950000,30.860000,0.000000,0.000000,16.080000,34,0,0,0,0,115.280000,22.16,0

4,00:45-01:00,272.660000,0,0.000000,15.66,0,100.460000,28.930000,67,0,0,0,0,0.000000,2.040000,0.000000,0,0,7.270000,261.810000,22.33,34,6.41,40.980000,0,0.000000,2.530000,86.980000,0,2.950000,30.860000,0.000000,0.000000,16.080000,34,0,0,0,0,115.280000,22.34,0

5,01:00-01:15,272.660000,0,0.000000,15.34,0,100.460000,28.930000,65,0,0,0,0,0.000000,2.040000,0.000000,0,0,7.180000,261.810000,21.67,34,6.41,40.980000,0,0.000000,2.460000,86.980000,0,2.320000,30.860000,24.430000,0.000000,16.080000,34,0,0,0,0,66.140000,21.66,0

