Column1,Block,NR/2025/31129/C,NR/2025/31110/C,NR/2025/30334/A/86684,NR/2025/29985/A/86824,GNARE/NR/2024/12/20/3668,NR/2025/30086/A/87171,NR/2025/30084/A/87172,NR/2025/29910/A/87176,NR/2025/29992/A/86677,NR/2025/30105/A/87170,NR/2025/30067/A/87268,NR/2025/29915/A/86736,NR/2025/29628/A/87178,NR/2025/31076/C,NR/2025/29439/A/87030,NR/2025/31102/C/Alternate/1,NR/2025/27970/A/87138,NR/2025/30191/A/86686,NR/2025/26975/A/87181,NR/2025/27968/A/87137,NR/2025/30217/A/87169,NR/2025/30082/A/87162,NR/2025/30993/C,NR/2025/27962/A/87134,NR/2025/31097/C,NR/2025/31105/C,NR/2025/30083/A/87173,NR/2025/31098/C,NR/2025/31106/C,NR/2025/30121/A/86689,NR/2025/31107/C,NR/2025/29167/A/86738,NR/2025/31044/C,NR/2025/27978/A/87198,NR/2025/31102/C,NR/2025/30492/A/86806,NR/2025/30822/A/86822,NR/2025/27964/A/87136,NR/2025/29353/A/87103,NR/2025/29440/A/86670,NR/2025/29352/A/87105,NR/2025/27963/A/87135,NR/2025/31104/C,NR/2025/28725/A/87139,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,NR/2025/31031/C,NR/2025/31061/C,NR/2025/31108/C,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/2025/31057/C,NR/2025/31006/C,NR/2025/31007/C,NR/2025/30101/A/87190,NR/2025/31059/C,NR/2025/31060/C,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2236,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,GMRETL,MES_Delhi,IEXL,BRPL,SECI_Trader,APPCPL,APPCPL,APPCPL,BYPL,APPCPL,MANIKARAN,TPTCL,APPCPL,ITCLH,IVPL_Trader,NVVNL,PowerPulse,IEXL,APPCPL,PowerPulse,APPCPL,HPXL,IEXL,PowerPulse,NVVNL,APPCPL,APPCPL,NVVNL,APPCPL,IEXL,APPCPL,TPTCL,HPXL,NVVNL,NVVNL,DIAPL,BRPL,PowerPulse,PTC,ITCLH,PTC,PowerPulse,APPCPL,PowerPulse,PTC,PowerPulse,BYPL,PowerPulse,APPCPL,PowerPulse,APPCPL,MANIKARAN,PowerPulse,APPCPL,APPCPL,NVVNL,PowerPulse,PowerPulse,PUNJAB,APPCPL,PowerPulse,BAWANA_GAS,NDMC,DELHI,
,,NA,NA,NA,NA,NA,NA,NA,KERALA_State,KERALA_State,NA,NA,UTTARPRADESH_STATE,MSEB_State,ANDHRA_PRADESH_STATE,MSEB_State,NA,NA,NA,Manipur_State,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,NA,TAMILNADU_State,NA,MSEB_State,NA,NA,NA,HIMACHAL_STATE,NA,NA,GoHP_NJPC_STATE,ANDHRA_PRADESH_STATE,GoHP_Chamera1_STATE,NA,NA,NA,NA,NA,KERALA_State,NA,NA,NA,GOA_State,MSEB_State,NA,MSEB_State,KERALA_State,MP_State,NA,NA,DELHI_UT,GOA_State,NA,DELHI_UT,NA,HIMACHAL_STATE,
,,JNEPL_BKN2,NTPCREL_PSS2_KPS2_S,TPSL_BKN2,TS1PL_BKN,APSEPL_FTG,RKM_POWER,RKM_POWER,KSEB,KSEB,JIPL,MBMP,PPGCL,AEML,ITCWIND,TPC_MSEB,Kameng,APL_Raigarh_TPP,IND_BHARAT,Manipur_Ben,APL_Raigarh_TPP,TRN_ENERGY,SKS_Raigarh,IND_BHARAT,APL_Raipur_TPP,JPNIGRIE_JNSTPP,RKM_POWER,SKS_Raigarh,JP_BINA,JIPL,PCBLTNLTD_UNIT2,TRN_ENERGY,TPC_MSEB,SKS_Raigarh,JPNIGRIE_JNSTPP,Kameng,GBHHPL,DADRT2,MAHAN_ENERGEN,GoHP_NJPC,ITCWIND,GoHP_Chamera1,MAHAN_ENERGEN,SKS_Raigarh,MAHAN_ENERGEN,MEENAKSHI,APL_Raipur_TPP,KSEB,APL_Raipur_TPP,RKM_POWER,APL_Raipur_TPP,GOA_Beneficiary,AEML,MAHAN_ENERGEN,AEML,KSEB,JP_BINA,MAHAN_ENERGEN,APL_Raigarh_TPP,BAWANA_GAS,GOA_Beneficiary,MAHAN_ENERGEN,BAWANA_GAS,JPL2,CHANJUII,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,
,,DTCP,MES_Delhi,MES_Delhi,BRPL,TPDDL,NDMC,NDMC,BYPL,BYPL,NDMC,BRPL,BRPL,BYPL,ITCLH,BYPL,TPDDL,TPDDL,BRPL,BYPL,TPDDL,NDMC,BRPL,BRPL,TPDDL,TPDDL,NDMC,NDMC,TPDDL,NDMC,MES_Delhi,NDMC,BYPL,BRPL,TPDDL,TPDDL,DIAPL,BRPL,TPDDL,BRPL,ITCLH,BRPL,TPDDL,NDMC,BRPL,BRPL,BRPL,BYPL,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,TPDDL,TPDDL,TPDDL,PUNJAB,BRPL,BRPL,HARYANA,NDMC,TPDDL,
,,North-North,West-North,North-North,North-North,North-North,West-North,West-North,South-West-North,South-West-North,East-North,West-North,North-North,West-North,South-West-North,West-North,North East-East-West-North,West-North,East-North,North East-East-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,West-North,East-North,South-West-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,North-North,West-North,North-North,South-West-North,North-North,West-North,West-North,West-North,South-East-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,25.08,192.36,0,48.09,26.45,144.27,7.69,48.09,0,96.18,0,0,8.74,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.91,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,6,43.71,13.17,2434.5299999999997

2,00:15-00:30,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,25.08,192.36,0,48.09,26.45,144.27,7.69,48.09,0,96.18,0,0,8.74,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.91,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,6,43.71,13.17,2434.5299999999997

