Block,Time,KISHANGANGA,KOLDAM,MAPS,NAPP,NTPL,RAMPUR,RIHAND2,UNCHAHAR2,URI2,AURY_CRF,AURY_RF,FSTPP I & II,NLCEXP,SIMHST2,SINGRAULI,TANDA2,UNCHAHAR1,VALLURNTECL,AURY_LF,BSIUL,DADRT2,JHAJJAR,KHSTPP-I,KKNP,RIHAND1,RIHAND3,RSTPSU7,SINGRAULI_HYDRO,UNCHAHAR4,ANTA_GF,ANTA_LF,DADRI_CRF,KGSU1AND2,KOTESHWR,KUDGI,DHAULIGNGA,KHSTPP-II,NLCIIST2,NLCTS2EXP,NNTPP,RAPPB,TANAKPUR,TEHRI,CHAMERA1,CHAMERA3,NLCIIST1,RAPPC,RSTPSU1TO6,SASAN,TALA,TALST2,TelanganaSTPP,UNCHAHAR3,CHAMERA2,DULHASTI,KKNPPU2,SALAL,SEWA2,SIMHST1,URI,ANTA_CRF,DADRI_LF,BRBCL,KGSU3AND4,NJPC,PARBATI3,ANTA_RF,AURY_GF,DADRI_GF,DADRI_RF
1,00:00-00:15,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,12.94,76.9,42.15,32.08,0,60.23,0,416.25,10.73,0,0,27.05,44.22,53.79,0,83.67,11.58,0,48.02,0,0,20,0,167.1,16.87,48.13,0,0,97.42

2,00:15-00:30,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,12.94,76.9,42.15,32.08,0,60.23,0,416.25,10.73,0,0,27.05,44.22,53.79,0,83.67,5.79,0,48.02,0,0,20,0,167.1,16.87,48.13,0,0,97.42

3,00:30-00:45,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,12.94,76.9,42.15,32.08,0,60.23,0,416.25,10.73,0,0,27.05,44.22,53.79,0,83.67,5.79,0,44.16,0,0,20,0,167.1,16.87,48.13,0,0,97.42

4,00:45-01:00,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,12.94,76.9,42.15,32.08,0,60.23,0,416.25,10.73,0,0,27.05,44.22,53.79,0,83.67,5.79,0,44.16,0,0,20,0,167.1,16.87,48.13,0,0,97.42

5,01:00-01:15,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,12.94,76.9,42.15,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,83.67,5.79,0,44.16,0,0,20,0,167.1,16.87,48.13,0,0,97.42

6,01:15-01:30,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,12.94,76.9,42.15,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,83.67,5.79,0,44.16,0,0,20,0,167.1,16.87,48.13,0,0,97.42

7,01:30-01:45,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,11.53,76.9,42.15,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,83.67,0,0,48.02,0,0,20,0,167.1,16.87,48.13,0,0,97.42

8,01:45-02:00,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,11.53,76.9,42.15,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,83.67,0,0,48.02,0,0,20.01,0,167.1,16.87,48.13,0,0,97.42

9,02:00-02:15,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,11.53,76.9,42.15,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,83.67,0,0,44.16,0,0,20.01,0,167.1,16.87,48.13,0,0,97.42

10,02:15-02:30,1.44,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,11.53,76.9,42.15,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,83.67,0,0,44.16,0,0,20.01,0,167.1,16.87,48.13,0,0,97.42

11,02:30-02:45,2.88,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,12.94,76.9,42.15,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,83.67,0,0,44.16,0,0,20.01,0,167.1,16.87,48.13,0,0,97.42

12,02:45-03:00,2.88,5.35,0,44.75,0,3.54,58.1,43.71,36.35,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,12.94,76.9,28.1,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,83.67,0,0,44.16,0,0,20.01,0,167.1,16.87,48.13,0,0,97.42

13,03:00-03:15,2.88,5.35,0,44.75,0,3.54,58.1,43.71,33.98,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,11.53,76.9,28.1,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,74.37,0,0,48.02,0,0,20.01,0,167.1,16.87,48.13,0,0,97.42

14,03:15-03:30,2.88,5.35,0,44.75,0,3.54,58.1,43.71,33.98,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,11.53,76.9,28.1,32.08,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,74.37,0,0,48.02,0,0,20.01,0,167.1,16.87,48.13,0,0,97.42

15,03:30-03:45,2.88,5.35,0,44.75,0,3.54,58.1,43.71,33.98,0,78.06,20.8,0,0,141.78,1.41,20.96,0,0,6.52,686.07,413.81,33.69,0,0,127.6,0,0,1.62,0,0,0,0,38.64,0,40.4,98.87,0,0,0,0,11.53,76.9,28.1,21.37,0,60.23,0,416.25,10.91,0,0,27.05,44.22,53.79,0,74.37,0,0,44.16,0,0,20.01,0,167.1,16.87,48.13,0,0,97.42

