Block,Time Block,KGSU1AND2,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,DADRT2,CHAMERA3,DADRI_LF,ANTA_LF,AURY_GF,AURY_LF,DADRI_GF,ANTA_GF,AURY_CRF,DADRI_CRF,DADRI_RF,ANTA_RF,AURY_RF,ANTA_CRF,KUDGI,NLCEXP,NLCIIST1,NJPC,MAPS,NLCIIST2,PARBATI3,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI2,KKNPPU2,KOLDAM,KISHANGANGA,KOTESHWR,KHSTPP-II,KKNP,TALA,VALLURNTECL,UNCHAHAR4,TALST2,TEHRIPSP,URI2,TANAKPUR,UNCHAHAR3,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,TANDA2,UNCHAHAR1,KHSTPP-I,RAPPC,RIHAND2,SASAN,RIHAND1,RAPPB,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SINGRAULI,SALAL,SEWA2,RAMPUR,RIHAND3,CHAMERA1,BSIUL,CHAMERA2,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,42.37,16.39,56.81,430.73,532.29,33.91,0,0,0,0,0,0,0,0,62.05,48.27,75.58,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.57,0,2.31,0,50.24,36.87,5.45,26.87,18.19,0,43.4,48.54,6.2,20.66,44.23,65.92,92.77,396.03,62.02,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,89.26,40.73,12.6,47.25,16.51,0,0,0,0,0

2,00:15-00:30,0,0,42.37,16.39,56.81,430.73,532.29,33.91,0,0,0,0,0,0,0,0,15.22,48.27,75.58,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.57,0,2.31,0,50.24,36.87,5.45,26.87,18.19,0,43.4,48.54,6.2,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,89.26,40.73,12.6,47.25,13.17,0,0,0,0,0

3,00:30-00:45,0,0,42.37,16.39,56.81,430.73,532.29,33.91,0,0,0,0,0,0,0,0,15.22,48.27,75.58,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.57,0,2.01,0,50.24,36.87,9.65,26.87,18.19,0,43.07,48.54,6.1,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,89.26,40.73,12.6,47.25,13.72,0,0,0,0,0

4,00:45-01:00,0,0,42.37,16.39,56.81,430.73,532.29,33.91,0,0,0,0,0,0,0,0,15.22,48.27,75.58,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.57,0,2.01,0,50.24,36.87,9.65,26.87,18.19,0,43.07,48.54,6.1,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,89.26,40.73,12.6,47.25,13.02,0,0,0,0,0

5,01:00-01:15,0,0,42.37,16.39,56.81,430.73,532.29,33.91,0,0,0,0,0,0,0,0,52.03,49.54,75.58,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.57,0,2.01,0,50.24,36.87,9.65,26.87,18.19,0,43.07,48.54,6.1,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,89.26,40.73,12.6,47.25,13.09,0,0,0,0,0

6,01:15-01:30,0,0,42.37,16.39,56.81,430.73,532.29,33.91,0,0,0,0,0,0,0,0,65.51,49.54,75.58,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.57,0,2.01,0,50.24,36.87,9.65,26.87,18.19,0,43.07,48.54,6.1,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,89.26,40.73,12.6,47.25,11.22,0,0,0,0,0

7,01:30-01:45,0,0,42.37,16.39,56.81,430.73,532.29,33.91,0,0,0,0,0,0,0,0,9.63,28.79,45.15,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.57,0,2.01,0,50.24,36.87,5.45,26.87,18.19,0,43.07,49.08,6.1,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,89.26,40.73,12.6,47.25,11.08,0,0,0,0,0

8,01:45-02:00,0,0,42.37,16.39,56.81,430.73,532.29,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.57,0,2.01,0,50.24,36.87,5.45,26.87,18.19,0,43.07,49.08,6.1,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,89.26,40.73,12.6,47.25,10.79,0,0,0,0,0

9,02:00-02:15,0,0,42.37,16.39,56.81,403.05,532.29,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.28,0,2.31,0,50.24,36.87,5.45,26.87,18.19,0,43.07,49.08,6.1,20.66,44.23,65.92,91.78,396.78,61.32,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,88.76,40.73,12.6,47.25,12.67,0,0,0,0,0

