Block,Time,CHAMERA1,NJPC,NLCEXP,PARBATI2,RAPPD,RIHAND3,SEWA2,UNCHAHAR4,ANTA_GF,DADRI_GF,CHAMERA3,DULHASTI,KHSTPP-I,KISHANGANGA,KOLDAM,NLCIIST1,NLCIIST2,RAPPB,RIHAND1,RSTPSU1TO6,SALAL,DHAULIGNGA,KGSU1AND2,MAPS,RAMPUR,SASAN,AURY_RF,DADRI_LF,CHAMERA2,FSTPP I & II,NAPP,NTPL,SIMHST2,SINGRAULI,URI,TALST2,TANDA2,TEHRI,TelanganaSTPP,ANTA_LF,ANTA_RF,DADRI_CRF,BRBCL,JHAJJAR,KKNP,KKNPPU2,KOTESHWR,KUDGI,RSTPSU7,SINGRAULI_HYDRO,UNCHAHAR2,AURY_CRF,DADRT2,KGSU3AND4,KHSTPP-II,RIHAND2,TALA,TANAKPUR,UNCHAHAR3,VALLURNTECL,ANTA_CRF,BSIUL,NLCTS2EXP,NNTPP,PARBATI3,RAPPC,SIMHST1,UNCHAHAR1,URI2,AURY_GF,AURY_LF,DADRI_RF
1,00:00-00:15,42.15,138.33,0,30.06,21.66,130.79,0,2.3,0,0,23.33,59.5,45.53,8.63,9.59,0,0,0,97.23,0,66.82,10.95,0,0,5.5,405,80.77,0,48.81,20.8,25.64,0,0,150.34,51.34,0,2.52,32.26,0,0,51.17,0,20,458.07,0,0,10.43,0,0,1.06,44.5,0,548.92,0,111.51,124.58,0,6.27,27.68,0,0,13.04,0,0,33.76,69.07,0,21.94,38.1,0,0,98.41

2,00:15-00:30,42.15,138.33,0,30.06,21.66,130.79,0,2.3,0,0,23.33,59.5,45.53,8.63,9.59,0,0,0,97.23,0,66.82,10.95,0,0,5.5,405,80.77,0,48.81,20.8,25.64,0,0,150.34,51.34,0,2.52,32.26,0,0,51.17,0,20,458.07,0,0,10.43,0,0,1.06,44.5,0,548.92,0,104.16,124.58,0,6.27,27.68,0,0,13.04,0,0,33.76,69.07,0,21.94,38.1,0,0,98.41

3,00:30-00:45,42.15,138.33,0,30.06,21.66,130.79,0,2.3,0,0,23.33,59.5,45.53,8.63,9.59,0,0,0,97.23,0,79.38,10.95,0,0,5.5,405,80.77,0,48.81,20.8,25.64,0,0,150.34,51.34,0,2.52,32.26,0,0,51.17,0,20,458.07,0,0,10.43,0,0,1.06,44.5,0,548.92,0,98.87,124.58,0,6.27,27.68,0,0,13.04,0,0,33.76,69.07,0,21.94,38.1,0,0,98.41

4,00:45-01:00,42.15,138.33,0,30.06,21.66,130.79,0,2.3,0,0,23.33,59.5,45.53,8.63,9.59,0,0,0,97.23,0,79.38,10.95,0,0,5.5,405,80.77,0,48.81,20.8,25.64,0,0,150.34,51.34,0,2.52,32.26,0,0,51.17,0,20,458.07,0,0,10.43,0,0,1.06,44.5,0,548.92,0,98.87,124.58,0,6.27,27.68,0,0,13.04,0,0,33.76,69.07,0,21.94,38.1,0,0,98.41

5,01:00-01:15,42.15,138.33,0,30.06,21.66,130.79,0,2.3,0,0,23.33,59.5,45.53,8.63,9.59,0,0,0,97.23,0,79.38,10.95,0,0,5.5,405,80.77,0,48.81,20.8,25.64,0,0,150.34,51.34,0,2.52,32.26,0,0,51.17,0,20,458.07,0,0,10.43,0,0,1.06,44.5,0,548.92,0,98.87,124.58,0,6.27,27.68,0,0,13.04,0,0,33.76,69.07,0,21.94,38.1,0,0,98.41

