Block,Time,CHAMERA1,CHAMERA2,KKNPPU2,NTPL,PARBATI3,RAMPUR,RAPPC,RIHAND3,SEWA2,TALA,UNCHAHAR2,URI2,DULHASTI,FSTPP I & II,NLCTS2EXP,SASAN,TALST2,ANTA_GF,NJPC,RIHAND1,SINGRAULI_HYDRO,TANDA2,TEHRI,UNCHAHAR1,UNCHAHAR3,CHAMERA3,JHAJJAR,KGSU3AND4,KHSTPP-II,RIHAND2,RSTPSU7,SIMHST1,URI,ANTA_CRF,AURY_LF,BSIUL,DADRT2,KGSU1AND2,NLCEXP,RSTPSU1TO6,SIMHST2,SINGRAULI,VALLURNTECL,ANTA_LF,DADRI_GF,DADRI_RF,BRBCL,KHSTPP-I,KISHANGANGA,KOTESHWR,MAPS,NNTPP,TANAKPUR,TelanganaSTPP,AURY_CRF,AURY_GF,DHAULIGNGA,KKNP,KOLDAM,NLCIIST1,NLCIIST2,ANTA_RF,AURY_RF,DADRI_CRF,KUDGI,NAPP,RAPPB,SALAL,UNCHAHAR4,DADRI_LF
1,00:00-00:15,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,26.49,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.05,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

2,00:15-00:30,0,0,0,0,0,0,54.06,124.32,0,0,42.4,18.83,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,26.49,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,8.33,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

3,00:30-00:45,0,0,0,0,0,0,54.06,124.32,0,0,42.4,18.83,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,26.49,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,8.33,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

4,00:45-01:00,0,0,0,0,0,0,54.06,124.32,0,0,42.4,18.83,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,3.31,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,8.33,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

5,01:00-01:15,0,0,0,0,0,0,54.06,124.32,0,0,42.4,18.83,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

6,01:15-01:30,0,0,0,0,0,0,54.06,124.32,0,0,42.4,18.83,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

7,01:30-01:45,0,0,0,0,0,0,54.06,124.32,0,0,42.4,18.83,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

8,01:45-02:00,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

9,02:00-02:15,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

10,02:15-02:30,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,8.33,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

11,02:30-02:45,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,8.33,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

12,02:45-03:00,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

13,03:00-03:15,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

14,03:15-03:30,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

15,03:30-03:45,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

16,03:45-04:00,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

17,04:00-04:15,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,8.33,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

18,04:15-04:30,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,8.33,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

19,04:30-04:45,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

20,04:45-05:00,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

21,05:00-05:15,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,0,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

22,05:15-05:30,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,393.75,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,8.33,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

23,05:30-05:45,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,393.75,0,0,18.94,92,0,0,1.57,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,8.33,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

24,05:45-06:00,0,3.33,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,393.75,0,0,37.88,92,0,0,5.04,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,0,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,2.56,0,0,0,0,0,0,0,0,29.93,70.59,0,0,41.76,0,1.4,0,24.11

25,06:00-06:15,0,13.17,0,0,3.82,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,393.75,0,0,56.82,92,0,0,15.56,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.33,0,0,1.1,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,8.87,0,0,0.51,0,0,0,9.13,0,0,0,0,30.35,70.59,0,0,41.76,0,1.4,0,24.11

26,06:15-06:30,0,26.34,0,0,16.55,0,54.06,124.32,0,0,42.4,4.44,32.96,11.7,0,393.75,0,0,94.7,92,0,0,31.13,20.56,26.39,9.68,654.31,0,98.87,118.76,0,0,1.33,0,0,6.52,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,26.62,0,0,0.51,0,0,0,9.13,0,0,0,0,30.35,70.59,0,0,41.76,0,1.4,0,24.11

27,06:30-06:45,12.01,26.34,0,0,16.55,0,54.06,124.32,0,0,42.4,4.44,49.43,11.7,0,393.75,0,0,140.34,92,0,0,62.24,20.56,26.39,29.06,654.31,0,98.87,118.76,0,0,1.33,0,0,13.04,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,39.44,0,0,0.51,0,0,0,16.51,0,0,0,0,30.35,70.59,0,0,41.76,0,1.4,0,24.11

28,06:45-07:00,28.05,26.34,0,0,16.55,0,54.06,124.32,0,0,42.4,4.44,49.43,11.7,0,393.75,0,0,140.34,92,0,0,62.24,20.56,26.39,29.06,654.31,0,98.87,118.76,0,0,1.33,0,0,13.04,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,39.44,0,0,0.51,0,0,0,36.55,0,0,0,0,30.35,70.59,0,0,41.76,0,1.4,0,24.11

29,07:00-07:15,42.15,26.34,0,0,16.55,0,54.06,124.32,0,0,42.4,4.44,49.43,11.7,0,326.25,0,0,140.34,92,0,0,62.24,20.56,26.39,29.06,654.31,0,98.87,118.76,0,0,1.33,0,0,13.04,683.14,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,39.44,0,0,6.27,0,0,0,36.55,0,0,0,0,30.35,70.59,0,0,41.76,0,1.4,0,24.11

30,07:15-07:30,42.15,26.34,0,0,16.55,0,54.06,124.32,0,0,42.4,4.44,49.43,11.7,0,326.25,0,0,140.34,92,0,0,62.24,20.56,26.39,29.06,459.81,0,98.87,118.76,0,0,1.33,0,0,13.04,678.92,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,39.44,0,0,6.27,0,0,0,36.55,0,0,0,0,30.35,70.59,0,0,41.76,0,9.29,0,24.11

31,07:30-07:45,28.05,26.34,0,0,16.55,0,54.06,124.32,0,0,42.4,4.44,49.43,11.7,0,326.25,0,0,140.34,92,0,0,62.24,20.56,26.39,29.06,459.81,0,98.87,118.76,0,0,26.49,0,0,13.04,678.92,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,39.44,0,0,0.51,0,0,0,36.55,0,0,0,0,30.35,70.59,0,0,41.76,0,41.83,0,24.11

32,07:45-08:00,14.05,26.34,0,0,3.56,0,54.06,124.32,0,0,42.4,4.44,49.43,11.7,0,326.25,0,0,140.34,92,0,0,62.24,20.56,26.39,29.06,459.81,0,98.87,118.76,0,0,26.49,0,0,13.04,678.92,0,0,0,0,125.97,0,0,0,68.5,20,45.22,0,39.44,0,0,0.51,0,0,0,36.55,0,0,0,0,30.35,70.59,0,0,41.76,0,41.83,0,24.11

33,08:00-08:15,14.05,26.34,0,0,0,0,54.06,124.32,0,0,42.4,4.44,32.96,11.7,0,326.25,0,0,94.7,92,0,0,46.69,20.56,26.39,1.91,459.81,0,98.87,118.76,0,0,26.49,0,0,6.52,678.92,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,19.72,0,0,0.51,0,0,0,16.12,0,0,0,0,30.03,70.59,0,0,41.76,0,41.83,0,23.56

34,08:15-08:30,0,26.34,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,61.56,92,0,0,30.55,20.56,26.39,0,459.81,0,98.87,118.76,0,0,3.31,0,0,1.1,683.14,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,0.51,0,0,0,8.06,0,0,0,0,30.03,70.59,0,0,41.76,0,41.83,0,23.56

35,08:30-08:45,0,26.34,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,39.78,92,0,0,27.72,20.56,26.39,0,459.81,0,98.87,118.76,0,0,1.66,0,0,0,683.14,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,1.15,0,0,0,0,0,0,0,0,30.03,70.59,0,0,41.76,0,41.83,0,23.56

36,08:45-09:00,0,13.17,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,23.39,92,0,0,15.56,20.56,26.39,0,459.81,0,98.87,118.76,0,0,1.66,0,0,0,678.92,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,1.15,0,0,0,0,0,0,0,0,30.03,70.59,0,0,41.76,0,41.83,0,23.56

37,09:00-09:15,0,13.06,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,23.39,92,0,0,15.56,20.56,26.39,0,459.81,0,98.87,118.76,0,0,1.66,0,0,0,678.92,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,1.15,0,0,0,0,0,0,0,0,30.03,70.59,0,0,41.76,0,9.29,0,23.56

38,09:15-09:30,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,22.06,92,0,0,12.91,20.56,26.39,0,459.81,0,98.87,118.76,0,0,1.66,0,0,0,678.92,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,1.15,0,0,0,0,0,0,0,0,30.03,70.59,0,0,41.76,0,1.4,0,23.56

39,09:30-09:45,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,0,92,0,0,0,20.56,26.39,0,459.81,0,98.87,118.76,0,0,26.49,0,0,0,678.92,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,6.27,0,0,0,0,0,0,0,0,30.03,70.59,0,0,41.76,0,1.4,0,23.56

40,09:45-10:00,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,26.49,0,0,0,660.21,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,1.79,0,0,0,0,0,0,0,0,30.03,70.59,0,0,41.76,0,1.4,0,23.56

41,10:00-10:15,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,26.49,0,0,0,683.14,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,3.85,0,0,0,0,0,0,0,0,29.09,70.59,0,0,41.76,0,1.4,0,23.56

42,10:15-10:30,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,3.31,0,0,0,683.14,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,3.85,0,0,0,0,0,0,0,0,29.09,70.59,0,0,41.76,0,1.4,0,23.56

43,10:30-10:45,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.11,0,0,0,683.14,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,3.85,0,0,0,0,0,0,0,0,29.09,70.59,0,0,41.76,0,1.4,0,23.56

44,10:45-11:00,0,0,0,0,0,0,54.06,124.32,0,0,42.4,4.44,16.48,11.7,0,326.25,0,0,0,92,0,0,0,20.56,26.39,0,654.31,0,98.87,118.76,0,0,1.11,0,0,0,683.14,0,0,0,0,125.97,0,0,0,45.49,20,45.22,0,8.87,0,0,3.85,0,0,0,0,0,0,0,0,29.09,70.59,0,0,41.76,0,1.4,0,23.56

