Column1,Block,NR/2025/26236/A/69006,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/69184,NR/2025/26153/A/69005,NR/2025/26202/A/69552,NR/2025/26490/C,NR/2025/26201/A/69516,NR/2025/26491/C,NR/2025/26232/A/69499,NR/2025/26291/A/69495,NR/2025/26197/A/69530,NR/2025/26200/A/69521,NR/2025/26233/A/69498,NR/2025/26002/A/69471,NR/2025/26198/A/69529,NR/2025/26191/A/69039,NR/2025/25858/A/69480,NR/2025/26199/A/69525,NR/2025/25855/A/69479,NR/2025/26101/A/69176,NR/2025/26286/A/69144,NR/2025/26085/A/68995,NR/2025/26289/A/69496,NR/2025/26535/C,NR/2025/26536/C,NR/2025/26534/C,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/4138,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,NR/2025/26529/C,NR/2025/26510/C,NR/2025/26525/C,NR/2025/26530/C,NR/2025/26531/C,NR/2025/26494/C,NR/2025/26312/A/69020,NR/2025/26336/A/69186,NR/2025/26265/A/69497,NR/2025/26492/C,NR/2025/26493/C,Total
,,IEXL,SECI_Trader,BRPL,IEXL,NVVNL,HPXL,APPCPL,HPXL,HPXL,HPXL,APPCPL,APPCPL,HPXL,PowerPulse,APPCPL,PXIL,PowerPulse,APPCPL,PowerPulse,GMRETL,DIAPL,ITCLH,HPXL,APPCPL,APPCPL,APPCPL,PUNJAB,IEXL,NDMC,PowerPulse,PowerPulse,DELHI,BAWANA_GAS,PXIL,PXIL,PXIL,HPXL,PXIL,PowerPulse,PowerPulse,HPXL,IEXL,PXIL,HPXL,PXIL,NVVNL,IEXL,TPDDL,NVVNL,NVVNL,HPXL,IEXL,BRPL,HPXL,HPXL,HPXL,
,,NA,NA,NA,TAMILNADU_State,NA,NA,NA,MP_State,GEB_State,MP_State,NA,NA,GEB_State,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,DELHI_UT,JK_and_LADAKH_UT,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,UTTARPRADESH_STATE,CSEB_State,ODISHA_STATE,MSEB_State,ODISHA_STATE,NA,NA,HIMACHAL_STATE,ODISHA_STATE,Meghalaya_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEB_State,GEB_State,
,,TPSL_BKN2,APSEPL_FTG,TS1PL_BKN,SURYADEV_ALLOYSTN,JPNIGRIE_JNSTPP,JPL,RKM_POWER,Ultratech_Sidhi_MP,PCBL_PALEJ,Ultratech_Sidhi_MP,SKS_Raigarh,TRN_ENERGY,PCBL_MUNDRA,COASTGEN,RKM_POWER,JPNIGRIE_JNSTPP,APL_Raipur_TPP,JPL2,APL_Raipur_TPP,GBHHPL,GBHHPL,ITCWIND,SIMHAPURI,TRN_ENERGY,RKM_POWER,JPL2,BAWANA_GAS,O2ZTPL,JIPL,COASTGEN,COASTGEN,CHANJUII,BAWANA_GAS,LAPL_UP,SKSIPL,FACORPOWER,GRETAENERGY,FACORPOWER,APL_Raipur_TPP,MAHAN_ENERGEN,KGEPL_HP,VSL,Meghalaya_Ben,JPL,SINGOLI,JPNIGRIE_JNSTPP,MBMP,JHAJJAR,Kameng,SORANG_HEP,SIMHAPURI,MBMP,DADRT2,JPL,PCBL_PALEJ,PCBL_MUNDRA,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,TPDDL,BRPL,BRPL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,BRPL,NDMC,BRPL,TPDDL,NDMC,TPDDL,TPDDL,DIAPL,ITCLH,BRPL,NDMC,NDMC,NDMC,PUNJAB,BRPL,NDMC,BRPL,BRPL,TPDDL,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,NDMC,TPDDL,TPDDL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,South-West-North,South-West-North,West-North,West-North,West-North,North-North,North-North,East-North,South-East-North,South-East-North,North-North,North-North,North-North,West-North,East-North,West-North,East-North,West-North,West-North,North-North,East-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,North East-East-North,North-North,South-West-North,West-North,North-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.77,48.26,0,0,0,26.5,0,29.01,164.1,0,12.75,26.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,0,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1626.78

2,00:15-00:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.77,48.26,0,0,0,26.5,0,29.01,164.1,0,12.75,26.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,0,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1626.78

