Block,Time,TALA,BRBCL,FSTPP I & II,KHSTPP-II,SASAN,KHSTPP-I,NAPP,RAPPB,ANTA_GF,UNCHAHAR3,PARBATI3,DADRI_RF,BSIUL,DULHASTI,SEWA2,URI,ANTA_CRF,KOTESHWR,AURY_CRF,DHAULIGNGA,KOLDAM,CHAMERA3,JHAJJAR,TANDA2,DADRI_LF,RAPPC,DADRI_GF,UNCHAHAR4,AURY_RF,AURY_GF,RIHAND3,RIHAND2,UNCHAHAR1,RIHAND1,KISHANGANGA,DADRI_CRF,UNCHAHAR2,URI2,RAMPUR,TANAKPUR,AURY_LF,CHAMERA1,DADRT2,SINGRAULI,SINGRAULI_HYDRO,CHAMERA2,NJPC,ANTA_LF,TEHRI,ANTA_RF,SALAL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,19.291953,15.052197,122.659404,403.945542,33.528435,42.237905,0.000000,0.000000,14.903070,0.000000,0.000000,6.289964,1.856373,0.000000,40.466899,0.000000,8.084313,0.000000,0.000000,0.000000,0.000000,231.504000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,58.530578,55.908120,6.597864,88.743200,0.000000,0.000000,25.224290,30.768215,0.000000,0.000000,0.000000,0.000000,361.840752,121.141702,0.793470,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0,0,0,0,0

2,00:15-00:30,0.000000,18.402482,15.052197,122.659404,403.945542,25.446148,42.237905,0.000000,0.000000,14.903070,0.000000,0.000000,6.289964,1.856373,0.000000,40.466899,0.000000,8.084313,0.000000,0.000000,0.000000,0.000000,231.504000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,58.530578,55.908120,6.597864,88.743200,0.000000,0.000000,25.224290,30.768215,0.000000,0.000000,0.000000,0.000000,361.840752,121.141702,0.793470,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0,0,0,0,0

3,00:30-00:45,0.000000,18.251916,11.092900,98.746198,403.945542,25.446148,42.237905,0.000000,0.000000,14.903070,0.000000,0.000000,6.289964,1.856373,0.000000,34.077389,0.000000,8.084313,0.000000,0.000000,0.000000,0.000000,231.504000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,58.530578,55.908120,6.597864,88.743200,0.000000,0.000000,25.224290,30.768215,0.000000,0.000000,0.000000,0.000000,361.840752,121.141702,0.793470,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0,0,0,0,0

4,00:45-01:00,0.000000,18.091771,11.092900,92.958598,403.945542,25.446148,42.237905,0.000000,0.000000,14.903070,0.000000,0.000000,6.289964,1.856373,0.000000,34.077389,0.000000,8.084313,0.000000,0.000000,0.000000,0.000000,231.504000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,58.530578,55.908120,6.597864,88.743200,0.000000,0.000000,25.224290,30.768215,0.000000,0.000000,0.000000,0.000000,361.840752,121.141702,0.793470,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0,0,0,0,0

5,01:00-01:15,0.000000,16.555668,11.092900,92.958598,403.945542,25.446148,42.237905,0.000000,0.000000,14.903070,0.000000,0.000000,6.289964,1.856373,0.000000,34.077389,0.000000,8.084313,0.000000,0.000000,0.000000,0.000000,231.504000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,58.530578,55.908120,6.597864,88.743200,0.000000,0.000000,23.295090,30.768215,0.000000,0.000000,0.000000,0.000000,361.840752,121.141702,0.793470,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0,0,0,0,0

6,01:15-01:30,0.000000,15.563534,11.092900,92.958598,403.945542,25.446148,42.237905,0.000000,0.000000,14.903070,0.000000,0.000000,6.289964,1.856373,0.000000,40.466899,0.000000,8.084313,0.000000,0.000000,0.000000,0.000000,231.504000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,58.530578,55.908120,6.597864,88.743200,0.000000,0.000000,23.295090,30.768215,0.000000,0.000000,0.000000,0.000000,361.840752,121.141702,0.793470,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0,0,0,0,0

7,01:30-01:45,0.000000,16.207141,11.092900,92.958598,403.945542,25.446148,42.237905,0.000000,0.000000,14.903070,0.000000,0.000000,6.289964,1.856373,0.000000,40.466899,0.000000,8.084313,0.000000,0.000000,0.000000,0.000000,231.504000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,58.530578,55.908120,6.597864,88.743200,0.000000,0.000000,23.295090,30.768215,0.000000,0.000000,0.000000,0.000000,361.840752,121.141702,0.793470,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,0,0,0,0,0

