Block,Time,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,SR/01102023/07102043/L_NR_2018_61,NR/01032024/31032024/SJVN010324NR1589,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,SR/01032024/15032024/BYPL-APPCPL-KSEB,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/25072045/L_NR_2021_15,NR/01032024/31032024/SJVN010324NR1588,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01032024/15032024/HP-62,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01032024/01032024/DD20240301NR23091,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01032024/22032024/HP-56,NR/01102023/23072042/L_NR_2012_04,NR/01032024/22032024/HP-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01012024/31032024/ ChanjuII,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35
1,00:00-00:15,0,0,11.92,0,30.59,0,0,48.23,15.13,0,10,0,96.46,35.76,0,0,0,11.91,0,0,144.690000,96.46,0,0,0,30.59,0,0,98.400000,1.070000,57.510000,0.000000,0.000000,215.020000,0.000000,0.000000,26.040000,76.680000,271.290000,32.830000,62.700000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

2,00:15-00:30,0,0,12.4,0,34.59,0,0,48.23,14.73,0,10.66,0,96.46,37.19,0,0,0,12.38,0,0,144.690000,96.46,0,0,0,34.59,0,0,98.400000,1.070000,40.510000,0.000000,0.000000,215.020000,0.000000,0.000000,26.040000,76.680000,271.290000,32.830000,62.700000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

3,00:30-00:45,0,0,12.96,0,38.87,0,0,48.23,14.07,0,11.44,0,96.46,38.89,0,0,0,12.97,0,0,144.690000,96.46,0,0,0,38.87,0,0,98.400000,1.070000,33.760000,0.000000,0.000000,165.600000,0.000000,0.000000,25.690000,76.680000,271.290000,32.830000,67.520000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

4,00:45-01:00,0,0,13.48,0,40.71,0,0,48.23,12.73,0,12.32,0,96.46,40.43,0,0,0,13.46,0,0,144.690000,96.46,0,0,0,40.71,0,0,98.400000,1.070000,33.760000,0.000000,0.000000,141.490000,0.000000,0.000000,25.690000,76.680000,271.290000,32.830000,67.520000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

5,01:00-01:15,0,0,15.83,0,39.22,0,0,48.23,11.53,0,12.82,0,96.46,47.5,0,0,0,15.84,0,0,144.690000,96.46,0,0,0,39.22,0,0,98.400000,1.070000,33.760000,0.000000,0.000000,135.700000,0.000000,0.000000,25.690000,76.680000,271.290000,32.830000,50.160000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

6,01:15-01:30,0,0,15.83,0,38,0,0,48.23,18.07,0,13.56,0,96.46,47.5,0,0,0,15.84,0,0,144.690000,96.46,0,0,0,38,0,0,98.400000,1.070000,33.760000,0.000000,0.000000,106.110000,0.000000,0.000000,25.690000,76.680000,271.290000,32.830000,50.160000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

7,01:30-01:45,0,0,15.83,0,34,0,0,48.23,17.53,0,14.4,0,96.46,47.5,0,0,0,15.84,0,0,144.690000,96.46,0,0,0,34,0,0,98.400000,1.070000,33.760000,0.000000,0.000000,96.460000,0.000000,0.000000,25.690000,76.680000,271.290000,32.830000,50.160000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

8,01:45-02:00,0,0,15.77,0,34,0,0,48.23,16.66,0,15.23,0,96.46,47.32,0,0,0,15.79,0,0,144.690000,96.46,0,0,0,34,0,0,98.400000,1.070000,33.760000,0.000000,0.000000,96.460000,0.000000,0.000000,25.690000,76.680000,231.500000,32.830000,50.160000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

9,02:00-02:15,0,0,15.2,0,33.67,0,0,48.23,16.01,0,16.66,0,96.46,45.6,0,0,0,15.21,0,0,144.690000,96.46,0,0,0,33.67,0,0,98.400000,1.030000,33.760000,0.000000,0.000000,96.460000,0.000000,0.000000,25.690000,76.680000,192.920000,32.830000,50.160000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

10,02:15-02:30,0,0,14.65,0,33.19,0,0,48.23,15.33,0,16.66,0,96.46,43.97,0,0,0,14.66,0,0,144.690000,96.46,0,0,0,33.19,0,0,98.400000,1.030000,33.760000,0.000000,0.000000,82.960000,0.000000,0.000000,25.690000,76.680000,149.200000,32.830000,50.160000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

11,02:30-02:45,0,0,17.17,0,32,0,0,48.23,14.65,0,16.34,0,96.46,51.5,0,0,0,17.16,0,0,144.690000,96.46,0,0,0,32,0,0,98.400000,1.030000,33.760000,0.000000,0.000000,82.960000,0.000000,25.080000,25.690000,76.680000,149.200000,32.830000,50.160000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

12,02:45-03:00,0,0,16.85,0,31,0,0,48.23,14.3,0,16,0,96.46,50.55,0,0,0,16.85,0,0,144.690000,96.46,0,0,0,31,0,0,98.400000,1.030000,33.760000,0.000000,0.000000,82.960000,0.000000,25.080000,25.690000,76.680000,149.200000,32.830000,50.160000,35.170000,1.750000,48.230000,1.210000,0.620000,0.000000,25.690000,0.000000

13,03:00-03:15,0,0,16.61,0,29.69,0,0,48.23,12.03,0,15.66,0,96.46,49.82,0,0,0,16.6,0,0,144.690000,96.46,0,0,0,29.69,0,0,98.400000,1.030000,33.760000,0.000000,0.000000,82.960000,0.000000,25.080000,25.690000,76.680000,149.200000,32.830000,50.160000,35.170000,1.660000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

14,03:15-03:30,0,0,16.44,0,29.58,0,0,48.23,11.97,0,15.34,0,96.46,49.31,0,0,0,16.43,0,0,144.690000,96.46,0,0,0,29.58,0,0,98.400000,1.030000,33.760000,0.000000,0.000000,82.960000,0.000000,24.120000,25.690000,76.680000,149.200000,32.830000,50.160000,35.170000,1.660000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

15,03:30-03:45,0,0,16.14,0,29.71,0,0,48.23,11.04,0,12.66,0,96.46,48.42,0,0,0,16.14,0,0,144.690000,96.46,0,0,0,29.71,0,0,98.400000,1.030000,33.760000,0.000000,0.000000,82.960000,0.000000,24.120000,25.690000,76.680000,149.200000,32.830000,50.160000,35.170000,1.660000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

16,03:45-04:00,0,0,15.86,0,29.77,0,0,48.23,10.45,0,12.34,0,96.46,47.59,0,0,0,15.87,0,0,144.690000,96.46,0,0,0,29.77,0,0,98.400000,1.030000,33.760000,0.000000,0.000000,82.960000,0.000000,24.120000,25.690000,76.680000,149.200000,32.830000,50.160000,35.170000,1.660000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

17,04:00-04:15,0,0,10,0,27.49,0,0,48.23,9.14,0,8.66,0,96.46,30,0,0,0,10,0,0,144.690000,96.46,0,0,0,27.49,0,0,98.400000,0.990000,33.760000,0.000000,0.000000,82.960000,0.000000,24.120000,25.690000,76.680000,192.920000,32.830000,50.160000,35.170000,1.660000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

18,04:15-04:30,0,0,10,0,25.45,0,0,48.23,8.79,0,8.66,0,96.46,30,0,0,0,10,0,0,144.690000,96.46,0,0,0,25.45,0,0,98.400000,0.990000,33.760000,0.000000,0.000000,82.960000,0.000000,24.120000,25.690000,76.680000,231.500000,32.830000,50.160000,35.170000,1.660000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

19,04:30-04:45,0,0,10,0,16.67,0,0,48.23,8.93,0,8.66,0,96.46,30,0,0,0,10,0,0,144.690000,96.46,0,0,0,16.67,0,0,98.400000,0.990000,33.760000,0.000000,0.000000,125.400000,0.000000,24.120000,25.690000,76.680000,271.290000,32.830000,50.160000,35.170000,1.660000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

20,04:45-05:00,0,0,10,0,16.67,0,0,48.23,8.99,0,8.66,0,96.46,30,0,0,0,10,0,0,144.690000,96.46,0,0,0,16.67,0,0,98.400000,0.990000,57.510000,0.000000,0.000000,160.970000,0.000000,24.120000,25.690000,76.680000,271.290000,32.830000,50.160000,35.170000,1.660000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

21,05:00-05:15,0,0,10,0,16.67,0,0,48.23,7.41,0,8.66,0,96.46,30,0,0,0,10,0,0,144.690000,96.46,0,0,0,16.67,0,0,98.400000,0.990000,68.030000,0.000000,0.000000,160.970000,0.000000,25.080000,25.690000,76.680000,271.290000,32.830000,79.100000,33.090000,1.750000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

22,05:15-05:30,0,0,9.88,0,16.67,0,0,48.23,7.41,0,8.6,0,96.46,29.63,0,0,0,9.87,0,0,144.690000,96.46,0,0,0,16.67,0,0,98.400000,0.990000,68.030000,0.000000,0.000000,160.970000,0.000000,25.080000,25.690000,76.680000,271.290000,32.830000,99.950000,33.090000,1.750000,48.230000,1.160000,0.620000,0.000000,25.690000,0.000000

