Block,Time,KKNPPU2,NLCIIST2,PARBATI3,RAPPC,RSTPSU1TO6,SALAL,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,FSTPP I & II,NJPC,NLCIIST1,NLCTS2EXP,RAMPUR,TANDA2,ANTA_CRF,ANTA_RF,CHAMERA1,DULHASTI,KKNP,RAPPB,BSIUL,KHSTPP-II,NAPP,NLCEXP,RIHAND2,TALST2,UNCHAHAR4,VALLURNTECL,ANTA_GF,DHAULIGNGA,KHSTPP-I,KOLDAM,KUDGI,SIMHST2,TANAKPUR,TelanganaSTPP,AURY_CRF,AURY_RF,JHAJJAR,KISHANGANGA,MAPS,SASAN,SINGRAULI_HYDRO,AURY_GF,DADRI_CRF,DADRI_GF,DADRI_LF,BRBCL,CHAMERA2,DADRT2,KGSU1AND2,KGSU3AND4,NTPL,RIHAND3,RSTPSU7,SEWA2,SIMHST1,TALA,TEHRI,URI,ANTA_LF,CHAMERA3,KOTESHWR,NNTPP,RIHAND1,SINGRAULI,URI2,AURY_LF,DADRI_RF
1,00:00-00:15,0,0,0,53.93,0,1.4,20.56,38.05,26.39,18.2,0,0,0,0,0,0,29.93,0,16.48,0,0,0,98.87,43.46,0,118.76,0,0,0,0,0,45.22,0,0,0,8.33,0,0,70.59,654.31,0,0,418.77,0,0,0,0,22.47,20,0,683.14,0,0,0,124.32,0,0,0,0,0,26.49,0,0,8.87,0,45,112.24,4.44,0,67.95

2,00:15-00:30,0,0,0,53.93,0,1.4,20.56,33.57,26.39,18.2,0,0,0,0,0,0,29.93,0,16.48,0,0,0,98.87,43.46,0,118.76,0,0,0,0,0,45.22,0,0,0,8.33,0,0,70.59,654.31,0,0,418.77,0,0,0,0,22.47,20,0,683.14,0,0,0,124.32,0,0,0,0,0,26.49,0,0,8.87,0,45,112.24,4.44,0,67.95

3,00:30-00:45,0,0,0,53.93,0,1.4,20.56,29.09,26.39,18.2,0,0,0,0,0,0,29.93,0,16.48,0,0,0,98.87,43.46,0,118.76,0,0,0,0,0,45.22,0,0,0,8.33,0,0,70.59,654.31,0,0,418.77,0,0,0,0,22.47,20,0,683.14,0,0,0,124.32,0,0,0,0,0,26.49,0,0,8.87,0,45,112.24,18.83,0,67.95

4,00:45-01:00,0,0,0,53.93,0,1.4,20.56,29.09,26.39,18.2,0,0,0,0,0,0,29.93,0,16.48,0,0,0,98.87,43.46,0,118.76,0,0,0,0,0,45.22,0,0,0,2.56,0,0,70.59,654.31,0,0,418.77,0,0,0,0,22.47,20,0,683.14,0,0,0,124.32,0,0,0,0,0,3.31,0,0,8.87,0,45,112.24,18.83,0,67.95

5,01:00-01:15,0,0,0,53.93,0,1.4,20.56,29.09,26.39,18.2,0,0,0,0,0,0,29.93,0,16.48,0,0,0,98.87,43.46,0,118.76,0,0,0,0,0,45.22,0,0,0,2.56,0,0,70.59,654.31,0,0,418.77,0,0,0,0,22.47,20,0,683.14,0,0,0,124.32,0,0,0,0,0,1.66,0,0,8.87,0,45,112.24,18.83,0,67.95

