Block,Time,CHAMERA2,DADRT2,KISHANGANGA,RAMPUR,RSTPSU1TO6,TEHRI,ANTA_LF,AURY_GF,DADRI_CRF,JHAJJAR,KOLDAM,NNTPP,NTPL,SALAL,SEWA2,UNCHAHAR1,KGSU3AND4,RAPPC,SASAN,TALST2,UNCHAHAR3,URI,VALLURNTECL,ANTA_GF,ANTA_RF,DADRI_GF,DADRI_RF,CHAMERA1,FSTPP I & II,MAPS,NJPC,RSTPSU7,SINGRAULI_HYDRO,UNCHAHAR4,AURY_CRF,AURY_RF,DADRI_LF,CHAMERA3,DHAULIGNGA,NLCEXP,RIHAND1,RIHAND3,TANAKPUR,TANDA2,BRBCL,BSIUL,KHSTPP-II,KKNP,SIMHST1,URI2,KHSTPP-I,KUDGI,NAPP,NLCIIST2,NLCTS2EXP,RAPPB,SIMHST2,SINGRAULI,TelanganaSTPP,ANTA_CRF,AURY_LF,DULHASTI,KGSU1AND2,KKNPPU2,KOTESHWR,NLCIIST1,PARBATI3,RIHAND2,TALA,UNCHAHAR2
1,00:00-00:15,1.6,683.14,0,0,0,0,0,0,0,436.2,0,0,0,2.33,0,20.56,0,52.53,348.98,0,26.39,0.66,0,0,42.84,0,66.85,0,20.8,0,0,0,0,0,0,70.37,22.47,0,9.13,0,92,124.32,5.13,0,20,0,94.41,0,0,4.57,44.92,0,41.65,0,0,0,0,125.97,0,0,0,16.48,0,0,8.87,0,0,118.76,0,21.19

2,00:15-00:30,1.6,683.14,0,0,0,0,0,0,0,436.2,0,0,0,2.33,0,20.56,0,52.53,348.98,0,26.39,0.66,0,0,42.84,0,66.85,0,20.8,0,0,0,0,0,0,70.37,22.47,0,9.13,0,92,124.32,5.13,0,20,0,94.41,0,0,4.57,44.92,0,41.65,0,0,0,0,125.97,0,0,0,16.48,0,0,8.87,0,0,118.76,0,21.19

3,00:30-00:45,1.6,683.14,0,0,0,0,0,0,0,436.2,0,0,0,2.33,0,20.56,0,52.53,348.98,0,26.39,0.66,0,0,42.84,0,66.85,0,20.8,0,0,0,0,0,0,70.37,22.47,0,0,0,92,124.32,10.25,0,20,0,94.41,0,0,4.57,44.92,0,41.65,0,0,0,0,125.97,0,0,0,16.48,0,0,8.87,0,0,118.76,0,21.19

4,00:45-01:00,1.6,683.14,0,0,0,0,0,0,0,436.2,0,0,0,2.33,0,20.56,0,52.53,348.98,0,26.39,0.66,0,0,42.84,0,66.85,0,20.8,0,0,0,0,0,0,70.37,22.47,0,0,0,92,124.32,10.25,0,20,0,94.41,0,0,4.57,44.92,0,41.65,0,0,0,0,125.97,0,0,0,16.48,0,0,8.87,0,0,118.76,0,21.19

5,01:00-01:15,1.6,683.14,0,0,0,0,0,0,0,436.2,0,0,0,2.33,0,20.56,0,52.53,348.98,0,26.39,35.33,0,0,42.84,0,66.85,0,20.8,0,0,0,0,0,0,70.37,22.47,0,0,0,92,124.32,5.13,0,20,0,94.41,0,0,4.57,44.92,0,41.65,0,0,0,0,125.97,0,0,0,16.48,0,0,8.87,0,0,118.76,0,21.19

