Column1,Time,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,GNA/NR/2024/08/14/7906,NR/01102023/31102037/L_NR_2019_11,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,NR/01082024/15082024/APL-Raigarh,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/31082024/SKS-Raigarh,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/08/14/2226,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,48.08,17.36,31,86.75,38.47,0,0,48.08,0,31,192.34,0,100.19,0,17.08,271.92,12.39,261.1,0,114.92,29.26,0,0,0,0,0,0,7,0,31,9.33,10,28,9.34,31,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,48.08,18.55,31,86.75,38.47,0,0,48.08,0,31,192.34,0,100.19,0,17.08,271.92,12.39,261.1,0,114.92,29.26,0,0,0,0,0,0,7,0,31.33,9.67,10.34,29,9.66,31.33,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,48.08,19.7,31,86.75,38.47,0,0,48.08,0,31,192.34,0,100.19,0,17.08,271.92,12.39,261.1,0,114.92,29.26,0,0,0,0,0,0,7,0,31.67,9.83,10.34,29.5,9.84,31.67,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,48.08,19.7,31,86.75,38.47,0,0,48.08,0,31,192.34,0,100.19,0,17.08,271.92,12.39,261.1,0,114.92,29.26,0,0,0,0,0,0,7,0,32,10.33,10.66,31,10.34,32,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,48.08,20.88,31,86.75,38.47,0,0,48.08,0,0,192.34,0,100.19,0,17.08,271.92,12.39,261.1,0,114.92,29.26,0,0,0,0,0,0,7,0,32.33,10.33,10.66,31,10.34,32.33,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,48.08,22.06,31,86.75,38.47,0,0,48.08,0,0,192.34,0,100.19,0,17.08,271.92,12.39,261.1,0,114.92,29.26,0,0,0,0,0,0,7,0,32.67,10,10.66,30,10,32.67,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,48.08,23.64,31,86.75,38.47,0,0,48.08,0,0,192.34,0,100.19,0,17.08,271.92,12.39,261.1,0,114.92,29.26,0,0,0,0,0,0,7,0,33,9.67,10.66,29,9.66,33,0,0,0,0,0,0,0,0,0,0,0

