Time,Block,NR/2023/17404/F,NR/2023/17890/C,NR/2023/17344/F,NR/2023/17263/F,NR/2023/17165/A,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17496/F,NR/2023/17889/C,WR/2023/17681/A,NR/2023/17891/C,WR/2023/19090/A,NR/2023/17894/C,WR/2023/17681/A/II,Total
,,MANIKARAN,TPDDL,ITCLH,APPCPL,NVVNL,MANIKARAN,APPCPL,IEXL,SJVNL,MANIKARAN,NVVNL,TPTCL,SJVNL,MANIKARAN,Total

,,DELHI,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,NA,DELHI,DELHI,KARNATAKA,NA,DELHI,NA,DELHI,NA,DELHI,
,,BRPL,CHANJUII,ITCWIND,BRPL,SKS Raigarh,BRPL,BYPL,NSLSUGAR,SORANG_HEP,BYPL,SOLAPUR_SOLAR,BYPL,RSRPL_BKN,BYPL,
,,HIMACHAL PRADESH,DELHI,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,MAHARASHTRA,DELHI,MAHARASHTRA,DELHI,MAHARASHTRA,
,,HP,TPDDL,ITCLH,HP,NDMC,HP,HP,MES (Delhi),NDMC,AEML,MES (Delhi),TPC MSEB,NDMC,AEML,
,,North-North,North-North,South-West-North,North-North,West-North,North-North,North-North,South-East-North,North-North,North-West,West-North,North-West,North-North,North-East-West,
1,00:00-00:15,20.400000,4.350000,0.580000,179.140000,62.930000,0.000000,76.880000,6.780000,0.000000,100.000000,0,0.000000,0,0.000000,451.06

2,00:15-00:30,20.400000,4.350000,0.580000,179.140000,62.930000,0.000000,76.880000,6.780000,0.000000,100.000000,0,0.000000,0,0.000000,451.06

3,00:30-00:45,20.400000,4.350000,0.580000,179.140000,62.930000,0.000000,76.880000,6.780000,0.000000,100.000000,0,0.000000,0,0.000000,451.06

4,00:45-01:00,20.400000,4.350000,0.580000,179.140000,62.930000,0.000000,76.880000,6.780000,0.000000,100.000000,0,0.000000,0,0.000000,451.06

5,01:00-01:15,20.400000,4.350000,0.530000,179.140000,62.930000,0.000000,76.880000,6.780000,0.000000,100.000000,0,0.000000,0,0.000000,451.01

