Block,Time,JHAJJAR,ANTA_RF,DHAULIGNGA,SALAL,UNCHAHAR1,NAPP,KOTESHWR,CHAMERA1,DADRI_RF,DULHASTI,RAPPC,AURY_RF,CHAMERA3,RIHAND1,RIHAND3,DADRI_LF,RIHAND2,RAMPUR,SINGRAULI,DADRI_CRF,UNCHAHAR3,TANAKPUR,ANTA_CRF,URI2,UNCHAHAR4,TEHRI,SEWA2,DADRT2,PARBATI3,AURY_CRF,KOLDAM,BSIUL,DADRI_GF,ANTA_GF,AURY_GF,UNCHAHAR2,AURY_LF,TANDA2,SINGRAULI_HYDRO,NJPC,KISHANGANGA,ANTA_LF,URI,RAPPB,CHAMERA2,TALA,BRBCL,KHSTPP-II,KHSTPP-I,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,338.703500,0.000000,0.000000,1.337927,6.657938,20.494920,8.514603,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,88.274000,118.657167,0.000000,56.668070,0.000000,112.261500,0.000000,11.514000,0.000000,0.000000,4.517518,0.000000,0.000000,0.000000,335.825000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.311500,0.000000,0.000000,0.697499,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,14.392500,104.479686,21.546901,4.797500,401.809815,0,0,0,0,0

2,00:15-00:30,338.703500,0.000000,0.000000,1.337927,8.635500,20.494920,8.514603,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,88.274000,118.657167,0.000000,56.668070,0.000000,112.261500,0.000000,11.514000,0.000000,0.000000,4.517518,0.000000,0.000000,0.000000,335.825000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.311500,0.000000,0.000000,0.697499,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,14.392500,93.522561,20.903283,4.797500,401.809815,0,0,0,0,0

3,00:30-00:45,338.703500,0.000000,0.000000,1.337927,8.635500,20.494920,8.514603,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,88.274000,118.657167,0.000000,56.668070,0.000000,112.261500,0.000000,11.514000,0.368736,0.000000,4.517518,0.000000,0.000000,0.000000,335.825000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.311500,0.000000,0.000000,0.697499,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,14.392500,69.535061,20.903283,4.797500,401.809815,0,0,0,0,0

4,00:45-01:00,338.703500,0.000000,0.000000,1.337927,8.635500,20.494920,8.514603,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,88.274000,118.657167,0.000000,56.668070,0.000000,112.261500,0.000000,11.514000,0.368736,0.000000,4.517518,0.000000,0.000000,0.000000,335.825000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.311500,0.000000,0.000000,0.697499,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,14.392500,69.535061,20.903283,4.797500,401.809815,0,0,0,0,0

5,01:00-01:15,338.703500,0.000000,0.000000,1.337927,8.635500,20.494920,8.514603,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,88.274000,118.657167,0.000000,56.668070,0.000000,112.261500,0.000000,11.514000,6.760157,0.000000,4.517518,0.000000,0.000000,0.000000,335.825000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.311500,0.000000,0.000000,0.697499,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,14.392500,69.535061,20.903283,4.797500,401.809815,0,0,0,0,0

