Column1,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/8128,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/08/01/6209,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/1044,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/08/20/5464,NR/26072023/25122043/L_NR_2023_10,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,GNA/NR/2025/08/01/5784,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/07/5932,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/2952,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,26.25,87.07,5.98,0,130.61,48.26,77.98,0,2.78,0,0,19.22,0,0,5.83,6.67,10,10,0,0,0,0,0,32.41,0,0,0,0,96.53,0,0,0,8.77,48.26,20.83,19.31,24.13,8.77,24.13,15.3,17.41,7.67,-0,271.49,100.56,4.02,5.83,17.51,0,0,0

2,00:15-00:30,27.25,87.07,5.98,0,130.61,48.26,70.4,0,2.78,0,0,19.22,0,0,5.83,6.67,9.66,9.67,0,0,0,0,0,32.41,0,0,0,0,96.53,0,0,0,8.77,48.26,20.83,19.31,24.13,8.77,24.13,15.3,17.41,7.67,-0,271.49,100.56,4.02,5.83,17.51,0,0,0

3,00:30-00:45,27.25,87.07,5.98,0,130.61,48.26,70.4,0,2.78,0,0,19.22,0,0,6,6.67,9.66,9.67,0,0,0,0,0,32.81,0,0,0,0,96.53,0,0,0,8.77,48.26,20.83,19.31,24.13,8.77,24.13,15.3,17.41,8.05,-0,271.49,100.56,4.02,6,18,0,0,0

4,00:45-01:00,27.25,87.07,5.98,0,130.61,48.26,70.4,0,2.78,0,0,19.22,0,0,6.17,6.67,9.66,9.67,0,0,0,0,0,33.61,0,0,0,0,96.53,0,0,0,8.77,48.26,20.83,19.31,24.13,8.77,24.13,15.3,17.41,8.05,-0,271.49,100.56,4.02,6.17,18.49,0,0,0

5,01:00-01:15,27.25,87.07,5.98,0,130.61,48.26,70.4,0,2.78,0,0,19.22,0,0,6,3.33,3.34,3.33,0,0,0,0,0,35.61,0,0,0,0,96.53,0,0,0,8.77,48.26,20.83,19.31,24.13,8.77,24.13,15.3,17.41,7.86,-0,271.49,100.56,4.02,6,18,0,0,0

