Block,Time,SINGRAULI_HYDRO,SALAL,AURY_LF,UNCHAHAR2,TEHRI,KOTESHWR,DADRI_CRF,AURY_CRF,NAPP,ANTA_GF,NJPC,BSIUL,ANTA_LF,DADRI_GF,CHAMERA2,UNCHAHAR3,DADRI_RF,RAPPB,RIHAND3,ANTA_CRF,CHAMERA1,KOLDAM,RAMPUR,UNCHAHAR4,SINGRAULI,DULHASTI,RIHAND1,URI2,UNCHAHAR1,CHAMERA3,PARBATI3,JHAJJAR,TANAKPUR,SEWA2,KISHANGANGA,TANDA2,URI,AURY_RF,DHAULIGNGA,AURY_GF,RIHAND2,DADRT2,ANTA_RF,DADRI_LF,RAPPC,FSTPP I & II,SASAN,TALA,KHSTPP-II,KHSTPP-I,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.679144,2.229878,0.000000,11.514000,0.000000,8.514603,0.000000,0.000000,20.699869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.635500,0.000000,0.000000,81.925180,0.000000,0.000000,0.000000,0.000000,0.000000,106.287077,0.000000,55.867463,16.004921,4.797500,0.000000,0.000000,336.784500,1.966591,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,43.293408,337.744000,0.000000,0.000000,30.440138,4.797500,401.495051,0.000000,65.840890,18.879698,14.392497,0,0,0,0,0

2,00:15-00:30,0.679144,2.229878,0.000000,11.514000,0.000000,8.514603,0.000000,0.000000,20.699869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.635500,0.000000,0.000000,81.925180,0.000000,0.000000,0.000000,0.000000,0.000000,106.287077,0.000000,55.867463,16.004921,4.797500,0.000000,0.000000,336.784500,1.966591,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,43.293408,337.744000,0.000000,0.000000,30.440138,4.797500,401.809815,0.000000,65.840890,18.726178,14.392497,0,0,0,0,0

3,00:30-00:45,0.679144,2.229878,0.000000,11.514000,0.000000,8.514603,0.000000,0.000000,20.699869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.635500,0.000000,0.000000,81.925180,0.000000,0.000000,0.000000,0.000000,0.000000,106.287077,0.000000,55.867463,16.004921,4.797500,0.000000,0.000000,336.784500,1.966591,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,43.293408,337.744000,0.000000,0.000000,30.440138,4.797500,401.809815,0.000000,66.176715,18.726178,14.392497,0,0,0,0,0

4,00:45-01:00,0.679144,2.229878,0.000000,11.514000,0.000000,8.514603,0.000000,0.000000,20.699869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.635500,0.000000,0.000000,81.925180,0.000000,0.000000,0.000000,0.000000,0.000000,106.287077,0.000000,55.867463,16.004921,4.797500,0.000000,0.000000,336.784500,1.966591,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,43.293408,337.744000,0.000000,0.000000,30.440138,4.797500,401.809815,0.000000,66.176715,18.726178,14.392497,0,0,0,0,0

5,01:00-01:15,0.679144,2.229878,0.000000,11.514000,0.000000,8.514603,0.000000,0.000000,20.699869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.635500,0.000000,0.000000,81.925180,0.000000,0.000000,0.000000,0.000000,0.000000,106.287077,0.000000,55.867463,16.004921,4.797500,0.000000,0.000000,336.784500,1.966591,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,43.293408,337.744000,0.000000,0.000000,30.440138,4.797500,401.809815,0.000000,66.176715,18.726178,14.392497,0,0,0,0,0

