Block,Time,TALA,RAMPUR,PARBATI3,DADRI_RF,FSTPP I & II,SASAN,BRBCL,KHSTPP-II,KHSTPP-I,UNCHAHAR3,UNCHAHAR1,CHAMERA3,NJPC,ANTA_RF,RIHAND3,KISHANGANGA,AURY_LF,UNCHAHAR2,RAPPB,SINGRAULI_HYDRO,TANDA2,TEHRI,CHAMERA1,UNCHAHAR4,JHAJJAR,DADRI_CRF,DHAULIGNGA,CHAMERA2,TANAKPUR,KOTESHWR,NAPP,AURY_GF,AURY_RF,KOLDAM,SEWA2,SINGRAULI,URI,RIHAND1,DADRI_LF,SALAL,URI2,ANTA_GF,DADRI_GF,ANTA_LF,RAPPC,AURY_CRF,ANTA_CRF,DULHASTI,BSIUL,RIHAND2,DADRT2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,9.572505,5.414963,18.371902,0.000000,13.775190,336.167618,14.449476,142.857390,30.989457,25.997348,19.869893,33.552946,173.357832,0.000000,125.787810,8.034549,0.000000,41.433171,0.000000,1.105720,5.161459,48.587185,40.601245,1.926600,386.639721,0.000000,41.938361,46.719885,0.000000,11.105049,48.701405,0.000000,0.000000,9.836884,0.000000,143.512530,34.563204,93.493990,0.000000,80.593531,36.499938,0.000000,0.000000,0.000000,65.495617,0.000000,0.000000,57.003666,6.281487,119.815254,463.831069,0,0,0,0,0

2,00:15-00:30,9.572505,5.414963,18.371902,0.000000,13.775190,336.167618,14.449476,142.857390,30.989457,25.997348,19.869893,33.552946,173.357832,0.000000,125.787810,8.034549,0.000000,41.433171,0.000000,1.105720,5.161459,48.587185,40.601245,1.926600,386.639721,0.000000,41.938361,46.719885,0.000000,11.105049,48.701405,0.000000,0.000000,9.836884,0.000000,143.512530,34.563204,93.493990,0.000000,80.593531,36.499938,0.000000,0.000000,0.000000,65.495617,0.000000,0.000000,57.003666,6.281487,119.815254,463.831069,0,0,0,0,0

3,00:30-00:45,9.572505,5.414963,18.371902,0.000000,13.775190,336.167618,14.449476,142.857390,30.989457,25.997348,19.869893,33.552946,173.357832,0.000000,125.787810,8.034549,0.000000,41.433171,0.000000,1.105720,5.161459,48.356913,40.601245,1.926600,386.639721,0.000000,41.938361,46.719885,0.000000,11.105049,48.701405,0.000000,0.000000,9.836884,0.000000,143.512530,34.563204,93.493990,0.000000,80.593531,36.499938,0.000000,0.000000,0.000000,65.495617,0.000000,0.000000,57.003666,6.281487,119.815254,525.219963,0,0,0,0,0

4,00:45-01:00,9.572505,5.414963,18.371902,0.000000,13.775190,336.167618,14.449476,142.857390,30.989457,25.997348,19.869893,33.552946,173.357832,0.000000,125.787810,8.034549,0.000000,41.433171,0.000000,1.105720,5.161459,32.237943,40.601245,1.926600,386.639721,0.000000,41.938361,46.719885,0.000000,11.105049,48.701405,0.000000,0.000000,9.836884,0.000000,143.512530,34.563204,93.493990,0.000000,80.593531,36.499938,0.000000,0.000000,0.000000,65.495617,0.000000,0.000000,57.003666,6.281487,119.815254,489.747692,0,0,0,0,0

5,01:00-01:15,9.374258,5.414963,18.371902,0.000000,13.775190,336.167618,13.917306,142.857390,30.989457,25.997348,19.869893,33.552946,173.357832,0.000000,125.787810,8.034549,0.000000,41.433171,0.000000,1.105720,5.161459,32.237943,40.601245,1.926600,357.392777,0.000000,41.938361,46.719885,0.000000,11.105049,48.701405,0.000000,0.000000,9.836884,0.000000,143.512530,34.563204,93.493990,0.000000,80.593531,36.499938,0.000000,0.000000,0.000000,65.495617,0.000000,0.000000,57.003666,6.281487,119.815254,432.416041,0,0,0,0,0

6,01:15-01:30,9.374258,5.414963,18.371902,0.000000,13.775190,336.167618,12.990319,142.857390,30.989457,25.997348,19.869893,33.552946,173.357832,0.000000,125.787810,8.034549,0.000000,41.433171,0.000000,1.105720,5.161459,16.118971,40.601245,1.926600,266.352450,0.000000,41.938361,46.719885,0.000000,11.105049,48.701405,0.000000,0.000000,9.836884,0.000000,143.512530,34.563204,93.493990,0.000000,80.593531,36.499938,0.000000,0.000000,0.000000,65.495617,0.000000,0.000000,57.003666,6.281487,119.815254,419.388646,0,0,0,0,0

7,01:30-01:45,9.374258,5.414963,4.115306,0.000000,13.775190,336.167618,11.846713,142.857390,30.989457,25.997348,19.869893,33.552946,173.357832,0.000000,125.787810,8.034549,0.000000,41.433171,0.000000,1.105720,5.161459,16.118971,40.601245,1.926600,182.392173,0.000000,41.938361,46.719885,0.000000,11.105049,48.701405,0.000000,0.000000,9.836884,0.000000,143.512530,39.880620,93.493990,0.000000,80.593531,36.499938,0.000000,0.000000,0.000000,65.495617,0.000000,0.000000,57.003666,6.281487,119.815254,419.388646,0,0,0,0,0

8,01:45-02:00,9.374258,5.414963,4.115306,0.000000,13.775190,336.167618,11.804760,142.857390,30.989457,25.997348,19.869893,33.552946,173.357832,0.000000,125.787810,8.034549,0.000000,41.433171,0.000000,1.105720,5.161459,0.000000,40.601245,1.926600,126.673950,0.000000,41.938361,46.719885,0.000000,11.105049,48.701405,0.000000,0.000000,9.836884,0.000000,143.512530,39.880620,93.493990,0.000000,80.593531,36.499938,0.000000,0.000000,0.000000,65.495617,0.000000,0.000000,57.003666,6.281487,119.815254,419.388646,0,0,0,0,0

