Column1,Block,NR/2025/32532/A/96428,NR/2025/32532/A/96427,NR/2025/32599/A/96415,NR/2025/32534/A/96430,NR/2025/32534/A/96429,NR/2025/32535/A/96431,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/96432,NR/2025/32375/A/96500,NR/2025/31046/A/96466,NR/2025/31047/A/96467,NR/2025/32559/A/96507,NR/2025/31041/A/96464,NR/2025/33233/A/96320,NR/2025/32004/A/96518,NR/2025/31042/A/96465,NR/2025/32554/A/96468,NR/2025/32262/A/96356,NR/2025/29440/A/96070,NR/2025/32610/A/96506,NR/2025/29992/A/96076,NR/2025/32556/A/96510,NR/2025/33489/C,NR/2025/33490/C,NR/2025/32598/A/96325,NR/2025/31421/A/96503,NR/2025/33491/C,NR/2025/32455/A/96601,NR/2025/33460/C,NR/2025/33461/C,NR/2025/33462/C,NR/2025/33418/C,NR/2025/32397/A/96015,NR/2025/33421/C,NR/2025/33422/C,NR/2025/33466/C,NR/2025/33482/C,NR/2025/33394/C,NR/2025/32653/A/96210,NR/2025/32652/A/96212,NR/2025/32857/A/96198,NR/2025/33474/C,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/4452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6209,Total
,,ABLWM1_AEROCITY,ABLWM1_AEROCITY,BRPL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,SECI_Trader,OIDLWM3_AEROCITY,NVVNL,PowerPulse,PowerPulse,APPCPL,PowerPulse,PTC,APPCPL,PowerPulse,PowerPulse,TPTCL,ITCLH,APPCPL,BYPL,APPCPL,APPCPL,APPCPL,PTC,NVVNL,APPCPL,MANIKARAN,NVVNL,NVVNL,DIAPL,PowerPulse,IEXL,PowerPulse,PowerPulse,NVVNL,APPCPL,BYPL,GMRETL,GMRETL,GMRETL,MES_Delhi,NDMC,APPCPL,DELHI,PowerPulse,MANIKARAN,BAWANA_GAS,NDMC,MANIKARAN,NVVNL,PUNJAB,MANIKARAN,APPCPL,NDMC,MANIKARAN,
,,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,NA,NA,NA,NA,GoHP_NJPC_STATE,MSEB_State,NA,NA,MSEB_State,ANDHRA_PRADESH_STATE,NA,KERALA_State,NA,NA,NA,GoHP_NJPC_STATE,NA,NA,NA,MP_State,NA,HIMACHAL_STATE,NA,MSEB_State,NA,NA,NA,MSEB_State,KERALA_State,NA,NA,NA,NA,NA,GOA_State,HIMACHAL_STATE,MSEB_State,MSEB_State,DELHI_UT,NA,NA,NA,DELHI_UT,MP_State,GOA_State,NA,NA,
,,TCSPL_BKN2,TESPL_BKN2,TS1PL_BKN,TCSPL_BKN2,TESPL_BKN2,TESPL_BKN2,APSEPL_FTG,TCSPL_BKN2,JP_BINA,APL_Raigarh_TPP,APL_Raigarh_TPP,RKM_POWER,MAHAN_ENERGEN,GoHP_NJPC,AEML,MAHAN_ENERGEN,APL_Raipur_TPP,TPC_MSEB,ITCWIND,RKM_POWER,KSEB,JPL2,RKM_POWER,JPL2,GoHP_NJPC,JPNIGRIE_JNSTPP,RKM_POWER,MBMP,JP_BINA,JPNIGRIE_JNSTPP,GBHHPL,APL_Raipur_TPP,A_A_Energy_MH_Bio,APL_Raigarh_TPP,MAHAN_ENERGEN,Kameng,AEML,KSEB,JGCPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,NTPCREL_PSS2_KPS2_S,JIPL,GOA_Beneficiary,CHANJUII,Vidarbha_Industry_MH,AEML,BAWANA_GAS,TRN_ENERGY,DBPL,JHABUA_IPP,BAWANA_GAS,BLAPOWER_MP,GOA_Beneficiary,SKS_Raigarh,MBMP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,ABLWM1_AEROCITY,ABLWM1_AEROCITY,BRPL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,TPDDL,OIDLWM3_AEROCITY,TPDDL,TPDDL,TPDDL,NDMC,TPDDL,BRPL,BYPL,TPDDL,BRPL,BYPL,ITCLH,NDMC,BYPL,NDMC,NDMC,NDMC,BRPL,TPDDL,NDMC,BRPL,TPDDL,TPDDL,DIAPL,BRPL,MES_Delhi,TPDDL,TPDDL,TPDDL,BYPL,BYPL,DTCP,BLKMH,MAX_HPTL,MES_Delhi,NDMC,BRPL,TPDDL,BRPL,BRPL,HARYANA,NDMC,BRPL,BRPL,PUNJAB,BRPL,BRPL,NDMC,BRPL,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,South-West-North,North-North,North-North,North-North,West-North,East-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.87,26.27,44.32,26.27,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,48.18,1521.4399999999996

2,00:15-00:30,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.87,26.27,44.32,26.27,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,48.18,1521.4399999999996

