Column1,Time,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/24/8633,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/4327,GNA/WR/2025/04/01/4420,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/6216,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/4565,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,NR/30092023/26122029/SH-06,GNA/SR/2025/04/01/2597,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/6490,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668
1,00:00-00:15,10.41,2.88,19.23,4.04,72.11,7.73,43.7,2.88,22.04,77.3,96.15,14.57,72.11,0,53.33,22.33,53.34,22.33,30.28,114.97,0,6.21,0,230.76,9.62,0,10.67,0,48.08,32,2.88,9.62,1.92,32,52.5,5.42,9.62,100.17,86.73,271.86,0,0,0,0,0,0,7.6,0,22.33,0,67.01,0,0,0,0,0

2,00:15-00:30,10.41,2.88,19.23,4.04,72.11,7.73,43.7,2.88,22.04,77.3,96.15,14.57,72.11,0,53.33,22.17,53.34,22.33,30.28,114.97,0,6.21,0,230.76,9.62,0,10.67,0,48.08,32,2.88,9.62,1.92,32,52.5,5.42,9.62,100.17,86.73,271.86,0,0,0,0,0,0,7.8,0,22.17,0,66.49,0,0,0,0,0

3,00:30-00:45,10.41,2.88,19.23,4.04,72.11,7.73,43.7,2.88,22.04,77.3,96.15,14.57,72.11,0,53.67,21.83,53.66,22.33,30.78,114.97,0,6.21,0,230.76,9.62,0,10.67,0,48.08,32,2.88,9.62,1.92,32,52.5,5.42,9.62,100.17,86.73,271.86,0,0,0,0,0,0,14.41,0,21.83,0,65.51,0,0,0,0,0

4,00:45-01:00,10.41,2.88,19.23,4.04,72.11,7.73,43.7,2.88,22.04,77.3,96.15,14.57,72.11,0,53.67,21.5,53.66,22,30.78,114.97,0,6.21,0,230.76,9.62,0,10.67,0,48.08,32,2.88,9.62,1.92,32,52.5,5.42,9.62,100.17,86.73,271.86,0,0,0,0,0,0,14.01,0,21.5,0,64.5,0,0,0,0,0

5,01:00-01:15,10.41,2.88,19.23,4.04,72.11,7.73,43.7,2.88,22.04,77.3,96.15,14.57,72.11,0,54,21.17,54,21.67,30.78,114.97,0,5.98,0,230.76,9.62,0,10.59,0,48.08,32,2.88,9.62,1.92,32,52.5,5.42,9.62,100.17,86.73,271.86,0,0,0,0,0,0,8.01,0,21.17,0,63.49,0,0,0,0,0

