Column1,Block,NR/2025/27317/C,NR/2025/27405/C,NR/2025/27323/C,NR/2025/26082/A/75160,NR/2025/26101/A/74865,NR/2025/26822/A/75172,NR/2025/26233/A/75179,NR/2025/27149/A/74800,NR/2025/26005/A/74708,NR/2025/26879/A/74824,NR/2025/26291/A/75176,NR/2025/25861/A/75134,NR/2025/26827/A/75168,NR/2025/25967/A/75141,NR/2025/27398/C,NR/2025/27370/C,NR/2025/26289/A/75177,GNA/NR/2025/05/01/4138,NR/2025/27406/C,NR/2025/26336/A/74826,NR/2025/27319/C,NR/2025/27408/C,NR/2025/27318/C,NR/2025/27412/C,NR/2025/26265/A/75178,NR/2025/26004/A/74705,NR/2025/27396/C,NR/2025/27413/C,NR/2025/26085/A/74614,NR/2025/27397/C,NR/2025/27341/C,NR/2025/26959/A/74802,NR/2025/25860/A/75133,NR/2025/27320/C,NR/2025/26202/A/75158,NR/2025/25859/A/75132,NR/2025/27316/C,NR/2025/27322/C,NR/2025/27382/C,NR/2025/26191/A/74702,NR/2025/26828/A/75201,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7791,NR/30092023/26122029/SH-06,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/9252,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9395,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/3877,NR/2025/26829/A/75167,NR/2025/26785/A/74676,NR/2025/26232/A/75180,NR/2025/26153/A/74677,NR/2025/26825/A/75169,NR/2025/26379/A/75140,NR/2025/27409/C,NR/2025/27410/C,NR/2025/26335/A/74825,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/74674,Total
,,HPXL,APPCPL,IEXL,NVVNL,GMRETL,APPCPL,HPXL,DIAPL,PXIL,BRPL,HPXL,PowerPulse,APPCPL,PowerPulse,NVVNL,PowerPulse,HPXL,PowerPulse,APPCPL,BRPL,HPXL,APPCPL,HPXL,GEPL_Trader,HPXL,PXIL,NVVNL,GEPL_Trader,ITCLH,NVVNL,PXIL,DIAPL,PowerPulse,HPXL,NVVNL,PowerPulse,HPXL,IEXL,TPDDL,PXIL,APPCPL,PXIL,IEXL,PUNJAB,SIMHAPURI,PXIL,HPXL,BAWANA_GAS,NDMC,PXIL,HPXL,IEXL,DELHI,PXIL,JPL,HPXL,PowerPulse,PXIL,PXIL,APPCPL,IEXL,HPXL,IEXL,APPCPL,PowerPulse,APPCPL,APPCPL,BRPL,SECI_Trader,IEXL,
,,NA,NA,TAMILNADU_State,NA,HIMACHAL_STATE,NA,GEB_State,HIMACHAL_STATE,NA,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEB_State,NA,MP_State,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,HIMACHAL_STATE,NA,GEB_State,NA,NA,NA,NA,NA,NA,NA,Meghalaya_State,ODISHA_STATE,DELHI_UT,NA,ODISHA_STATE,HIMACHAL_STATE,DELHI_UT,NA,ODISHA_STATE,NA,JK_and_LADAKH_UT,HIMACHAL_STATE,NA,NA,MSEB_State,NA,CSEB_State,UTTARPRADESH_STATE,NA,NA,GEB_State,TAMILNADU_State,NA,NA,NA,NA,NA,NA,NA,
,,SIMHAPURI,SKS_Raigarh,SURYADEV_ALLOYSTN,SKS_Raigarh,GBHHPL,SKS_Raigarh,PCBL_MUNDRA,GBHHPL,SKS_Raigarh,RIHAND3,Ultratech_Sidhi_MP,APL_Raipur_TPP,JPL2,MAHAN_ENERGEN,SORANG_HEP,COASTGEN,SIMHAPURI,COASTGEN,RKM_POWER,DADRT2,PCBL_PALEJ,JPL2,Ultratech_Sidhi_MP,SORANG_HEP,JPL,ILFS,JPNIGRIE_JNSTPP,DIKCHU,ITCWIND,Kameng,JPNIGRIE_JNSTPP,GBHHPL,APL_Raipur_TPP,PCBL_MUNDRA,JPNIGRIE_JNSTPP,APL_Raipur_TPP,JPL,MBMP,JHAJJAR,JPNIGRIE_JNSTPP,TRN_ENERGY,Meghalaya_Ben,VSL,BAWANA_GAS,SIMHAPURI,FACORPOWER,KGEPL_HP,BAWANA_GAS,JIPL,FACORPOWER,JPL,O2ZTPL,CHANJUII,SINGOLI,JPL2,GRETAENERGY,APL_Raipur_TPP,SKSIPL,LAPL_UP,RKM_POWER,MBMP,PCBL_PALEJ,SURYADEV_ALLOYSTN,RKM_POWER,COASTGEN,TRN_ENERGY,RKM_POWER,TS1PL_BKN,APSEPL_FTG,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,NDMC,BRPL,BYPL,TPDDL,NDMC,BRPL,DIAPL,BYPL,BRPL,BRPL,TPDDL,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,BRPL,BYPL,BRPL,BYPL,TPDDL,BYPL,ITCLH,TPDDL,BRPL,DIAPL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,NDMC,TPDDL,BRPL,NDMC,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,HARYANA,NDMC,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,BRPL,NDMC,BRPL,NDMC,NDMC,BRPL,TPDDL,MES_Delhi,
,,South-West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,South-West-North,South-West-North,South-East-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,East-North,South-West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,East-North,North-North,South-West-North,East-North,North-North,North-North,East-North,East-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,96.6,48.3,0,88.6,0.77,98.68,0,6.76,0,0,96.6,0,0,0,204.79,48.3,8.78,67.62,0,32,20.53,14.49,13.52,0,17.56,14.49,0,0,13.68,28.98,82.11,5.8,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,2112.99

2,00:15-00:30,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,96.6,48.3,0,88.6,0.77,98.68,0,6.76,0,0,96.6,0,0,0,204.79,48.3,8.78,67.62,0,32,20.53,14.49,13.52,0,17.56,14.49,0,0,13.68,28.98,82.11,5.8,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,2112.99

