Block,Time,DHAULIGNGA,KHSTPP-I,TANAKPUR,UNCHAHAR3,DADRI_GF,DADRI_LF,KGSU3AND4,KISHANGANGA,KUDGI,NLCIIST2,PARBATI3,RIHAND2,SALAL,SIMHST1,SIMHST2,TALA,ANTA_LF,ANTA_RF,AURY_LF,CHAMERA1,KKNPPU2,NAPP,NJPC,RIHAND3,SEWA2,SINGRAULI,UNCHAHAR2,AURY_GF,NNTPP,RIHAND1,UNCHAHAR4,AURY_RF,DADRI_RF,CHAMERA2,CHAMERA3,JHAJJAR,KHSTPP-II,MAPS,RAPPD,SINGRAULI_HYDRO,TALST2,TEHRIPSP,ANTA_CRF,BRBCL,FSTPP I & II,KGSU1AND2,KOTESHWR,RAPPB,RAPPC,ANTA_GF,AURY_CRF,BSIUL,DADRT2,DULHASTI,KKNP,KOLDAM,NLCIIST1,PARBATI2,RSTPSU7,SASAN,NLCEXP,NLCTS2EXP,NTPL,RAMPUR,RSTPSU1TO6,TANDA2,TEHRI,TelanganaSTPP,UNCHAHAR1,URI,URI2,VALLURNTECL,DADRI_CRF
1,00:00-00:15,0,32.78,13.06,27.69,0,0,0,7.05,0,0,32.71,125.27,84.24,0,0,7.08,0,51.2,0,42.15,0,24.23,175.79,130.84,0,149.89,45,0,0,98.32,3.22,79.74,52.7,47.12,33.94,612.05,148.3,0,0,0.93,0,81.1,0,24.99,19.46,0,40.57,0,65.42,0,0,13.04,549.38,55.38,0,8.62,0,0,0,342,0,0,0,5.7,0,5.73,58.59,0,21.65,52.36,38.97,0,0

2,00:15-00:30,0,32.78,13.06,27.69,0,0,0,7.05,0,0,32.71,125.27,84.24,0,0,7.08,0,51.2,0,42.15,0,24.23,175.79,130.84,0,149.89,45,0,0,98.32,3.22,79.74,52.7,47.12,33.94,603.95,148.3,0,0,0.93,0,81.1,0,24.99,19.46,0,40.57,0,65.42,0,0,13.04,549.38,55.38,0,8.62,0,0,0,342,0,0,0,5.7,0,5.73,58.59,0,21.65,52.36,38.97,0,0

3,00:30-00:45,0,32.78,13.06,27.69,0,0,0,7.05,0,0,32.71,125.27,84.24,0,0,7.08,0,51.2,0,42.15,0,24.23,175.79,130.84,0,149.89,45,0,0,98.32,3.22,79.74,52.7,47.12,33.94,580.05,148.3,0,0,0.93,0,0,0,24.99,19.46,0,40.57,0,65.42,0,0,13.04,549.38,55.38,0,8.62,0,0,0,342,0,0,0,5.7,0,5.73,58.59,0,21.65,52.36,38.97,0,0

4,00:45-01:00,0,32.78,13.06,27.69,0,0,0,7.05,0,0,32.71,125.27,84.24,0,0,7.08,0,51.2,0,42.15,0,24.23,175.79,130.84,0,149.89,45,0,0,98.32,3.22,79.74,52.7,47.12,33.94,580.05,148.3,0,0,0.93,0,0,0,24.99,19.46,0,40.57,0,65.42,0,0,13.04,549.38,55.38,0,8.62,0,0,0,342,0,0,0,5.7,0,5.73,58.59,0,21.65,26.49,38.97,0,0

5,01:00-01:15,0,32.78,13.06,27.69,0,0,0,7.05,0,0,32.71,125.27,84.24,0,0,7.08,0,51.2,0,42.15,0,24.23,175.79,130.84,0,149.89,45,0,0,98.32,3.22,79.74,52.7,47.12,33.94,580.05,148.3,0,0,0.93,0,0,0,24.99,19.46,0,40.57,0,65.42,0,0,13.04,549.38,55.38,0,8.62,0,0,0,342,0,0,0,5.7,0,5.73,58.59,0,21.65,26.49,38.97,0,0

