Block,Time Block,KHSTPP-II,KHSTPP-I,KGSU1AND2,JHAJJAR,DHAULIGNGA,CHAMERA3,DADRT2,FSTPP I & II,DULHASTI,MAPS,KUDGI,DADRI_RF,DADRI_LF,CHAMERA2,CHAMERA1,BSIUL,BRBCL,KOTESHWR,PARBATI2,UNCHAHAR1,TEHRIPSP,TEHRI,UNCHAHAR2,TelanganaSTPP,ANTA_LF,AURY_GF,DADRI_CRF,UNCHAHAR4,VALLURNTECL,ANTA_GF,AURY_CRF,AURY_RF,URI2,UNCHAHAR3,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,URI,TALST2,TANDA2,TANAKPUR,KKNPPU2,KOLDAM,KKNP,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NAPP,TALA,RAPPC,RIHAND2,PARBATI3,RAPPB,RIHAND1,RIHAND3,RAPPD,RAMPUR,SASAN,SIMHST1,SIMHST2,SINGRAULI,RSTPSU1TO6,SALAL,SEWA2,RSTPSU7,SINGRAULI_HYDRO,NTPL,NNTPP,NLCTS2EXP,KGSU3AND4,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,93.62,43.7,0,445.46,0,32.58,654.98,18.68,51.71,0,0,1.86,0,45.23,40.46,0,16.11,42.19,14.86,19.99,170.06,71.64,41.94,0,0,0,0,1.55,0,0,0,1.96,35.92,25.36,0,1.09,0,0,50.26,0,1.36,12.53,0,8.27,0,0,0,0,0,24,19.58,62.79,120.23,49.94,0,94.37,125.58,23.17,0,401.94,0,0,108.27,0,80.31,17.6,0,0,0,0,0,0,4.45,0,0,0,0,0

2,00:15-00:30,93.62,43.7,0,445.46,0,32.58,654.98,18.68,51.71,0,0,0,0,45.23,40.46,0,12.88,42.19,14.86,19.99,170.06,71.64,41.94,0,0,0,0,1.55,0,0,0,0,35.92,25.36,0,0,0,0,50.26,0,1.36,12.53,0,8.27,0,0,0,0,0,24,19.58,62.79,120.23,49.94,0,94.37,125.58,23.17,0,401.94,0,0,108.27,0,80.31,17.6,0,0,0,0,0,0,4.45,0,0,0,0,0

3,00:30-00:45,93.62,43.7,0,445.46,0,32.58,654.98,18.68,51.71,0,0,0,0,45.23,40.46,0,13.14,42.19,14.86,19.99,170.06,71.64,41.94,0,0,0,0,1.55,0,0,0,0,31.42,25.36,0,0,0,0,42.38,0,1.36,12.53,0,8.27,0,0,0,0,0,24,19.58,62.79,120.23,54.22,0,94.37,125.58,23.17,0,401.94,0,0,108.27,0,80.31,17.6,0,0,0,0,0,0,4.45,0,0,0,0,0

4,00:45-01:00,93.62,43.7,0,445.46,0,32.58,658.49,18.68,51.71,0,0,0,0,45.23,40.46,0,12.04,42.19,14.86,19.99,170.06,71.64,41.94,0,0,0,0,1.55,0,0,0,0,31.42,25.36,0,0,0,0,42.38,0,1.36,12.53,0,8.27,0,0,0,0,0,24,19.58,62.79,120.23,54.22,0,94.37,125.58,23.17,0,401.94,0,0,108.27,0,80.31,17.6,0,0,0,0,0,0,4.45,0,0,0,0,0

5,01:00-01:15,93.62,43.7,0,445.46,0,32.58,613.59,18.68,51.71,0,0,0,0,45.23,40.46,0,13.91,42.19,14.86,19.97,170.06,71.64,41.29,0,0,0,0,1.55,0,0,0,0,35.92,25.36,0,0,0,0,42.38,0,1.36,12.53,0,8.27,0,0,0,0,0,24,19.78,62.79,120.23,49.94,0,94.37,125.58,23.17,0,401.94,0,0,108.27,0,80.31,17.6,0,0,0,0,0,0,4.45,0,0,0,0,0

