Block,Time,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,URI2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,SEWA2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,DULHASTI,RIHAND3,TEHRI,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NLCIIST2,NLCTS2EXP,NNTPP,KGSU3AND4,KKNPPU2,KGSU1AND2,KKNP,MAPS,NLCIIST1,KUDGI,NLCEXP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,SIMHST2,TALST2,VALLURNTECL,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,22.034892,0.814833,26.717787,16.588865,118.89858,79.122669,1.456306,56.016435,42.118205,657.89409,16.886902,1.00939,51.987209,125.295291,26.273875,2.429119,3.34799,142.003256,1.35123,59.79585,1.44175,42.14808,0,52.992,1.7934,84.9422,0,0,82.685088,0,0,0,41.305771,0,0,0,65.657542,0,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,15.386,20.73185,0,147.515625,43.097,418.77

2,00:15-00:30,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,22.034892,0.814833,26.717787,16.588865,89.173935,79.122669,1.456306,56.016435,42.118205,657.89409,16.886902,1.00939,51.987209,125.295291,26.273875,2.429119,3.34799,142.003256,1.012414,59.79585,1.44175,42.14808,0,52.992,1.7934,84.9422,0,0,82.685088,0,0,0,41.305771,0,0,0,65.657542,0,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,15.386,20.73185,0,147.515625,43.097,418.77

3,00:30-00:45,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,20.755001,0.814833,26.717787,16.588865,59.44929,79.122669,1.456306,56.016435,42.118205,657.89409,16.886902,1.00939,51.987209,125.295291,26.273875,1.82184,3.34799,142.003256,0.677632,59.79585,1.44175,28.09872,0,49.128,1.7934,84.9422,0,0,88.507981,0,0,0,41.305771,0,0,0,65.657542,0,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,15.386,20.73185,0,147.515625,43.097,418.77

4,00:45-01:00,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,20.755001,0.814833,26.717787,16.588865,59.44929,79.122669,1.456306,56.016435,42.118205,657.89409,16.886902,1.00939,51.987209,125.295291,26.273875,1.21456,3.34799,142.003256,0.677632,59.79585,1.44175,14.04936,0,49.128,1.7934,84.9422,0,0,88.507981,0,0,0,41.305771,0,0,0,65.657542,0,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,15.386,20.73185,0,147.515625,43.097,418.77

5,01:00-01:15,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,20.755001,0.814833,26.717787,16.588865,59.44929,79.122669,1.456306,56.016435,42.118205,657.89409,16.886902,1.00939,51.987209,125.295291,26.273875,0.490731,3.34799,142.003256,0.677632,59.79585,1.44175,0,0,49.128,1.7934,84.9422,0,0,88.507981,0,0,0,42.422143,0,0,0,65.657542,0,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,15.386,20.73185,0,147.515625,43.097,418.77

