Time,Block,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/19699/A/24391,NR/2024/20557/A/24383,NR/2024/19919/A/24377,NR/2024/20554/A/23910,NR/2024/19475/A/24317,NR/2024/20524/A/24401,NR/2024/20037/A/24030,NR/2024/21205/C,NR/2024/20560/A/24379,NR/2024/20597/A/24357,NR/2024/20144/A/24070,NR/2024/19918/A/24380,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/19978/A/24382,NR/2024/19637/A/24058,NR/2024/21182/C,NR/2024/19355/A/24371,NR/2024/21203/C,NR/2024/20572/A/24378,NR/2024/21020/A/24059,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/30092023/26122029/SH-06,NR/2024/20142/A/24071,NR/2024/20553/A/23921,NR/2024/20599/A/24026,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/2024/19683/A/23960,NR/2024/19432/A/24393,NR/2024/20211/A/24073,NR/2024/20130/A/24087,NR/01062024/30062024/IEPL01,NR/2024/20537/A/24338,NR/2024/20048/A/24359,NR/2024/20552/A/23923,NR/2024/20558/A/24381,NR/2024/20513/A/24077,NR/2024/19791/A/24384,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/2024/21181/C,NR/2024/21211/C,NR/2024/20109/A/24369,NR/2024/19642/A/24457,NR/2024/19640/A/24454,NR/2024/20050/A/24358,NR/01062024/30062024/R2,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/28062024/28062024/IEX_240627_01332,NR/2024/20516/A/24075,NR/2024/19779/A/23948,NR/2024/21215/C,NR/2024/19988/A/24032,NR/2024/19966/A/24044,NR/2024/19760/A/24035,NR/2024/20598/A/24024,NR/2024/20515/A/24076,NR/2024/20777/A/24022,NR/2024/20540/A/23788,NR/30092023/31122025/SH-07,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/2024/20090/A/23928,NR/2024/19588/A/24089,NR/2024/20141/A/24072,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/2024/20212/A/24074,NR/2024/19757/A/24388,NR/2024/20041/A/24360,NR/01102023/23072042/L_NR_2012_04,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21180/C,Total
,,MEJA,NVVNL,NVVNL,APPCPL,PXIL,AEL,HPXL,TPTCL,PXIL,NVVNL,PTC,BAL234,APPCPL,TPTCL,APPCPL,INSTINCT,NVVNL,TPDDL,IEXL,NVVNL,DIAPL,GMRETL,PUNJAB,BAL224,IEXL,TPTCL,TPTCL,APPCPL,INSTINCT,IEXL,NVVNL,JHPL-DL,DTCP,IEPLBELA2022,TPDDL,PTC,IEXL,NVVNL,MSSH,APPCPL,TPTCL,NVVNL,HPXL,TPDDL,MANIKARAN,MANIKARAN,PTC,PTC,NDMC,IEXL,BMDRC,ITCLH,HPXL,TPTCL,BRPL,TPTCL,TPTCL,MHIL,TPTCL,DIAPL,BAWANA_GAS,TPTCL,IEXL,GMRETL,BAL184,TPTCL,PTC,UHL,NVVNL,PTC,TPTCL,SECI_Trader,SECI_Trader,NVVNL,Total

,,UTTAR PRADESH,MP,NA,KERALA,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NAGALAND,NA,UTTARAKHAND,NA,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,TAMIL NADU,NA,NA,NA,NA,GOA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,KERALA,HIMACHAL PRADESH,MAHARASHTRA,NA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,NA,MAHARASHTRA,RAJASTHAN,HIMACHAL PRADESH,UTTAR PRADESH,MAHARASHTRA,HIMACHAL PRADESH,TAMIL NADU,MAHARASHTRA,NA,NA,NA,NA,
,,MEJA,JP BINA,SKS Raigarh,KSEB,IND_BHARAT,APL_Raipur TPP,GBHHPL,JPL_DHULE,HP-GOVT,RKM_POWER,SEILP2,SHPPBPL,Nagaland_Ben,SIMHAPURI,UTTARAKHAND,JPL-2,SORANG_HEP,JPL-2,HP-GOVT,JPL-2,GBHHPL,GBHHPL,BAWANA_GAS,SHPPBPL,JSWEL MSEB,ACBIL,HP-GOVT,Arunachal_Ben,JPL-2,NHCPL_HP,SEIL,SHPPBPL,SHPPBPL,IEPLBELA2022,JHAJJAR,HP,JSWEL,RKM_POWER,SHPPBPL,TANGEDCO,ACBIL,KAMENG,BALCO,JHAJJAR,GOA_Beneficiary,AEML,HP,SEILP2,JITPL,RKM_POWER,SHPPBPL,ITCWIND,KSEB,HP-GOVT,IEPLBELA2022,SIMHAPURI,PPGCL,SHPPBPL,HP-GOVT,GBHHPL,BAWANA_GAS,KWHEP,A_A_Energy_MH_Bio,RUVNL,SHPPBPL,PPGCL,JPL_DHULE,SHPPBPL,TANGEDCO,JPL_DHULE,MPL,SBSRPC11PL_BKN,SBSRPC11PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,DELHI,TPDDL,NDMC,BYPL,BRPL,BRPL,BRPL,TPDDL,BRPL,NDMC,BRPL,BAL234,BYPL,BRPL,BYPL,BRPL,TPDDL,TPDDL,BRPL,NDMC,DIAPL,BRPL,PUNJAB,BAL224,BRPL,BRPL,BRPL,BRPL,BRPL,MES (Delhi),TPDDL,JHPL-DL,DTCP,BRPL,TPDDL,BYPL,BRPL,NDMC,MSSH,BYPL,BRPL,TPDDL,BRPL,TPDDL,BRPL,BYPL,BRPL,BRPL,NDMC,BRPL,BMDRC,ITCLH,BRPL,BRPL,BRPL,BRPL,BRPL,MHIL,BRPL,DIAPL,HARYANA,BRPL,MES (Delhi),BYPL,BAL184,BRPL,BRPL,UHL,BRPL,BRPL,TPDDL,TPDDL,BYPL,MES (Delhi),
,,North-North,West-North,West-North,South-West-North,East-West-North,West-North,North-North,West-North,North-North,West-North,South-West-North,North-North,North East-East-North,South-West-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,North East-East-North,West-North,North-North,South-West-North,North-North,North-North,West-North,North-North,North-North,South-East-West-North,West-North,North-North,South-West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,South-West-North,East-North,West-North,North-North,South-West-North,South-East-North,North-North,West-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,North-North,South-West-North,West-North,East-North,North-North,North-North,West-North,
1,00:00-00:15,0.000000,48.240000,10.960000,308.700000,48.240000,192.940000,19.290000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,1.930000,24.120000,32.000000,0.520000,48.240000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,28.940000,32.890000,0.680000,64.710000,24.120000,168.580000,72.350000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,120.590000,0.970000,0.630000,48.240000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2920.58

2,00:15-00:30,0.000000,48.240000,10.960000,308.700000,48.240000,192.940000,19.290000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,1.930000,24.120000,32.000000,0.520000,48.240000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,28.940000,32.890000,0.680000,64.710000,24.120000,168.580000,72.350000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,120.590000,0.970000,0.630000,48.240000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2920.58

3,00:30-00:45,0.000000,48.240000,10.960000,308.700000,48.240000,192.940000,19.290000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,1.930000,24.120000,32.000000,0.520000,48.240000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,28.940000,32.890000,0.680000,64.710000,24.120000,168.580000,72.350000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,120.590000,0.970000,0.630000,48.240000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2920.58

4,00:45-01:00,0.000000,48.240000,10.960000,308.700000,48.240000,192.940000,19.290000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,1.930000,24.120000,32.000000,0.520000,48.240000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,28.940000,32.890000,0.680000,64.710000,24.120000,168.580000,72.350000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,120.590000,0.970000,0.630000,48.240000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2920.58

5,01:00-01:15,0.000000,48.240000,10.960000,308.700000,48.240000,192.940000,19.290000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,0.000000,1.930000,24.120000,32.000000,0.520000,48.240000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,28.940000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.580000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2646.46

6,01:15-01:30,0.000000,48.240000,10.960000,308.700000,48.240000,192.940000,19.290000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,0.000000,1.930000,24.120000,32.000000,0.520000,48.240000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,28.940000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.580000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2646.46

7,01:30-01:45,0.000000,48.240000,10.960000,308.700000,48.240000,192.940000,19.290000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,0.000000,1.930000,24.120000,32.000000,0.520000,48.240000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,28.940000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.580000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2646.46

8,01:45-02:00,0.000000,48.240000,10.960000,308.700000,48.240000,192.940000,19.290000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,0.000000,1.930000,24.120000,32.000000,0.520000,48.240000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,28.940000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.580000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2646.46

9,02:00-02:15,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,1.930000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.530000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2534.59

10,02:15-02:30,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,1.930000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.530000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2534.59

11,02:30-02:45,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,1.930000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.530000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2534.59

