Time,Block,NR/2023/14732/D,NR/2023/13983/F,NR/2023/13283/A,NR/2023/11204/A,NR/2023/11458/A,NR/2023/11892/A,NR/2023/11524/A,NR/2023/13858/A,NR/2023/13573/A,NR/2023/11654/A,NR/2023/14735/D,NR/2023/11521/A,NR/2023/11315/A,NR/2023/11954/A,NR/2023/11205/A,NR/2023/13573/A/II,NR/2023/12646/A,NR/2023/14756/C,NR/2023/14733/D,NR/2023/14136/F,NR/2023/11325/A,ER/2023/9024/C,NR/2023/11739/A,NR/2023/11264/A,NR/2023/11469/A,NR/2023/13983/F/II,NR/2023/11470/A,NR/2023/11697/A,NR/2023/13859/A,NR/2023/11328/A,NR/2023/14750/C,NR/2023/14187/F,NR/2023/13284/A,NR/2023/14734/D,NR/2023/13283/A/II,NR/2023/11203/A,NR/2023/14751/C,Total
,,TS1PL_BKN,ITCLH,APPCPL,KEIPL,STATKRAFT,TPTCL,PTC,MANIKARAN,NVVNL,TPTCL,NVVNL,PTC,GMRETL,KEIPL,KEIPL,NVVNL,MANIKARAN,IEXL,NVVNL,SJVNL,APPCPL,HPXL,NVVNL,TPTCL,NVVNL,ITCLH,NVVNL,APPCPL,MANIKARAN,APPCPL,TPDDL,GBHHPL,APPCPL,TS1PL_BKN,APPCPL,KEIPL,PXIL,Total

,,NA,ANDHRA PRADESH,GOA,KERALA,TAMIL NADU,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,NA,NA,NA,MEGHALAYA,MEGHALAYA,KERALA,NA,TAMIL NADU,KARNATAKA,NA,WEST BENGAL,MEGHALAYA,DELHI,MP,NA,NA,ANDHRA PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTARAKHAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,GOA,MEGHALAYA,DELHI,
,,TS1PL_BKN,ITCWIND,GOA_Beneficiary,KSEB,TANGEDCO,TPC MSEB,JPL-2,HP,SKS Raigarh,JPL-2,SOLAPUR_SOLAR,JPNIGRIE_JNSTPP,Meghalaya_Ben,Meghalaya_Ben,KSEB,SKS Raigarh,TANGEDCO,NSLSUGAR,KAMENG,IPCL_WB,Meghalaya_Ben,BYPL,JP BINA,KWHEP,JPNIGRIE_JNSTPP,ITCWIND,KAMENG,HP,HP,UTTARAKHAND,CHANJUII,GBHHPL,HP,TS1PL_BKN,GOA_Beneficiary,Meghalaya_Ben,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,
,,BYPL,ITCLH,BRPL,BYPL,BYPL,BYPL,TPDDL,BRPL,NDMC,BRPL,MES (Delhi),TPDDL,BYPL,BYPL,BRPL,NDMC,BRPL,MES (Delhi),TPDDL,NDMC,BYPL,VLSEZ,BRPL,BRPL,BRPL,ITCLH,BRPL,BYPL,BRPL,BYPL,TPDDL,DIAPL,BRPL,BRPL,BRPL,BYPL,ASIL_UP,
,,North-North,South-West-North,West-East-North,South-East-North,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North East-East-North,North East-East-North,South-East-North,West-East-North,South-West-North,South-West-North,North East-East-North,East-North,North East-East-North,North-East,West-North,North-North,West-North,South-East-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,North-North,
1,00:00-00:15,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.870000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.54

2,00:15-00:30,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.870000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.54
