Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,L_NR_2019_19,GNA/NR/2025/08/01/2414,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8128,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/4125,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/3698,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/08/01/6187,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6452,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/07/5932,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/2952,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNARE/SR/2025/01/13/4532
1,00:00-00:15,0,0,0,0,4.67,0,20.66,0,0,7.91,7.91,0,23.75,20.67,0,0,0,0,0,43.7,0,12.67,86.91,19.37,0,0,8.76,4.97,19.27,96.35,24.09,15.27,20.79,48.18,8.76,0,0,17.38,0,130.36,30.5,24.09,0,100.38,270.98,-0,66.12,4.01,27.25,43.01

2,00:15-00:30,0,0,0,0,4.67,0,20.66,0,0,8.12,8.12,0,24.33,20.67,0,0,0,0,0,43.7,0,12.67,86.91,19.37,0,0,8.76,4.04,19.27,96.35,24.09,15.27,20.79,48.18,8.76,0,0,17.38,0,130.36,30.5,24.09,0,100.38,270.98,-0,64.6,4.01,27.25,43.01

3,00:30-00:45,0,0,0,0,5,0,20.66,0,0,8.41,8.41,0,25.23,20.67,0,0,0,0,0,43.7,0,12.67,86.91,19.37,0,26.5,8.76,3.24,19.27,96.35,24.09,15.27,20.79,48.18,8.76,0,0,17.38,0,130.36,30.5,24.09,0,100.38,270.98,-0,57.8,4.01,27.75,43.01

4,00:45-01:00,0,0,0,0,5,0,20.66,0,0,8.73,8.73,0,26.18,20.67,0,0,0,0,0,43.7,0,12.67,86.91,19.37,0,26.5,8.76,3.24,19.27,96.35,24.09,15.27,20.79,48.18,8.76,0,0,17.38,0,130.36,30.5,24.09,0,100.38,270.98,-0,57.8,4.01,27.75,40.21

5,01:00-01:15,0,0,0,0,5,0,20,0,0,7.43,7.43,0,22.28,20,0,0,0,0,0,43.7,0,12.67,86.91,19.37,0,26.5,8.76,3.24,19.27,96.35,24.09,15.27,20.79,48.18,8.76,0,0,17.38,0,130.36,30.5,24.09,0,100.38,270.98,-0,34.95,4.01,27.75,37.42

