Block,Time,BSIUL,KUDGI,NLCIIST2,NLCTS2EXP,PARBATI3,RAPPC,RSTPSU7,UNCHAHAR3,URI,AURY_LF,DADRI_CRF,DADRI_LF,DADRT2,KGSU3AND4,NLCEXP,SASAN,SIMHST1,TEHRI,VALLURNTECL,BRBCL,KHSTPP-II,SINGRAULI_HYDRO,UNCHAHAR4,CHAMERA1,CHAMERA2,RSTPSU1TO6,TelanganaSTPP,DADRI_RF,CHAMERA3,KOTESHWR,SIMHST2,TANDA2,DULHASTI,KGSU1AND2,KISHANGANGA,KKNPPU2,NJPC,NTPL,RAPPB,RIHAND1,RIHAND3,SEWA2,SINGRAULI,UNCHAHAR2,URI2,ANTA_GF,ANTA_RF,AURY_CRF,AURY_GF,AURY_RF,DADRI_GF,JHAJJAR,KHSTPP-I,NAPP,NNTPP,RAMPUR,RIHAND2,SALAL,TANAKPUR,UNCHAHAR1,DHAULIGNGA,FSTPP I & II,KKNP,KOLDAM,MAPS,NLCIIST1,TALA,TALST2,ANTA_CRF,ANTA_LF
1,00:00-00:15,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,46.69,0,15,98.87,0,0,14.05,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,85.23,0,0,46,124.32,0,138.75,42.4,31.9,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

2,00:15-00:30,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,46.69,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,85.23,0,0,46,124.32,0,138.75,42.4,31.9,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

3,00:30-00:45,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,46.69,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,85.23,0,0,46,124.32,0,138.75,42.4,31.9,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

4,00:45-01:00,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,31.13,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,85.23,0,0,46,124.32,0,138.75,42.4,31.9,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

5,01:00-01:15,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,31.13,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,85.23,0,0,46,124.32,0,138.75,42.4,25.02,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

6,01:15-01:30,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,31.13,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,85.23,0,0,46,124.32,0,138.75,42.4,25.02,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

7,01:30-01:45,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,31.13,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,85.23,0,0,46,124.32,0,138.75,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

8,01:45-02:00,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,31.13,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,85.23,0,0,46,124.32,0,138.75,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

9,02:00-02:15,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,31.13,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,85.23,0,0,46,124.32,0,127.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

10,02:15-02:30,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,31.13,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,75.76,0,0,46,124.32,0,112.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

11,02:30-02:45,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,14.93,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,75.76,0,0,46,124.32,0,112.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

12,02:45-03:00,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,14.93,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,75.76,0,0,46,124.32,0,112.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,63.92,13,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

13,03:00-03:15,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,14.93,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,75.76,0,0,46,124.32,0,112.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,51.13,11.53,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

14,03:15-03:30,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,14.93,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,75.76,0,0,46,124.32,0,112.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,51.13,11.53,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

15,03:30-03:45,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,14.93,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,75.76,0,0,46,124.32,0,112.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,51.13,11.53,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

16,03:45-04:00,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,14.93,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,75.76,0,0,46,124.32,0,112.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,51.13,11.53,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

17,04:00-04:15,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,14.93,0,15,98.87,0,0,0,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,75.76,0,0,46,124.32,0,112.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,51.13,11.53,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

18,04:15-04:30,0,0,0,0,0,51.39,0,0,8.83,0,0,0,341.57,0,0,411.75,0,14.93,0,15,98.87,0,0,11.85,10.67,0,0,88.77,9.68,8.87,0,0,49.43,0,0,0,75.76,0,0,46,124.32,0,112.5,42.4,9.42,0,28.35,0,0,68.85,0,474.31,44.92,40.69,0,0,118.76,51.13,11.53,20.56,18.23,20.8,0,0,0,0,10.23,0,0,0

