Block,Time,AURY_CRF,NAPP,DADRI_GF,BSIUL,NJPC,RIHAND1,URI,AURY_LF,ANTA_GF,ANTA_LF,RIHAND2,TANAKPUR,KOLDAM,CHAMERA3,KISHANGANGA,UNCHAHAR4,ANTA_RF,RAPPC,RIHAND3,SINGRAULI_HYDRO,CHAMERA2,DADRI_RF,UNCHAHAR2,SALAL,TANDA2,PARBATI3,UNCHAHAR3,KOTESHWR,DADRT2,RAPPB,DULHASTI,CHAMERA1,DADRI_CRF,DADRI_LF,AURY_GF,JHAJJAR,RAMPUR,URI2,DHAULIGNGA,AURY_RF,ANTA_CRF,UNCHAHAR1,SINGRAULI,TEHRI,BRBCL,KHSTPP-II,SEWA2,SASAN,TALA,FSTPP I & II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,9.779871,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,53.901926,5.178057,22.117229,26.689842,26.737886,665.094938,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,305.253150,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,19.328000,95.546277,18.168916,326.015040,0.000000,12.761312,42.821184,0,0,0,0,0

2,00:15-00:30,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,9.779871,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,53.901926,5.178057,22.117229,26.689842,26.737886,665.094938,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,305.253150,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,18.409920,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

3,00:30-00:45,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,9.779871,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,53.901926,5.178057,22.117229,26.689842,26.737886,665.094938,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,305.253150,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,17.994368,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

4,00:45-01:00,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,5.447017,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,53.901926,5.178057,22.117229,26.689842,26.737886,665.094938,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,305.253150,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,16.950656,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

5,01:00-01:15,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,5.447017,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,53.901926,5.178057,22.117229,26.689842,26.737886,665.094938,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,305.253150,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,16.670400,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

6,01:15-01:30,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,5.447017,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,53.901926,5.178057,22.117229,26.689842,26.737886,665.094938,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,274.300657,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,15.394752,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

7,01:30-01:45,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,5.447017,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,53.901926,5.178057,22.117229,26.689842,26.737886,661.025235,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,214.268855,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,15.500676,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

8,01:45-02:00,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,5.447017,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,53.901926,5.178057,22.117229,26.689842,26.737886,661.404836,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,221.152015,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,13.655232,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

9,02:00-02:15,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,5.447017,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,52.778970,5.178057,22.117229,26.689842,26.737886,665.479759,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,333.970759,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,14.068440,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

10,02:15-02:30,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,5.447017,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,52.778970,5.178057,22.117229,26.689842,26.737886,665.479759,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,368.198400,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,14.264064,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

11,02:30-02:45,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,5.447017,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,52.778970,5.178057,22.117229,26.689842,26.737886,665.479759,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,368.198400,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,13.017408,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

12,02:45-03:00,0.000000,46.954568,0.000000,18.905103,173.915716,93.683009,32.007168,0.000000,0.000000,0.000000,120.106318,5.447017,9.891175,33.660923,5.373603,2.929642,0.000000,66.517578,126.069296,1.176254,46.870234,0.000000,42.999678,52.778970,5.178057,22.117229,26.689842,18.939336,665.479759,0.000000,57.187109,40.731905,0.000000,0.000000,0.000000,368.198400,6.518867,36.617398,42.073323,0.000000,0.000000,21.856876,144.767010,40.042089,14.855299,95.546277,18.168916,326.160000,0.000000,12.761312,42.821184,0,0,0,0,0

