Time,Block,NR/2023/18049/C,NR/2023/18052/C,NR/2023/17901/A/1191,WR/2023/18560/A,NR/2023/17905/A/1132,NR/2023/16187/A,NR/2023/18054/C,WR/2023/18560/A/II,WR/2023/20256/A/1195,NR/2023/18050/C,WR/2023/20254/A/1196,NR/2023/17064/A,Total
,,TPDDL,SJVNL,ITCLH,MANIKARAN,IEXL,APPCPL,IEXL,MANIKARAN,MANIKARAN,NVVNL,APPCPL,GMRETL,Total

,,HIMACHAL PRADESH,NA,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,DELHI,NA,DELHI,DELHI,NA,DELHI,DELHI,
,,CHANJUII,RSRPL_BKN,ITCWIND,BYPL,BSHP,BYPL,HIRIYUR_OSTROKANNADA,BYPL,BRPL,SOLAPUR_SOLAR,BRPL,BYPL,
,,DELHI,DELHI,DELHI,MAHARASHTRA,DELHI,HIMACHAL PRADESH,DELHI,MAHARASHTRA,GOA,DELHI,GOA,RAJASTHAN,
,,TPDDL,NDMC,ITCLH,AEML,MES (Delhi),HP,BYPL,AEML,GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,RUVNL,
,,North-North,North-North,South-West-North,North-East-West,North-North,North-North,South-East-North,North-West,North-West,West-North,North-West,North-North,
1,00:00-00:15,2.760000,0,0.480000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.34

2,00:15-00:30,2.760000,0,0.480000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.34

3,00:30-00:45,2.760000,0,0.480000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.34

4,00:45-01:00,2.760000,0,0.480000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.34

5,01:00-01:15,2.760000,0,0.480000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.34

6,01:15-01:30,2.760000,0,0.480000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.34

7,01:30-01:45,2.760000,0,0.480000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.34

8,01:45-02:00,2.760000,0,0.480000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.34

9,02:00-02:15,2.670000,0,0.430000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.2

10,02:15-02:30,2.670000,0,0.430000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.2

11,02:30-02:45,2.670000,0,0.430000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.2

12,02:45-03:00,2.670000,0,0.430000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.2

13,03:00-03:15,2.670000,0,0.430000,0.000000,1.930000,34.170000,0,100.000000,0.000000,0,0.000000,0.000000,139.2

