Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/4802,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07
1,00:00-00:15,0,14.67,44,0,0,0,0,0,0,38.02,0,0,0,0,0,36.67,16.34,14.66,36.67,228.02,100.84,30.29,5.95,25.9614,0,96.79,0,0,76.74,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,245.85,0,70.55,0,0,32

2,00:15-00:30,0,15,45,0,0,0,0,0,0,39.02,0,0,0,0,0,37.67,16.34,15,37.67,228.02,100.84,30.29,5.95,25.9614,0,96.79,0,0,76.74,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,218.75,0,70.55,0,0,32

3,00:30-00:45,0,15.17,45.5,0,0,0,0,0,0,38.62,0,0,0,0,0,38.67,16.66,15.16,38.67,223.24,100.84,30.29,5.95,25.9614,0,96.79,0,0,76.74,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,192.61,0,70.55,0,0,32

4,00:45-01:00,0,15.83,47.5,0,0,0,0,0,0,38.02,0,0,0,0,0,39.67,16.66,15.84,39.67,223.24,53.23,30.29,5.95,25.9614,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,172.29,0,70.55,0,0,32

5,01:00-01:15,0,16.17,48.5,0,0,0,0,0,0,37.02,0,0,0,0,0,41,16.66,16.16,41,223.24,53.23,30.29,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,132.8,4.38,70.55,0,0,26.8708

