Column1,Time,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/8090,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/2171,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/9821,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/3451,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/6566,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7196,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6020
1,00:00-00:15,0,29.01,0,273.84,0,55.67,16.66,0,21.66,0,55.67,0,0,21.67,0,65,0,0,0,0,0,0,57.82,8.8,111.38,0,0,0,32.93,4.66,0,17.51,41.16,12.76,0,64.56,0,20.58,28.26,53.27,18.4,41.16,6.47,82.32,82.32

2,00:15-00:30,0,29.21,0,273.84,0,56.67,16.66,0,21.66,0,56.67,0,0,21.67,0,65,0,0,0,0,0,0,57.82,8.8,111.38,0,0,0,32.93,4.66,0,17.51,41.16,12.76,0,64.56,0,20.58,28.26,53.27,18.4,41.16,4.97,82.32,82.32

3,00:30-00:45,0,30.41,0,273.84,0,57.33,16.34,0,21.66,0,57.33,0,0,21.67,0,65,0,0,0,0,0,0,57.82,8.8,111.38,0,0,0,32.93,4.66,0,17.51,41.16,12.76,0,64.56,0,20.58,28.26,53.27,18.4,41.16,3.53,82.32,82.32

4,00:45-01:00,0,31.01,0,273.84,0,57.33,16,0,21.66,0,57.33,0,0,21.67,0,65,0,0,0,0,0,0,57.82,8.8,111.38,0,0,0,32.93,4.66,0,17.51,41.16,12.76,0,64.56,0,20.58,28.26,53.27,18.4,41.16,3.53,82.32,82.32

5,01:00-01:15,0,26.01,0,232.44,0,57.33,15.66,0,21.66,0,57.33,0,0,21.67,0,65,0,0,0,0,0,0,57.82,8.8,111.38,0,0,0,32.93,4.66,0,17.51,41.16,12.57,0,64.56,0,20.58,28.26,77.48,18.4,41.16,3.53,82.32,82.32

6,01:15-01:30,0,26.21,0,232.44,0,56.67,15.34,0,21.66,0,56.67,0,0,21.67,0,65,0,0,0,0,0,0,57.82,8.8,111.38,0,0,0,32.93,4.66,0,17.51,41.16,12.57,0,64.56,0,20.58,28.26,72.64,18.4,41.16,3.53,82.32,82.32

