Block,Time Block,RAPPB,RAMPUR,DADRT2,CHAMERA3,CHAMERA2,DADRI_RF,RIHAND1,RSTPSU1TO6,RAPPC,RIHAND3,RIHAND2,DADRI_CRF,DADRI_GF,DADRI_LF,KOTESHWR,CHAMERA1,BRBCL,BSIUL,VALLURNTECL,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,AURY_RF,NTPL,NLCEXP,PARBATI3,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NAPP,ANTA_CRF,KUDGI,MAPS,URI,URI2,DULHASTI,FSTPP I & II,SINGRAULI,SINGRAULI_HYDRO,KKNP,KGSU1AND2,KGSU3AND4,KKNPPU2,KOLDAM,KHSTPP-II,KISHANGANGA,JHAJJAR,KHSTPP-I,DHAULIGNGA,SASAN,SIMHST1,SIMHST2,RSTPSU7,SALAL,SEWA2,UNCHAHAR1,TALA,TEHRI,UNCHAHAR3,UNCHAHAR4,TANDA2,TelanganaSTPP,UNCHAHAR2,TALST2,TANAKPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,2.94,537.65,16.34,28.55,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,14.23,6.31,0,0,0,0,0,0,0,0,0,0,14.97,0,135.28,0,0,0,43.68,0,0,0,47.58,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,306.99,43.51,39.13,403.14,0,0,0,74.27,16.82,14.97,10.11,68.64,15.85,0,0,0,35.52,0,12.59,0,0,0,0,0

2,00:15-00:30,0,2.94,518.28,16.34,21.68,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,14.95,6.31,0,0,0,0,0,0,0,0,0,0,14.97,0,135.28,0,0,0,43.68,0,0,0,47.58,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,247.2,43.51,39.13,403.14,0,0,0,74.27,16.82,15.01,10.11,68.64,16.13,0,0,0,30.78,0,12.59,0,0,0,0,0

3,00:30-00:45,0,2.94,518.28,16.34,21.68,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,14.68,6.31,0,0,0,0,0,0,0,0,0,0,3.4,0,135.28,0,0,0,43.68,0,0,0,43.3,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,184.25,43.51,39.13,403.14,0,0,0,74.27,16.82,15.01,10.11,68.64,14.95,0,0,0,30.78,0,12.59,0,0,0,0,0

4,00:45-01:00,0,2.94,479.54,16.34,21.68,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,12.77,6.31,0,0,0,0,0,0,0,0,0,0,3.4,0,135.28,0,0,0,43.68,0,0,0,43.3,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,138.87,43.51,39.13,403.14,0,0,0,74.27,16.82,15.01,10.14,68.64,12.33,0,0,0,30.78,0,12.59,0,0,0,0,0

5,01:00-01:15,0,2.94,479.54,16.34,21.68,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,9.9,6.31,0,0,0,0,0,0,0,0,0,0,3.4,0,135.28,0,0,0,43.68,0,0,0,43.3,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,138.87,43.51,39.13,403.14,0,0,0,74.27,11.22,15.01,10.16,68.64,0,0,0,0,30.78,0,12.59,0,0,0,0,0

6,01:15-01:30,0,2.94,450.49,16.34,21.68,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,10.17,6.31,0,0,0,0,0,0,0,0,0,0,3.4,0,135.28,0,0,0,43.68,0,0,0,43.3,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,138.87,43.51,39.13,403.14,0,0,0,74.27,11.22,15.01,10.23,68.64,0,0,0,0,30.78,0,12.59,0,0,0,0,0

7,01:30-01:45,0,2.94,411.75,16.34,21.68,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,9.54,6.31,0,0,0,0,0,0,0,0,0,0,3.4,0,135.28,0,0,0,43.68,0,0,0,47.58,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,138.87,43.51,39.13,403.14,0,0,0,74.27,11.22,15.01,9.68,68.64,0,0,0,0,30.78,0,12.59,0,0,0,0,0

8,01:45-02:00,0,2.94,382.69,16.34,21.68,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,9.63,6.31,0,0,0,0,0,0,0,0,0,0,3.4,0,135.28,0,0,0,43.68,0,0,0,47.58,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,138.87,43.51,39.13,403.14,0,0,0,74.27,11.22,15.01,9.68,68.64,0,0,0,0,30.78,0,12.59,0,0,0,0,0

9,02:00-02:15,0,2.94,373.01,16.34,21.68,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,9.71,6.31,0,0,0,0,0,0,0,0,0,0,3.4,0,135.28,0,0,0,43.68,0,0,0,47.58,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,138.87,43.51,39.13,403.14,0,0,0,74.27,11.22,15.01,9.68,68.64,0,0,0,0,30.78,0,12.59,0,0,0,0,0

10,02:15-02:30,0,2.94,365.45,16.34,21.68,0,44.55,0,58.33,120.4,115.02,0,0,0,28.07,40.82,8.99,6.31,0,0,0,0,0,0,0,0,0,0,3.4,0,135.28,0,0,0,43.68,0,0,0,43.3,35.2,52.1,17.64,132.21,0,0,0,0,0,3.88,95.76,1.39,138.87,43.51,39.13,403.14,0,0,0,74.27,5.61,11.85,9.68,68.64,0,0,0,0,23.28,0,12.59,0,0,0,0,0

