Column1,Block,GNA/NR/2024/12/26/3604,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1475,WR/2024/25054/A/46835,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/2024/24457/C,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/26/3210,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,NR/2024/24455/C,NR/2024/24225/A/46783,NR/2024/24224/A/46781,NR/2024/24454/C,NR/2024/24071/A/46605,NR/2024/24227/A/46785,NER/2024/2770/A/46833,NR/2024/24052/A/46606,NR/2024/24051/A/46607,NR/2024/24146/A/46596,NR/2024/24097/A/46600,NR/2024/24088/A/46602,NR/2024/24060/A/46861,NR/2024/23952/A/46579,NR/2024/24456/C,Total
,,IEXL,NDMC,NDMC,NDMC,NDMC,APPCPL,MANIKARAN,APPCPL,SJVNL,PUNJAB,NDMC,BAWANA_GAS,DELHI,KSEB,HPXL,PTC,PTC,SJVNL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SJVNL,IEXL,OIDLWM3_AEROCITY,APPCPL,IEXL,IEXL,IEXL,IEXL,IEXL,NVVNL,ITCLH,SJVNL,
,,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,KARNATAKA_STATE,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,Meghalaya_State,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,DELHI_UT,TELANGANA_State,TELANGANA_State,MP_State,KARNATAKA_STATE,KARNATAKA_STATE,NA,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,
,,JPL,TRN_ENERGY,RKM_POWER,RKM_POWER,JPL2,BRPL,BRPL,BYPL,RENUKASUGARSATHANI,BAWANA_GAS,SKS_Raigarh,BAWANA_GAS,CHANJUII,BYPL,Meghalaya_Ben,BRPL,BYPL,RSRPL_BKN,TESPL_BKN2,TESPL_BKN2,TPSL_BKN2,TESPL_BKN2,TESPL_BKN2,BYPL,NSLKSLWPRTY,NSLKSLWPRTY,NSPLN_MP,NSLSUGARALAND,NSLSTUNGBHDRA,JITPL,ITCWIND,RENUKASUGARSHAVALGA,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,MSEB_State,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,KERALA_State,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,NDMC,NDMC,NDMC,NDMC,GOA_Beneficiary,AEML,AEML,NDMC,PUNJAB,NDMC,HARYANA,TPDDL,KSEB,BRPL,HP,HP,NDMC,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,MES_Delhi,OIDLWM3_AEROCITY,Manipur_Ben,MES_Delhi,MES_Delhi,MES_Delhi,MES_Delhi,MES_Delhi,NDMC,ITCLH,NDMC,
,,West-North,West-North,West-North,West-North,West-North,North-West,North-West,North-West,South-West-North,North-North,West-North,North-North,North-North,North-West-South,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-East-North East,South-West-North,South-West-North,West-North,South-West-North,South-West-North,East-North,South-West-North,South-West-North,
1,00:00-00:15,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.43,0,465.2799999999999

2,00:15-00:30,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.43,0,465.2799999999999

