Block,Time,WR/01102023/31032046/L_NR_2020_05,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/23032024/30032024/HP-57,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31032024/ ChanjuII,WR/01102023/29112042/L_NR_2019_05,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,WR/01102023/24112044/L_NR_2020_07,NR/01032024/31032024/SJVN010324NR1588,NR/01032024/31032024/SJVN010324NR1589,NR/30092023/26122029/SH-06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/23032024/30032024/HP-60,NR/23032024/30032024/HP-64,SR/01102023/07102043/L_NR_2018_61,SR/01032024/31032024/SJVN010324NR1590,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/05012040/L_NR_2020_02,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,WR/01102023/30052048/L_NR_2022_10,NR/01102023/30042040/GNA_LT_36,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,43.5,48.35,173.290000,48.35,193.400000,30.940000,29.010000,0.000000,2.920000,10.800000,0,271.970000,87.220000,14.5,0,0,0.000000,33.33,0,100.200000,14.5,0.000000,74.210000,29.590000,7.01,0,0,0,0,48.350000,3.070000,12,0,0,0.000000,3.040000,33.33,0.000000,0,0,261.670000,58.000000,0,0,0

2,00:15-00:30,44.5,48.35,173.290000,48.35,193.400000,30.940000,29.010000,0.000000,2.920000,10.800000,0,271.970000,87.220000,14.83,0,0,0.000000,34,0,100.200000,14.84,0.000000,74.210000,29.590000,6.81,0,0,0,0,48.350000,3.070000,11.66,0,0,0.000000,3.040000,34,0.000000,0,0,261.670000,58.000000,0,0,0

3,00:30-00:45,45.5,48.35,173.290000,48.35,193.400000,8.600000,29.010000,0.000000,2.920000,10.800000,0,271.970000,87.220000,15.17,0,0,8.600000,35.33,0,100.200000,15.16,0.000000,74.210000,29.590000,6.61,0,0,0,0,48.350000,3.070000,11.66,0,0,0.000000,3.040000,35.33,0.000000,0,0,261.670000,58.000000,0,0,0

4,00:45-01:00,47,48.35,173.290000,48.35,193.400000,8.600000,29.010000,0.000000,2.920000,10.800000,0,271.970000,87.220000,15.67,0,0,8.600000,36.33,0,100.200000,15.66,0.000000,74.210000,29.590000,6.41,0,0,0,0,48.350000,3.070000,11.66,0,0,0.000000,3.040000,36.33,0.000000,0,0,261.670000,58.000000,0,0,0

5,01:00-01:15,47,48.35,173.290000,48.35,193.400000,8.600000,29.010000,0.000000,2.840000,10.800000,0,271.970000,87.220000,15.67,0,0,8.600000,35.67,0,100.200000,15.66,0.000000,74.210000,29.590000,6.21,0,0,0,0,48.350000,3.070000,11.66,0,0,0.000000,2.960000,35.67,0.000000,0,0,261.670000,53.740000,0,0,0

6,01:15-01:30,47,48.35,173.290000,48.35,193.400000,11.980000,29.010000,0.000000,2.840000,10.800000,0,271.970000,87.220000,15.67,0,0,11.980000,35,0,100.200000,15.66,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,3.070000,12,0,0,0.000000,2.960000,35,0.000000,0,0,261.670000,49.470000,0,0,0

7,01:30-01:45,46,48.35,173.290000,48.35,193.400000,11.980000,29.010000,0.000000,2.840000,10.800000,0,271.970000,87.220000,15.33,0,0,11.980000,40.33,0,100.200000,15.34,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,3.070000,11.34,0,0,0.000000,2.960000,40.33,0.000000,0,0,261.670000,45.210000,0,0,0

8,01:45-02:00,46,48.35,173.290000,48.35,193.400000,21.470000,29.010000,0.000000,2.840000,10.800000,0,271.970000,87.220000,15.33,0,0,21.470000,40,0,100.200000,15.34,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,3.070000,11.34,0,0,0.000000,2.960000,40,0.000000,0,0,261.670000,40.940000,0,0,0

9,02:00-02:15,53,48.35,173.290000,48.35,193.400000,21.470000,29.010000,0.000000,2.840000,10.620000,0,271.970000,87.220000,17.67,0,0,21.470000,39.67,0,100.200000,17.66,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,3.070000,14.66,0,0,0.000000,2.880000,39.67,0.000000,0,0,261.670000,36.680000,0,0,0

10,02:15-02:30,53,48.35,173.290000,48.35,193.400000,21.470000,28.040000,0.000000,2.840000,10.620000,0,271.970000,87.220000,17.67,0,0,21.470000,39.33,0,100.200000,17.66,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,3.070000,14,0,0,0.000000,2.880000,39.33,0.000000,0,0,261.670000,32.410000,0,0,0

11,02:30-02:45,52.5,48.35,173.290000,48.35,193.400000,25.480000,28.040000,0.000000,2.840000,10.620000,0,271.970000,68.200000,17.5,0,0,23.300000,39,0,100.200000,17.5,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,3.070000,13.66,0,0,0.000000,2.880000,39,0.000000,0,0,261.670000,28.150000,0,0,0

12,02:45-03:00,52,48.35,173.290000,48.35,193.400000,25.480000,28.040000,0.000000,2.840000,10.620000,0,271.970000,87.220000,17.33,0,0,24.040000,38.33,0,100.200000,17.34,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,3.070000,13,0,0,0.000000,2.880000,38.33,0.000000,0,0,261.670000,23.880000,0,0,0

13,03:00-03:15,51.5,48.35,173.290000,48.35,193.400000,25.480000,28.040000,0.000000,2.840000,10.520000,0,232.080000,68.200000,17.17,0,0,24.510000,38,0,100.200000,17.16,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,12.34,0,0,0.000000,2.880000,38,0.000000,0,0,234.890000,19.620000,0,0,0

14,03:15-03:30,51.5,48.35,173.290000,48.35,193.400000,25.480000,28.040000,0.000000,2.840000,10.520000,0,271.970000,87.220000,17.17,0,0,24.770000,37,0,100.200000,17.16,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,11.66,0,0,0.000000,2.880000,37,0.000000,0,0,261.670000,15.360000,0,0,0

15,03:30-03:45,59.5,48.35,173.290000,48.35,193.400000,25.480000,27.080000,0.000000,2.840000,10.520000,0,271.970000,87.220000,19.83,0,0,23.000000,42.67,0,100.200000,19.84,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,15.66,0,0,0.000000,2.880000,42.67,0.000000,0,0,261.670000,11.090000,0,0,0

16,03:45-04:00,58.5,48.35,173.290000,48.35,193.400000,25.480000,27.080000,0.000000,2.840000,10.520000,0,271.970000,77.640000,19.5,0,0,22.610000,41.67,0,100.200000,19.5,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,15,0,0,0.000000,2.880000,41.67,0.000000,0,0,261.670000,6.830000,0,0,0

17,04:00-04:15,56.5,48.35,173.290000,48.35,193.400000,25.480000,27.080000,0.000000,2.770000,10.520000,0,271.970000,77.640000,18.83,0,0,23.090000,39,0,100.200000,18.84,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,13,0,0,0.000000,2.730000,39,0.000000,0,0,261.670000,2.560000,0,0,0

18,04:15-04:30,55,48.35,173.290000,48.35,193.400000,25.480000,27.080000,0.000000,2.770000,10.520000,0,271.970000,87.220000,18.33,0,0,23.100000,38.33,0,100.200000,18.34,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,12.66,0,0,0.000000,2.730000,38.33,0.000000,0,0,261.670000,0.000000,0,0,0

19,04:30-04:45,53,48.35,173.290000,48.35,193.400000,25.480000,27.080000,0.000000,2.770000,10.520000,0,271.970000,87.220000,17.67,0,0,25.480000,37,0,100.200000,17.66,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,12.34,0,0,0.000000,2.960000,37,0.000000,0,0,261.670000,0.000000,0,0,0

20,04:45-05:00,52,48.35,173.290000,48.35,193.400000,25.480000,27.080000,0.000000,2.770000,10.520000,0,251.420000,87.220000,17.33,0,0,25.480000,34.67,0,100.200000,17.34,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,12,0,0,0.000000,2.960000,34.67,0.000000,0,0,261.670000,0.000000,0,0,0

21,05:00-05:15,51,48.35,173.290000,48.35,193.400000,25.480000,27.080000,0.000000,2.770000,10.340000,0,271.970000,87.220000,17,0,0,25.480000,39.67,0,100.200000,17,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,11.34,0,0,0.000000,2.960000,39.67,0.000000,0,0,261.670000,0.000000,0,0,0

22,05:15-05:30,50,48.35,173.290000,48.35,193.400000,25.480000,27.080000,0.000000,2.770000,10.340000,0,271.970000,87.220000,16.67,0,0,25.480000,39.33,0,100.200000,16.66,0.000000,74.210000,29.590000,6.01,0,0,0,0,48.350000,2.930000,10.66,0,0,0.000000,2.960000,39.33,0.000000,0,0,261.670000,0.000000,0,0,0

