Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25518/A/57879,WR/2025/26427/A/57859,WR/2025/26582/A/58058,NR/2025/25517/A/57884,WR/2025/26499/A/58060,NR/2025/25516/A/57877,NR/2025/25612/C,NR/2025/25611/C,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/9482,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/3469,GNA/WR/2025/03/01/6406,WR/2025/26426/A/57858,GNA/NR/2025/03/01/2563,NR/2025/25159/A/57772,GNA/NR/2025/03/01/8036,Total
,,SECI_Trader,OIDLWM3_AEROCITY,KEIPL,APPCPL,OIDLWM2_AEROCITY,APPCPL,ABLWM1_AEROCITY,SJVNL,SJVNL,BAWANA_GAS,PTC,NDMC,PUNJAB,TPTCL,APPCPL,APPCPL,DELHI,NDMC,NDMC,PTC,NDMC,APPCPL,KEIPL,NDMC,ITCLH,NDMC,
,,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,ANDHRA_PRADESH_STATE,NA,
,,APSEPL_FTG,TCSPL_BKN2,BRPL,BRPL,TCSPL_BKN2,BRPL,TCSPL_BKN2,RSRPL_BKN,TPSL_BKN2,BAWANA_GAS,BYPL,JIPL,BAWANA_GAS,BYPL,BYPL,BYPL,CHANJUII,JPL2,SKS_Raigarh,BRPL,TRN_ENERGY,BRPL,BYPL,RKM_POWER,ITCWIND,RKM_POWER,
,,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,MSEB_State,MSEB_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,MSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,OIDLWM3_AEROCITY,CSEB_Beneficiary,CSEB_Beneficiary,OIDLWM2_AEROCITY,AEML,ABLWM1_AEROCITY,NDMC,NDMC,HARYANA,HP,NDMC,PUNJAB,TPC_MSEB,AEML,KSEB,TPDDL,NDMC,NDMC,HP,NDMC,AEML,CSEB_Beneficiary,NDMC,ITCLH,NDMC,
,,North-North,North-North,North-West,North-West,North-North,North-West,North-North,North-North,North-North,North-North,North-North,East-North,North-North,North-West,North-West,North-West-South,North-North,West-North,West-North,North-North,West-North,North-West,North-West,West-North,South-West-North,West-North,
1,00:00-00:15,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,200,4.22,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,814.7799999999999

2,00:15-00:30,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,200,4.22,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,814.7799999999999

3,00:30-00:45,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,200,4.22,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,814.7799999999999

4,00:45-01:00,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,200,4.22,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,814.7799999999999

5,01:00-01:15,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,200,4.22,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,814.7799999999999

6,01:15-01:30,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,200,4.22,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,814.7799999999999

7,01:30-01:45,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,200,4.22,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,814.7799999999999

8,01:45-02:00,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,200,4.22,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,814.7799999999999

9,02:00-02:15,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

10,02:15-02:30,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

11,02:30-02:45,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

12,02:45-03:00,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

13,03:00-03:15,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

14,03:15-03:30,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

15,03:30-03:45,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

16,03:45-04:00,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

17,04:00-04:15,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

18,04:15-04:30,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

19,04:30-04:45,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

20,04:45-05:00,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.43,23.04,614.6999999999999

21,05:00-05:15,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.48,23.04,614.75

22,05:15-05:30,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.48,23.04,614.75

23,05:30-05:45,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.48,23.04,614.75

24,05:45-06:00,0,0,24,24,0,0,0,0,0,0,63.42,17.28,0,0,0,0,4.14,23.04,5.76,190.26,6.72,42,167.57,23.04,0.48,23.04,614.75

25,06:00-06:15,0,0,0,0,0,0,0,0,0,0,0,17.28,0,0,0,0,4.14,23.04,5.76,0,6.72,42,167.57,23.04,0.53,23.04,313.12

26,06:15-06:30,0,0,0,0,0,0,0,0,0,0,0,17.28,0,0,0,0,4.14,23.04,5.76,0,6.72,42,167.57,23.04,0.53,23.04,313.12

27,06:30-06:45,0.1,0,0,0,0,0,0,0,0,0,0,17.28,0,0,0,0,4.14,23.04,5.76,0,6.72,42,167.57,23.04,0.53,23.04,313.22

28,06:45-07:00,0.12,0,0,0,0,0,0,0,0,0,0,17.28,0,0,0,0,4.14,23.04,5.76,0,6.72,42,167.57,23.04,0.53,23.04,313.24

29,07:00-07:15,0.05,0,0,0,0,40.32,0,0,0,0,0,17.28,0,0,0,0,4.14,25.92,5.76,0,6.72,0,167.57,25.92,0.58,25.92,320.18

30,07:15-07:30,0.49,0,0,0,0,40.32,0,0,0,0,0,17.28,0,0,0,0,4.14,25.92,5.76,0,6.72,0,167.57,25.92,0.58,25.92,320.62

31,07:30-07:45,2.02,0,0,0,0,40.32,0,0,0,0,0,17.28,0,0,0,0,4.14,25.92,5.76,0,6.72,0,167.57,25.92,0.58,25.92,322.15000000000003

32,07:45-08:00,9.12,0,0,0,0,40.32,0,0,0,0,0,17.28,0,0,0,0,4.14,25.92,5.76,0,6.72,0,167.57,25.92,0.58,25.92,329.25

33,08:00-08:15,16.47,0.19,0,0,0.19,40.32,0.38,0,0,0,0,17.28,0,0,0,0,4.14,25.92,5.76,0,6.72,0,0,25.92,0.96,25.92,170.17000000000002

34,08:15-08:30,24.47,0.19,0,0,0.29,40.32,0.38,0,0,0,0,17.28,0,0,0,0,4.14,25.92,5.76,0,6.72,0,0,25.92,0.96,25.92,178.26999999999998

35,08:30-08:45,33.32,0.19,0,0,0.29,40.32,0.38,0,0,0,0,17.28,0,0,0,0,4.14,25.92,5.76,0,6.72,0,0,25.92,0.96,25.92,187.12

36,08:45-09:00,41.56,0.19,0,0,0.29,40.32,0.38,0,0,0,0,17.28,0,0,0,0,4.14,25.92,5.76,0,6.72,0,0,25.92,0.96,25.92,195.35999999999996

37,09:00-09:15,49.7,0.19,0,0,0.29,40.32,0.38,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,247.50999999999996

38,09:15-09:30,58.14,0.19,0,0,0.29,40.32,0.48,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,256.04999999999995

39,09:30-09:45,65.76,0.19,0,0,0.29,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,263.77

40,09:45-10:00,72.98,0.29,0,0,0.29,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,271.09

41,10:00-10:15,79.18,0.29,0,0,0.29,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,277.28999999999996

