Block,Time,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01042024/31072024/LT_MEJA_DELHI,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/11072024/11072024/IEX_240710_01473,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,81.880000,29.860000,163.760000,20.470000,15.520000,0.000000,15.590000,32.750000,12.410000,29.860000,0.000000,29.270000,10.580000,81.880000,258.690000,10.380000,0.000000,90.990000,144.500000,132.160000,0.000000,5.920000,0.000000,61.410000,0.000000,15.450000,115.150000,86.890000,0,0,0,17.66,0,0,40,0,0,0,17.67,40,53,15.34,0,0,0,34.02,0,0,0

2,00:15-00:30,81.880000,29.860000,163.760000,20.470000,15.520000,0.000000,15.590000,32.750000,12.410000,29.860000,0.000000,29.270000,10.580000,81.880000,258.690000,10.380000,0.000000,90.990000,144.500000,132.160000,0.000000,5.920000,0.000000,61.410000,0.000000,15.450000,115.150000,86.890000,0,0,0,17.84,0,0,40.33,0,0,0,17.83,40.33,53.5,15.34,0,0,0,33.62,0,0,0

3,00:30-00:45,81.880000,29.860000,163.760000,20.470000,15.520000,0.000000,15.590000,32.750000,12.410000,29.860000,0.000000,29.270000,10.580000,81.880000,258.690000,10.380000,0.000000,90.990000,144.500000,132.160000,0.000000,5.920000,0.000000,61.410000,0.000000,15.450000,115.150000,86.890000,0,0,0,18,0,0,40.67,0,0,0,18,40.67,54,15.66,0,0,0,33.22,0,0,0

4,00:45-01:00,81.880000,29.860000,163.760000,20.470000,15.520000,0.000000,15.590000,32.750000,12.410000,29.860000,0.000000,29.780000,10.580000,81.880000,258.690000,10.380000,0.000000,90.990000,144.500000,132.160000,0.000000,5.920000,0.000000,61.410000,0.000000,15.450000,115.150000,86.890000,0,0,0,18.34,0,0,41,0,0,0,18.33,41,55,16,0,0,0,33.02,0,0,0

5,01:00-01:15,81.880000,29.860000,163.760000,20.470000,15.520000,0.000000,15.590000,32.750000,12.410000,29.860000,0.000000,29.780000,10.580000,81.880000,258.690000,10.380000,0.000000,90.990000,144.500000,132.160000,0.000000,5.790000,0.000000,61.410000,0.000000,15.450000,115.150000,86.890000,0,0,0,18.66,0,0,41.67,0,0,0,18.67,41.67,56,16.34,0,0,0,33.22,0,0,0

