Column1,Block,NR/2025/27728/A/77263,NR/2025/27726/A/77264,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/2569,NR/2025/26570/A/77233,NR/2025/26445/A/77363,NR/2025/27850/C,NR/2025/27281/A/77392,NR/2025/27157/A/76904,NR/2025/27904/C,NR/2025/27900/C,NR/2025/27902/C,NR/2025/26564/A/77231,NR/2025/27903/C,NR/2025/26563/A/77230,NR/2025/27088/A/77344,NR/2025/26569/A/77232,NR/2025/27782/A/77261,NR/2025/27870/C,NR/2025/27361/A/76949,NR/2025/27873/C,NR/2025/27162/A/77266,NR/2025/27874/C,NR/2025/27884/C,NR/2025/27167/A/76980,NR/2025/27727/A/77262,NR/2025/26085/A/76996,NR/2025/27725/A/77265,NR/2025/26561/A/77229,NR/2025/26975/A/77267,NR/2025/27499/A/77252,NR/2025/27242/A/76990,NR/2025/27791/C,NR/2025/27724/A/77020,NR/2025/27819/C,NR/2025/26889/A/77253,NR/2025/27826/C,NR/2025/27359/A/76953,NR/2025/27885/C,NR/2025/26777/A/76903,NR/2025/27886/C,NR/2025/26860/A/76945,NR/2025/27393/A/76947,NR/2025/27788/C,NR/2025/27901/C,NR/2025/27168/A/76985,NR/2025/26952/A/76816,NR/2025/27462/A/76833,NR/2025/26785/A/76838,NR/2025/27360/A/76951,NR/2025/26861/A/77198,NR/2025/27356/A/76955,GNARE/NR/2024/12/20/3668,NR/2025/27622/A/77172,Total
,,APPCPL,APPCPL,BAWANA_GAS,PUNJAB,DELHI,MANIKARAN,KEIPL,APPCPL,NVVNL,INSTINCT,PowerPulse,SIMHAPURI,PTC,APPCPL,NDMC,PTC,PowerPulse,NVVNL,BRPL,MANIKARAN,KEIPL,APPCPL,APPCPL,APPCPL,PowerPulse,APPCPL,PowerPulse,NVVNL,PowerPulse,APPCPL,INSTINCT,BRPL,APPCPL,APPCPL,APPCPL,NVVNL,PTC,APPCPL,ITCLH,APPCPL,PowerPulse,APPCPL,HPXL,GMRETL,IEXL,DIAPL,IEXL,HPXL,PXIL,BRPL,NVVNL,INSTINCT,NVVNL,BRPL,BRPL,MANIKARAN,APPCPL,PTC,PXIL,IEXL,IEXL,BRPL,PowerPulse,BRPL,SECI_Trader,IEXL,
,,NA,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,MP_State,CSEB_State,CSEB_State,NA,NA,NA,NA,ODISHA_STATE,NA,NA,TELANGANA_State,NA,NA,NA,CSEB_State,CSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manipur_State,CSEB_State,CSEB_State,NA,GoHP_Chamera1_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,Manipur_State,JK_and_LADAKH_UT,HIMACHAL_STATE,NA,HIMACHAL_STATE,MSEB_State,MSEB_State,NA,NA,NA,NA,NA,NA,NA,CSEB_State,NA,GoHP_Rampur_STATE,NA,MSEB_State,NA,NA,NA,NA,NA,NA,
,,RKM_POWER,RKM_POWER,BAWANA_GAS,BAWANA_GAS,CHANJUII,BLAPOWER_MP,CSPDCL,CSPDCL,JHABUA_IPP,SIMHAPURI,COASTGEN,SIMHAPURI,NBVL_OTCL,DBPL,JIPL,NAVABHARAT,APL_Raigarh_TPP,JPNIGRIE_JNSTPP,JPL2,CSEB_Beneficiary,CSEB_Beneficiary,RKM_POWER,SKS_Raigarh,JPL2,MAHAN_ENERGEN,TRN_ENERGY,MAHAN_ENERGEN,ILFS,APL_Raigarh_TPP,TRN_ENERGY,JPL2,RIHAND3,Manipur_Ben,CSEB_Beneficiary,CSEB_Beneficiary,ILFS,GoHP_Chamera1,JPL2,ITCWIND,SKS_Raigarh,APL_Raipur_TPP,Manipur_Ben,O2Z,GBHHPL,MBMP,GBHHPL,JSWEL_MSEB,GRETAENERGY,MBMP,RIHAND1,SORANG_HEP,JPL2,Kameng,JPL2,DADRT2,CSEB_Beneficiary,RKM_POWER,GoHP_Rampur,MBMP,JSWEL_MSEB,MBMP,RIHAND2,COASTGEN,TS1PL_BKN,APSEPL_FTG,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,HARYANA,PUNJAB,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,TPDDL,TPDDL,BRPL,BYPL,BYPL,NDMC,NDMC,NDMC,TPDDL,NDMC,TPDDL,BRPL,TPDDL,NDMC,BRPL,BRPL,BYPL,BYPL,BYPL,BRPL,BRPL,NDMC,ITCLH,NDMC,TPDDL,BYPL,BYPL,BRPL,NDMC,DIAPL,MES_Delhi,BYPL,BRPL,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,BYPL,NDMC,BRPL,BRPL,MES_Delhi,NDMC,BRPL,BRPL,BRPL,TPDDL,MES_Delhi,
,,West-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,South-East-North,East-West-North,West-North,East-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,West-North,South-West-North,North-North,West-North,South-West-North,West-North,West-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,26.32,26.32,26.7,26.7,11.82,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.68,8.77,0,27.03,8.69,0,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1828.32

2,00:15-00:30,26.32,26.32,26.7,26.7,11.82,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.68,8.77,0,27.03,8.69,0,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1828.32

