Block,Time,CHAMERA3,URI,AURY_CRF,UNCHAHAR3,UNCHAHAR2,KOLDAM,CHAMERA2,PARBATI3,AURY_GF,RAPPC,ANTA_CRF,UNCHAHAR1,TANDA2,DADRI_RF,DADRI_CRF,SINGRAULI,ANTA_LF,JHAJJAR,RIHAND2,KISHANGANGA,DADRT2,NAPP,SINGRAULI_HYDRO,RAMPUR,UNCHAHAR4,AURY_LF,SEWA2,DADRI_LF,TEHRI,DHAULIGNGA,URI2,RIHAND1,TANAKPUR,DULHASTI,NJPC,RAPPB,CHAMERA1,SALAL,RIHAND3,ANTA_GF,KOTESHWR,BSIUL,DADRI_GF,AURY_RF,ANTA_RF,KHSTPP-I,KUDGI,BRBCL,FSTPP I & II,SASAN,KHSTPP-II,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,12.826714,0.000000,7.745600,14.256939,0.000000,0.000000,0.000000,0.000000,25.432968,0.000000,5.613962,0.000000,0.000000,0.000000,100.208700,0.000000,335.965400,56.726838,0.000000,319.005634,19.233099,0.592693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.278992,30.883045,89.074400,5.209110,15.954825,19.254593,0.000000,0.000000,12.938057,57.471868,0.000000,8.591807,0.000000,0.000000,0.000000,0.000000,43.489608,5.81,19.364004,20.070786,405.453114,47.606491,3.842786,0,0,0,0,0

2,00:15-00:30,0.000000,12.826714,0.000000,7.745600,14.256939,0.000000,0.000000,0.000000,0.000000,25.432968,0.000000,4.841000,0.000000,0.000000,0.000000,100.208700,0.000000,335.965400,56.726838,0.000000,319.005634,19.233099,0.592693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.278992,30.883045,89.074400,5.209110,15.954825,19.254593,0.000000,0.000000,12.938057,57.471868,0.000000,8.591807,0.000000,0.000000,0.000000,0.000000,43.489608,5.81,19.364004,20.070786,405.453114,47.606491,3.842786,0,0,0,0,0

3,00:30-00:45,0.000000,12.826714,0.000000,7.745600,14.256939,0.000000,0.000000,0.000000,0.000000,25.432968,0.000000,4.841000,0.000000,0.000000,0.000000,100.208700,0.000000,335.965400,56.726838,0.000000,319.005634,19.233099,0.592693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.278992,30.883045,89.074400,5.209110,15.954825,19.254593,0.000000,0.000000,12.938057,57.471868,0.000000,8.591807,0.000000,0.000000,0.000000,0.000000,43.489608,5.81,18.532890,20.070786,405.453114,47.606491,3.842786,0,0,0,0,0

4,00:45-01:00,0.000000,12.826714,0.000000,7.745600,14.256939,0.000000,0.000000,0.000000,0.000000,25.432968,0.000000,4.841000,0.000000,0.000000,0.000000,100.208700,0.000000,335.965400,56.726838,0.000000,304.482634,19.233099,0.592693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.278992,30.883045,89.074400,5.209110,15.954825,19.254593,0.000000,0.000000,12.938057,57.471868,0.000000,8.591807,0.000000,0.000000,0.000000,0.000000,43.489608,5.81,17.171510,20.070786,405.453114,47.606491,3.842786,0,0,0,0,0

5,01:00-01:15,0.000000,12.826714,0.000000,7.745600,8.742851,0.000000,0.000000,0.000000,0.000000,25.432968,0.000000,4.841000,0.000000,0.000000,0.000000,100.208700,0.000000,331.124400,56.726838,0.000000,285.429039,19.233099,0.592693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.278992,14.326649,89.074400,5.209110,15.954825,19.254593,0.000000,0.000000,12.938057,57.471868,0.000000,8.591807,0.000000,0.000000,0.000000,0.000000,43.489608,5.81,14.694310,20.070786,405.453114,59.698534,3.842786,0,0,0,0,0

