Block,Time,SH-06,L_NR_2023_04,SH-07,L_NR_2012_02,LT-31,LT-59,L_NR_2012_01,L_NR_2020_02,LT-05,L_NR_2012_04,LT-35,LT-36,L_NR_2019_11,L_NR_2012_07,L_NR_2021_17,L_NR_2019_06,L_NR_2020_07,L_NR_2021_13,L_NR_2022_09,L_NR_2019_19,L_NR_2021_16,L_NR_2023_07,L_NR_2019_07,L_NR_2022_08,L_NR_2022_10,L_NR_2021_14,L_NR_2021_15,L_NR_2020_05,L_NR_2023_10,L_NR_2018_61,L_NR_2020_06,L_NR_2019_05,L_NR_2021_12
1,00:00-00:15,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.510000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,38.34,0,80,0,0,0,0,35,80,0,0,115,0,17.91,38.33,0,0

2,00:15-00:30,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.510000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,38.34,0,80,0,0,0,0,35,80,0,0,115,0,18.24,38.33,0,0

3,00:30-00:45,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.510000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,39.16,0,80,0,0,0,0,36.67,80,0,0,117.5,0,18.88,39.17,0,0

4,00:45-01:00,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.510000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,39.16,0,80,0,0,0,0,36.67,80,0,0,117.5,0,19.31,39.17,0,0

5,01:00-01:15,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.510000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,39.16,0,80,0,0,0,0,36.67,80,0,0,117.5,0,20.12,39.17,0,0

6,01:15-01:30,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.510000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,39.16,0,80,0,0,0,0,36.67,80,0,0,117.5,0,20.46,39.17,0,0

7,01:30-01:45,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.510000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,39.16,0,81.67,0,0,0,0,36.67,81.67,0,0,117.5,0,20.12,39.17,0,0

8,01:45-02:00,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.510000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,39.16,0,81.67,0,0,0,0,36.67,81.67,0,0,117.5,0,22.83,39.17,0,0

9,02:00-02:15,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.320000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,37.5,0,80,0,0,0,0,36.67,80,0,0,112.5,0,22.47,37.5,0,0

10,02:15-02:30,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,10.320000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,37.5,0,80,0,0,0,0,36.67,80,0,0,112.5,0,22.69,37.5,0,0

11,02:30-02:45,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,9.950000,116.090000,272.050000,0.000000,0.000000,10.780000,74.170000,0,0,37.5,0,80,0,0,0,0,36.67,80,0,0,112.5,0,23.13,37.5,0,0

12,02:45-03:00,30.950000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,9.950000,116.090000,272.050000,0.000000,0.000000,10.780000,70.610000,0,0,37.5,0,80,0,0,0,0,36.67,80,0,0,112.5,0,14.05,37.5,0,0

13,03:00-03:15,5.210000,26.760000,30.950000,223.450000,0.000000,10.390000,101.320000,9.950000,116.090000,272.050000,0.000000,0.000000,10.780000,56.100000,0,0,37.5,0,80,0,0,0,0,36.67,80,0,0,112.5,0,13.41,37.5,0,0

