Time,Block,NR/2024/20599/A/21929,NR/2024/20540/A/21711,NR/2024/20553/A/21865,NR/2024/20554/A/21827,NR/2024/19699/A/22394,NR/2024/20050/A/22251,NR/2024/20090/A/21869,NR/2024/20211/A/22202,NR/2024/19966/A/21976,NR/2024/20724/C,NR/2024/20041/A/22256,NR/2024/20144/A/22198,NR/2024/20751/C,NR/2024/19683/A/21889,NR/2024/20824/C,NR/2024/20759/C,NR/2024/20537/A/22429,NR/2024/19918/A/22331,NR/2024/19919/A/22326,NR/2024/19637/A/21966,NR/2024/20714/C,NR/2024/20142/A/22199,NR/2024/19988/A/22167,NR/2024/20515/A/22191,NR/2024/20598/A/21927,NR/2024/20552/A/21866,NR/2024/20734/C,NR/2024/20712/C,NR/2024/19588/A/21943,NR/2024/20513/A/22188,NR/2024/19475/A/22244,NR/2024/20713/C,NR/2024/20130/A/21989,NR/2024/20516/A/22189,NR/2024/19757/A/22392,NR/2024/20597/A/22245,NR/2024/20748/C,NR/2024/20557/A/22388,NR/2024/20560/A/22386,NR/2024/20524/A/22271,NR/2024/20558/A/22387,NR/2024/19779/A/21852,NR/2024/20572/A/22385,NR/2024/20738/C,NR/2024/20037/A/21958,NR/2024/20048/A/22253,NR/2024/19432/A/22396,NR/2024/20212/A/22204,NR/2024/19760/A/21959,NR/2024/19355/A/22431,NR/2024/19791/A/22335,NR/2024/20109/A/22430,NR/2024/20141/A/22200,Total
,,TPTCL,DIAPL,IEXL,PXIL,NVVNL,PTC,IEXL,JHPL-DL,BRPL,TPTCL,PTC,BAL234,IEXL,IEXL,IEXL,IEXL,TPDDL,APPCPL,APPCPL,INSTINCT,NVVNL,BAL224,TPTCL,MHIL,TPTCL,IEXL,PXIL,NVVNL,GMRETL,MSSH,AEL,NVVNL,DTCP,BMDRC,NVVNL,PTC,IEXL,NVVNL,NVVNL,HPXL,NVVNL,ITCLH,NVVNL,HPXL,TPTCL,PTC,NVVNL,UHL,TPTCL,TPDDL,APPCPL,TPDDL,BAL184,Total

,,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,MP,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,NA,NAGALAND,KERALA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,KARNATAKA,NA,NA,RAJASTHAN,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,TAMIL NADU,NA,HIMACHAL PRADESH,
,,ACBIL,GBHHPL,JSWEL MSEB,IND_BHARAT,JP BINA,HP,A_A_Energy_MH_Bio,SHPPBPL,IEPLBELA2022,HP-GOVT,JPL_DHULE,SHPPBPL,JPL,NHCPL_HP,DADRI_RF,ACBIL,JHAJJAR,Nagaland_Ben,KSEB,JPL-2,KAMENG,SHPPBPL,HP-GOVT,SHPPBPL,PPGCL,JSWEL,SKS Raigarh,SORANG_HEP,RUVNL,SHPPBPL,APL_Raipur TPP,SOLAPUR_SOLAR,SHPPBPL,SHPPBPL,TANGEDCO,SEILP2,HP-GOVT,SKS Raigarh,RKM_POWER,GBHHPL,RKM_POWER,ITCWIND,JPL-2,JPNIGRIE_JNSTPP,JPL_DHULE,HP,SEIL,SHPPBPL,SIMHAPURI,JPL-2,TANGEDCO,JHAJJAR,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,DIAPL,BRPL,BRPL,TPDDL,BRPL,MES (Delhi),JHPL-DL,BRPL,BRPL,BRPL,BAL234,TPDDL,MES (Delhi),TPDDL,TPDDL,TPDDL,BYPL,BYPL,BRPL,TPDDL,BAL224,BRPL,MHIL,BRPL,BRPL,BRPL,TPDDL,BYPL,MSSH,BRPL,MES (Delhi),DTCP,BMDRC,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,NDMC,ITCLH,NDMC,BRPL,TPDDL,BYPL,TPDDL,UHL,BRPL,TPDDL,BYPL,TPDDL,BAL184,
,,West-North,North-North,West-North,East-West-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,West-North,North-North,North East-East-North,South-West-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,South-East-West-North,West-North,North-North,North-North,North-North,West-North,West-North,North-North,North-North,South-West-North,South-West-North,North-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North-North,South-West-North,North-North,South-West-North,West-North,South-West-North,North-North,North-North,
1,00:00-00:15,0.000000,7.730000,46.270000,0.000000,46.270000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,0.000000,0.000000,12.950000,296.120000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,27.760000,0.000000,9.660000,66.840000,0.680000,185.080000,0,0.480000,0.980000,46.620000,0.000000,96.600000,10.510000,31.550000,19.320000,31.550000,0.630000,31.550000,0.000000,69.400000,48.300000,23.140000,0.610000,0.000000,92.530000,62.080000,241.500000,0.350000,1925.05

2,00:15-00:30,0.000000,7.730000,46.180000,0.000000,46.180000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,0.000000,0.000000,12.930000,295.590000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,27.710000,0.000000,9.660000,66.840000,0.680000,184.750000,0,0.480000,0.980000,46.540000,0.000000,96.600000,10.490000,31.490000,19.320000,31.490000,0.630000,31.490000,0.000000,69.280000,48.300000,23.100000,0.610000,0.000000,92.370000,61.960000,241.500000,0.350000,1923.22
