Block,Time Block,DADRI_GF,DADRI_LF,DADRI_CRF,AURY_RF,DADRI_RF,TelanganaSTPP,AURY_GF,UNCHAHAR2,ANTA_GF,URI,AURY_CRF,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,AURY_LF,URI2,UNCHAHAR3,ANTA_LF,SIMHST2,TALST2,SINGRAULI_HYDRO,TALA,SINGRAULI,TANAKPUR,TANDA2,TEHRI,JHAJJAR,FSTPP I & II,SIMHST1,SALAL,SEWA2,SASAN,RIHAND3,RAPPB,NLCIIST2,RIHAND2,NLCTS2EXP,NNTPP,RAMPUR,RIHAND1,NTPL,RSTPSU1TO6,PARBATI3,RAPPC,RSTPSU7,NLCIIST1,MAPS,NAPP,NJPC,NLCEXP,DHAULIGNGA,DULHASTI,DADRT2,CHAMERA1,BSIUL,CHAMERA3,BRBCL,CHAMERA2,KISHANGANGA,KUDGI,KHSTPP-II,KGSU1AND2,KHSTPP-I,KGSU3AND4,KKNP,KKNPPU2,KOTESHWR,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,7.5,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,15.82,361,0,0,0,19.2,0,0,0,91.85,0,18.38,0,0,0,8.52,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,7.5,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,15.82,361,0,0,0,19.2,0,0,0,91.85,0,18.38,0,0,0,8.52,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,7.5,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,15.82,361,0,0,0,19.2,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,7.5,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,15.82,361,0,0,0,19.2,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,7.5,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,15.65,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,7.5,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,14.61,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,1.97,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,15.74,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,1.97,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,16.63,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,1.48,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,17.6,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,1.48,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,17.68,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,1.48,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,18.62,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,22.38,0,1.07,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,1.48,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,16.63,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,22.38,0,0.63,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,1.48,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,17.6,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,22.38,0,0.63,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,1.48,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,17.68,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,22.38,0,0.63,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0.62,0,134.12,1.48,0,0,229.52,10.98,0,1.34,0,402.06,59.68,0,0,114.02,0,0,0,43.2,0,0,0,51.78,0,0,0,42.24,0,0,0,0,361,0,0,0,18.62,0,0,0,78.32,0,18.38,0,0,0,8.52,0,0,0,0,0,0

