,,TELANGANA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,MANIPUR,NA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,
,,NAVABHARAT,NIRANISUGAR,SHPPBPL,SHPPBPL,JPL,BRPL,ILFS,GBHHPL,SHPPBPL,CHANJUII,KPRSUGAR,Manipur_Ben,JSPL_DCPP,VISHWARAJSUGAR,SHPPBPL,SHPPBPL,IPCL_WB,SHPPBPL,SEIL,APNRL,SHPPBPL,BYPL,JPNIGRIE_JNSTPP,SHPPBPL,SHPPBPL,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,MAX-HPTL,JHPL-DL,BRPL,ASIL_UP,BRPL,DIAPL,BAL234,TPDDL,BRPL,STT,BRPL,BRPL,MHIL,BAL184,NDMC,BAL224,TPDDL,TPDDL,AISHER,AMBASTL,BRPL,BMDRC,UHL,MES (Delhi),BYPL,BRPL,
,,South-West-North,South-East-North,North-North,North-North,West-North,North-North,South-West-North,North-North,North-North,North-North,South-West-North,North East-East-North,West-North,South-West-North,North-North,North-North,East-North,North-North,South-West-North,East-North,North-North,North-North,West-North,North-North,North-North,West-North,North-North,North-North,
8,01:45-02:00,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.750000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,494.02

9,02:00-02:15,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.650000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.92

10,02:15-02:30,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.650000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.92

11,02:30-02:45,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.650000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.92

12,02:45-03:00,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.650000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.92

13,03:00-03:15,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

14,03:15-03:30,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

15,03:30-03:45,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

16,03:45-04:00,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

17,04:00-04:15,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

18,04:15-04:30,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

19,04:30-04:45,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

20,04:45-05:00,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

21,05:00-05:15,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

22,05:15-05:30,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

23,05:30-05:45,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

24,05:45-06:00,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.560000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.83

25,06:00-06:15,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.470000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.74

26,06:15-06:30,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.470000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0,0,0,493.74

27,06:30-06:45,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.470000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0.28,0,0,494.02

28,06:45-07:00,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,28.540000,0.610000,8.470000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0.6,1.5,3.5,499.34

29,07:00-07:15,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,25.470000,0.610000,8.380000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,0.99,4.8,11.2,507.57

30,07:15-07:30,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,25.470000,0.610000,8.380000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,1.5,10.2,23.8,526.08

31,07:30-07:45,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,25.470000,0.610000,8.380000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,2.09,15,35,542.67

32,07:45:08:00,115.740000,9.640000,0.530000,0.600000,49.910000,0.000000,99.830000,25.470000,0.610000,8.380000,17.360000,2.890000,48.220000,14.470000,0.360000,0.310000,0.000000,0.310000,24.110000,20.590000,0.450000,0.000000,49.910000,0.530000,0.360000,2.71,19.5,45.5,558.29

33,08:00-08:15,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,25.470000,0.610000,8.290000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,0.000000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,3.32,24.3,56.7,574.82

34,08:15-08:30,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,25.470000,0.610000,8.290000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,0.000000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,3.91,28.5,66.5,589.41

35,08:30-08:45,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,25.470000,0.610000,8.290000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,0.000000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,4.5,33.6,78.4,607

36,08:45:09:00,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,25.470000,0.610000,8.290000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,0.000000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,5.1,39,91,625.6

37,09:00:09:15,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,25.470000,0.610000,8.200000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,5.65,43.5,101.5,665.17

38,09:15-09:30,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,25.470000,0.610000,8.200000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,6.17,49.2,114.8,684.69

39,09:30-09:45,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,25.470000,0.610000,8.200000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,6.66,54,126,701.18

40,09:45-10:00,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,25.470000,0.610000,8.200000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,7.1,60,140,721.62

41,10:00-10:15,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,27.520000,0.610000,8.100000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,7.48,61.5,143.5,728.95

42,10:15-10:30,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,27.520000,0.610000,8.100000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,7.85,66.6,155.4,746.32

43,10:30-10:45,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,27.520000,0.610000,8.100000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,8.11,69.6,162.4,756.58

44,10:45-11:00,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,27.520000,0.610000,8.100000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,8.39,72,168,764.86

45,11:00-11:15,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,8.100000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,8.6,73.5,171.5,810.07

46,11:15-11:30,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,8.100000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,8.83,74.1,172.9,812.3

47,11:30-11:45,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,8.100000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,8.88,74.1,172.9,812.35

48,11:45-12:00,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,8.100000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,9.02,75,175,815.49

49,12:00-12:15,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,8.010000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,9.05,75,175,815.43

50,12:15-12:30,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,8.010000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,9.12,75,175,815.5

51,12:30-12:45,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,8.010000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,9,75,175,815.38

52,12:45-13:00,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,8.010000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,8.93,75,175,815.31

53,13:00-13:15,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,8.6,75,175,814.89

54,13:15-13:30,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,8.46,75,175,814.75

55,13:30-13:45,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,8.65,75,175,814.94

56,13:45-14:00,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,8.47,75,175,814.76

57,14:00-14:15,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,8.01,74.1,172.9,811.3

58,14:15-14:30,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,4.91,74.1,172.9,808.2

59,14:30-14:45,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,3.82,72,168,800.11

60,14:45-15:00,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,6.33,69.6,162.4,794.62

61,15:00-15:15,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,6.86,67.8,158.2,789.15

62,15:15-15:30,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,5.54,63.9,149.1,774.83

63,15:30-15:45,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,5.75,59.1,137.9,759.04

64,15:45-16:00,115.740000,9.640000,0.560000,0.590000,49.910000,30.000000,99.830000,27.520000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,5.27,55.5,129.5,746.56

65,16:00-16:15,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,30.570000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,4.61,50.1,116.9,700.95

66,16:15-16:30,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,30.570000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,3.28,43.5,101.5,677.62

67,16:30-16:45,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,30.570000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,3.19,39,91,662.53

68,16:45-17:00,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,30.570000,0.610000,7.920000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,24.110000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,2.85,31.5,73.5,637.19

69,17:00-17:15,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,30.570000,0.610000,8.010000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,0.000000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,2.26,27,63,597.58

70,17:15-17:30,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,30.570000,0.610000,8.010000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,0.000000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,1.68,18.9,44.1,570

71,17:30-17:45,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,30.570000,0.610000,8.010000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,0.000000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,1.14,12,28,546.46

72,17:45-18:00,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,30.570000,0.610000,8.010000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,0.000000,0.300000,24.110000,20.590000,0.440000,10.000000,49.910000,0.560000,0.350000,0.69,10.5,24.5,541.01

73,18:00-18:15,115.740000,9.640000,0.560000,0.590000,49.910000,0.000000,99.830000,30.570000,0.610000,8.100000,17.360000,2.890000,48.220000,14.470000,0.350000,0.310000,0.000000,0.300000,24.110000,20.590000,0.440000,0.000000,49.910000,0.560000,0.350000,0.37,9,21,525.78

