Column1,Block,NR/2024/23769/A/42920,NR/2024/23420/A/42926,NR/2024/23909/A/43040,WR/2024/24788/A/43092,NR/2024/23809/A/42919,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9061,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5474,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/9042,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/4503,NR/30092023/26122029/SH-06,NR/2024/23932/C,NR/2024/23940/C,NR/2024/23941/C,Total
,,IEXL,ITCLH,DIAPL,APPCPL,IEXL,NDMC,PTC,NDMC,NDMC,DELHI,NDMC,MANIKARAN,PTC,APPCPL,NDMC,BAWANA_GAS,NDMC,PUNJAB,NVVNL,SJVNL,SJVNL,
,,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,DELHI_UT,KARNATAKA_STATE,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,NA,NA,
,,NSLSUGAR,ITCWIND,GBHHPL,BRPL,NSLSTUNGBHDRA,RKM_POWER,BYPL,RKM_POWER,JPL2,CHANJUII,SKS_Raigarh,BRPL,BRPL,BYPL,JITPL,BAWANA_GAS,TRN_ENERGY,BAWANA_GAS,SOLAPUR_SOLAR,RSRPL_BKN,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,MSEB_State,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,ITCLH,DIAPL,GOA_Beneficiary,MES_Delhi,NDMC,HP,NDMC,NDMC,TPDDL,NDMC,AEML,HP,AEML,NDMC,HARYANA,NDMC,PUNJAB,MES_Delhi,NDMC,NDMC,
,,South-West-North,South-West-North,North-North,North-West,South-West-North,West-North,North-North,West-North,West-North,North-North,West-North,North-West,North-North,North-West,East-North,North-North,West-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

2,00:15-00:30,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

3,00:30-00:45,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

