Column1,Time,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/2197,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1766,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/12/01/3428,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/12/01/1475,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,GNA/NR/2024/12/20/4544,NR/01102023/22052037/LT-59,GNA/NR/2024/12/01/7739,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/SR/2024/12/01/6968,NR/01102023/31102037/L_NR_2019_11,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.62,1.74,24.73,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,35.83,0,81.66,35.83,107.51,36.67,81.67,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.62,1.74,24.73,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,35.83,0,81.66,35.83,107.51,36.67,81.67,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.62,1.74,25.74,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,36.17,0,81.34,36.17,108.49,36.67,81.33,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.62,1.74,25.74,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,36.5,0,80.66,36.5,109.5,36.67,80.67,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.62,1.74,25.74,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,38.33,0,83.34,38.33,115.01,36.67,83.33,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.62,1.74,25.74,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,38.33,0,82.66,38.33,115.01,36.67,82.67,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.62,1.74,25.74,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,38.33,0,82,38.33,115.01,36.67,82,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.62,1.74,25.74,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,38.33,0,81,38.33,115.01,36.67,81,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.57,1.84,25.74,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,40,0,88.66,40,120,38.33,88.67,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,6,95.13,25.97,0,8.66,25.97,64.44,8.66,0,57.42,25.97,0,1.57,1.84,25.74,0,0,0,0,70.13,0,0.69,31.71,0,52.9,150,1.14,40,0,88.66,40,120,38,88.67,0,0,0,0,0,0,0,0,0,0

