Time,Block,NR/2023/17358/C,ER/2023/11091/C,NR/2023/17350/C,NR/2023/16191/A,NR/2023/13385/A,NR/2023/16185/A,NR/2023/16073/A,NR/2023/17345/D,NR/2023/13150/A,NR/2023/17351/C,NR/2023/17363/C,NR/2023/13165/A,NR/2023/13254/A,NR/2023/13253/A,NR/2023/17357/C,NR/2023/13387/A,NR/2023/17349/C,NR/2023/13148/A,NR/2023/13168/A,NR/2023/13383/A,NR/2023/17355/C,NR/2023/15770/A,NR/2023/17354/C,NR/2023/16291/F,NR/2023/16077/A,NR/2023/17343/D,NR/2023/17356/C,Total
,,IEXL,HPXL,PXIL,MANIKARAN,NVVNL,MANIKARAN,APPCPL,NVVNL,KEIPL,PXIL,SJVNL,GMRETL,APPCPL,APPCPL,IEXL,NVVNL,GBHHPL,KEIPL,GMRETL,APPCPL,PXIL,NVVNL,TPDDL,ITCLH,APPCPL,NVVNL,HPXL,Total

,,NA,DELHI,DELHI,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,GOA,NA,MEGHALAYA,DELHI,UTTAR PRADESH,MEGHALAYA,MEGHALAYA,UTTARAKHAND,NA,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,
,,MCCPL,BYPL,BYPL,HP,JP BINA,HP,GOA_Beneficiary,KAMENG,Meghalaya_Ben,BYPL,BCMLB001,Meghalaya_Ben,Meghalaya_Ben,UTTARAKHAND,RKM_POWER,JPNIGRIE_JNSTPP,GBHHPL,Meghalaya_Ben,Meghalaya_Ben,HP,RKM_POWER,SKS Raigarh,CHANJUII,ITCWIND,HP,SOLAPUR_SOLAR,Teesta_III,
,,DELHI,ODISHA,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,VLSEZ,AMBASTL,BRPL,BRPL,BRPL,BRPL,TPDDL,BYPL,ASIL_UP,NDMC,BYPL,BYPL,BYPL,BRPL,BRPL,DIAPL,BYPL,BYPL,BYPL,BRPL,NDMC,TPDDL,ITCLH,BRPL,MES (Delhi),BRPL,
,,West-East-North,North-East,North-North,North-North,West-North,North-North,West-North,North East-East-North,North East-East-North,North-North,North-North,North East-East-North,North East-East-North,North-North,West-East-North,West-North,North-North,North East-East-North,North East-East-North,North-North,West-North,West-North,North-North,South-West-North,North-North,West-North,East-North,
1,00:00-00:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,0.000000,9.170000,0.860000,85.320000,0,428.990000,1340.93

2,00:15-00:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,0.000000,9.170000,0.860000,85.320000,0,395.400000,1307.34

3,00:30-00:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,0.000000,9.170000,0.860000,85.320000,0,394.440000,1306.38

4,00:45-01:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,0.000000,9.170000,0.860000,85.320000,0,376.200000,1288.14

5,01:00-01:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,143.960000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,0.000000,9.070000,0.620000,85.320000,0,369.480000,1233.1

6,01:15-01:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,143.960000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,0.000000,9.070000,0.620000,85.320000,0,383.880000,1247.5

7,01:30-01:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,143.960000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,0.000000,9.070000,0.620000,85.320000,0,365.650000,1229.27

8,01:45-02:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,143.960000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,0.000000,9.070000,0.620000,85.320000,0,333.980000,1197.6

9,02:00-02:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,28.790000,8.980000,0.620000,85.320000,0,358.930000,1107.29

10,02:15-02:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,28.790000,8.980000,0.620000,85.320000,0,332.060000,1080.42

11,02:30-02:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,28.790000,8.980000,0.620000,85.320000,0,309.020000,1057.38

12,02:45-03:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,36.210000,34.550000,36.560000,0.000000,28.790000,8.980000,0.620000,85.320000,0,280.230000,1028.59

13,03:00-03:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,36.560000,0.000000,28.790000,8.890000,0.620000,85.320000,0,244.720000,956.78

14,03:15-03:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,36.560000,0.000000,28.790000,8.890000,0.620000,85.320000,0,227.450000,939.51

15,03:30-03:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,36.560000,0.000000,28.790000,8.890000,0.620000,85.320000,0,221.690000,933.75

16,03:45-04:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,36.560000,0.000000,28.790000,8.890000,0.620000,85.320000,0,193.860000,905.92

