Column1,Block,SR/2025/17432/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7663,NR/2025/28126/C,GNA/NR/2025/06/01/9719,NR/2025/28195/C,NR/2025/28184/C,NR/2025/28197/C,NR/2025/28154/C,NR/2025/28185/C,NR/2025/28198/C,NR/2025/28156/C,NR/2025/28186/C,NR/2025/28157/C,NR/2025/28187/C,NR/2025/28188/C,NR/30092023/26122029/SH-06,NR/2025/28159/C,NR/30092023/31122025/SH-07,NR/2025/26860/A/78162,NR/2025/26570/A/78433,NR/2025/27167/A/78196,NR/2025/27727/A/78466,NR/2025/26564/A/78431,NR/2025/26563/A/78430,NR/2025/28211/C,NR/2025/27725/A/78469,NR/2025/27281/A/78587,NR/2025/28100/C,NR/2025/27359/A/78166,NR/2025/26777/A/78146,NR/2025/27157/A/78032,NR/2025/26569/A/78432,NR/2025/28107/C,NR/2025/26785/A/78073,NR/2025/27242/A/78194,NR/2025/27782/A/78465,NR/2025/27724/A/78134,NR/2025/27499/A/78490,NR/2025/27162/A/78477,NR/2025/26085/A/78023,NR/2025/27168/A/78199,NR/2025/28212/C,NR/2025/27728/A/78467,NR/2025/27393/A/78163,NR/2025/27726/A/78468,NR/2025/27462/A/78053,NR/2025/26861/A/78443,NR/2025/28213/C,NR/2025/26952/A/78111,NR/2025/26889/A/78491,NR/2025/26445/A/78533,NR/2025/27088/A/78529,NR/2025/26561/A/78429,NR/2025/27360/A/78165,NR/2025/26975/A/78479,NR/2025/27361/A/78164,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/78167,NR/2025/27622/A/78052,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4973,Total
,,IEXL,DELHI,SIMHAPURI,PXIL,NVVNL,INSTINCT,APPCPL,APPCPL,BRPL,APPCPL,APPCPL,PowerPulse,APPCPL,PowerPulse,APPCPL,APPCPL,PUNJAB,PowerPulse,BAWANA_GAS,BRPL,PowerPulse,PTC,APPCPL,PowerPulse,PowerPulse,NVVNL,APPCPL,MANIKARAN,MANIKARAN,BRPL,INSTINCT,KEIPL,PowerPulse,IEXL,IEXL,GMRETL,APPCPL,DIAPL,HPXL,APPCPL,ITCLH,PTC,NVVNL,APPCPL,BRPL,APPCPL,IEXL,PowerPulse,NVVNL,PXIL,HPXL,NVVNL,NVVNL,PowerPulse,BRPL,APPCPL,BRPL,SECI_Trader,BRPL,IEXL,APPCPL,KEIPL,NDMC,PTC,INSTINCT,PowerPulse,MANIKARAN,PTC,APPCPL,
,,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,NA,Manipur_State,NA,NA,CSEB_State,NA,NA,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,NA,GoHP_Chamera1_STATE,NA,NA,NA,NA,NA,CSEB_State,CSEB_State,NA,NA,CSEB_State,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,JK_and_LADAKH_UT,CSEB_State,ANDHRA_PRADESH_STATE,GoHP_Rampur_STATE,NA,NA,NA,NA,MSEB_State,NA,NA,NA,MSEB_State,NA,NA,NA,NA,Manipur_State,NA,NA,NA,NA,CSEB_State,CSEB_State,NA,ODISHA_STATE,NA,NA,MP_State,TELANGANA_State,NA,
,,BYPL,CHANJUII,SIMHAPURI,MBMP,JHABUA_IPP,JPL2,SKS_Raigarh,Manipur_Ben,JPL2,RKM_POWER,CSEB_Beneficiary,MAHAN_ENERGEN,JPL2,APL_Raigarh_TPP,TRN_ENERGY,RKM_POWER,BAWANA_GAS,APL_Raipur_TPP,BAWANA_GAS,JPL2,APL_Raigarh_TPP,GoHP_Chamera1,JPL2,MAHAN_ENERGEN,MAHAN_ENERGEN,Kameng,SKS_Raigarh,CSEB_Beneficiary,CSEB_Beneficiary,RIHAND1,JPL2,CSEB_Beneficiary,APL_Raigarh_TPP,MBMP,MBMP,GBHHPL,TRN_ENERGY,GBHHPL,O2Z,CSEB_Beneficiary,ITCWIND,GoHP_Rampur,SORANG_HEP,RKM_POWER,DADRT2,RKM_POWER,JSWEL_MSEB,COASTGEN,ILFS,MBMP,GRETAENERGY,JPNIGRIE_JNSTPP,ILFS,APL_Raipur_TPP,RIHAND2,Manipur_Ben,RIHAND3,APSEPL_FTG,TS1PL_BKN,TPSL_BKN2,CSPDCL,CSPDCL,JIPL,NBVL_OTCL,SIMHAPURI,COASTGEN,BLAPOWER_MP,NAVABHARAT,DBPL,
,,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TANGEDCO,TPDDL,BRPL,BRPL,BRPL,BRPL,NDMC,BYPL,BRPL,NDMC,BYPL,TPDDL,NDMC,TPDDL,NDMC,NDMC,PUNJAB,TPDDL,HARYANA,BRPL,TPDDL,BRPL,NDMC,TPDDL,TPDDL,TPDDL,NDMC,BYPL,BYPL,BRPL,BRPL,BYPL,TPDDL,NDMC,NDMC,BRPL,NDMC,DIAPL,BYPL,BYPL,ITCLH,BRPL,TPDDL,NDMC,BRPL,NDMC,MES_Delhi,BRPL,BRPL,BRPL,BYPL,TPDDL,BRPL,TPDDL,BRPL,BYPL,BRPL,TPDDL,BRPL,MES_Delhi,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-West-South,North-North,South-East-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,West-North,South-West-North,North-North,North-North,West-North,North-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,West-North,East-North,East-West-North,South-West-North,South-West-North,West-North,South-West-North,West-North,
1,00:00-00:15,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,30,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,8.69,55.92,0.68,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2405.2900000000004

2,00:15-00:30,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,30,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,8.69,55.92,0.68,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2405.2900000000004

