Block,Time,L_NR_2022_10,L_NR_2020_07,L_NR_2020_05,L_NR_2018_61,L_NR_2022_08,L_NR_2012_07,L_NR_2021_13,L_NR_2020_02,L_NR_2019_07,L_NR_2019_05,L_NR_2021_16,L_NR_2019_06,L_NR_2021_15,L_NR_2012_02,L_NR_2019_19,LT-36,L_NR_2022_09,L_NR_2020_06,L_NR_2021_14,LT-31,L_NR_2021_17,LT-05,LT-59,L_NR_2021_12,SH-06,L_NR_2012_01,LT-35,L_NR_2023_07,L_NR_2019_11,L_NR_2023_10,SH-07,L_NR_2012_04,L_NR_2023_04
1,00:00-00:15,15.3,6.66,20,33.92,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.3,6.67,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,28.750000

2,00:15-00:30,15.3,6.66,20,33.56,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.3,6.67,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,28.750000

3,00:30-00:45,15.35,6.66,20,33.22,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.35,6.67,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,28.750000

4,00:45-01:00,15.55,6.66,20,33.07,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.55,6.67,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,28.750000

5,01:00-01:15,15.63,6.66,20,33.02,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.63,6.67,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,28.750000

6,01:15-01:30,15.74,6.66,20,32.96,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.74,6.67,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,28.750000

7,01:30-01:45,15.77,6.66,20,32.64,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.77,6.67,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,28.750000

8,01:45-02:00,15.66,7.5,22.5,32.39,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.66,7.5,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,28.750000

9,02:00-02:15,15.48,7.5,22.5,32.38,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.48,7.5,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,29.750000

10,02:15-02:30,15.46,7.5,22.5,32.28,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.46,7.5,0,0.000000,0,115.990000,5.210000,0,14.950000,101.250000,0.000000,0,4.920000,0,14.950000,271.860000,29.750000

11,02:30-02:45,15.39,7.5,22.5,32.25,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.39,7.5,0,0.000000,0,115.990000,5.210000,0,23.280000,101.250000,0.000000,0,4.920000,0,23.280000,271.860000,29.750000

12,02:45-03:00,15.3,7.16,21.5,32.19,6.67,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,15.3,7.17,0,0.000000,0,115.990000,5.210000,0,23.280000,101.250000,0.000000,0,4.920000,0,23.280000,271.860000,29.750000

13,03:00-03:15,15.41,6.84,20.5,31.68,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,15.41,6.83,0,0.000000,0,115.990000,5.130000,0,23.280000,101.250000,0.000000,0,4.840000,0,23.280000,271.860000,29.750000

14,03:15-03:30,15.19,6.66,20,27.68,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,15.19,6.67,0,0.000000,0,115.990000,5.130000,0,23.280000,101.250000,0.000000,0,4.840000,0,23.280000,271.860000,29.750000

15,03:30-03:45,14.86,6.66,20,27.28,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,14.86,6.67,0,0.000000,0,115.990000,5.130000,0,26.010000,101.250000,0.000000,0,4.840000,0,26.010000,271.860000,29.750000

16,03:45-04:00,14.62,6.66,20,26.65,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,14.62,6.67,0,0.000000,0,115.990000,5.130000,0,26.010000,101.250000,0.000000,0,4.840000,0,26.010000,271.860000,29.750000

17,04:00-04:15,14.5,6.66,20,25.66,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,14.5,6.67,0,0.000000,0,115.990000,5.130000,0,26.010000,101.250000,0.000000,0,4.840000,0,26.010000,271.860000,29.750000

18,04:15-04:30,14.39,6.66,20,24.79,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,14.39,6.67,0,0.000000,0,115.990000,5.130000,0,26.010000,101.250000,0.000000,0,4.840000,0,26.010000,271.860000,29.750000

19,04:30-04:45,14.38,6.66,20,24.11,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,14.38,6.67,0,0.000000,0,75.810000,5.130000,0,26.010000,101.250000,0.000000,0,4.840000,0,26.010000,271.860000,29.750000

20,04:45-05:00,14.38,6.66,20,23.63,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,14.38,6.67,0,0.000000,0,75.810000,5.130000,0,26.010000,101.250000,0.000000,0,4.840000,0,26.010000,271.860000,29.750000

21,05:00-05:15,13.33,6.66,20,20.08,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,13.33,6.67,0,0.000000,0,75.810000,5.130000,0,26.010000,101.250000,0.000000,0,4.840000,0,26.010000,271.860000,28.790000

22,05:15-05:30,13.33,6.66,20,19.68,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,13.33,6.67,0,0.000000,0,75.810000,5.130000,0,26.010000,101.250000,0.000000,0,4.840000,0,26.010000,271.860000,28.790000

23,05:30-05:45,13.33,6.66,20,19.28,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,13.33,6.67,0,0.000000,0,84.350000,5.130000,0,26.010000,101.250000,0.000000,0,4.840000,0,26.010000,271.860000,28.790000

24,05:45-06:00,13.33,6.66,20,18.93,6.67,74.120000,0,4.650000,0,0,0,0,0,261.560000,0,0.000000,13.33,6.67,0.18,0.000000,0,115.990000,5.130000,0,24.550000,101.250000,0.000000,0,4.840000,0,24.550000,271.860000,28.790000

25,06:00-06:15,13.33,6.66,20,18.46,6.67,74.120000,0,4.650000,6.66,0,1,0,0,261.560000,0.185136,0.000000,13.33,6.67,1.66,0.000000,0,115.990000,5.130000,0,24.550000,101.250000,0.000000,0,4.690000,0,24.550000,271.860000,28.790000

26,06:15-06:30,13.33,6.66,20,20.06,6.67,74.120000,0,4.650000,10.22,2.04,3,0,0,261.560000,4.316592,0.010000,13.33,6.67,3.79,0.010000,2,115.990000,5.130000,0,24.550000,101.250000,0.010000,0,4.690000,0,24.550000,271.860000,28.790000

