Block,Time Block,KKNP,KKNPPU2,KOTESHWR,KOLDAM,SALAL,SEWA2,TALA,RIHAND3,RIHAND2,SASAN,SIMHST1,SINGRAULI_HYDRO,RIHAND1,TANDA2,SIMHST2,TALST2,RSTPSU1TO6,RSTPSU7,SINGRAULI,TANAKPUR,CHAMERA2,BSIUL,CHAMERA1,BRBCL,CHAMERA3,KHSTPP-I,KGSU1AND2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,DULHASTI,DADRT2,KHSTPP-II,JHAJJAR,DADRI_RF,DADRI_LF,KISHANGANGA,AURY_RF,AURY_CRF,AURY_LF,DADRI_CRF,AURY_GF,DADRI_GF,UNCHAHAR1,UNCHAHAR4,ANTA_GF,URI2,ANTA_CRF,UNCHAHAR3,ANTA_RF,TelanganaSTPP,UNCHAHAR2,URI,ANTA_LF,VALLURNTECL,TEHRI,PARBATI3,RAPPC,NLCEXP,RAPPB,NLCIIST1,NLCIIST2,NJPC,NLCTS2EXP,RAMPUR,NNTPP,NTPL,NAPP,KUDGI,MAPS,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,8.6,0,25.36,0,10.84,120.6,115.21,336.14,0,0,44.62,0,0,0,0,0,123.69,12.67,12.78,0,0,14.55,9.39,43.58,0,17.68,20.18,0,47.95,255,143.87,440.73,0,0,0,0,0,0,0,0,0,19.95,0,0,26.1,0,0,0,0,41.13,6.43,0,0,45.29,0,50.1,0,0,0,0,68.07,0,0,0,0,39.78,0,0,0,0,0,0,0

2,00:15-00:30,0,0,8.6,0,25.36,0,10.84,120.6,115.21,336.14,0,0,44.62,0,0,0,0,0,123.69,12.67,12.78,0,0,14.55,9.39,43.58,0,17.68,20.18,0,47.95,254.87,143.87,440.73,0,0,0,0,0,0,0,0,0,19.95,0,0,26.1,0,0,0,0,41.13,6.43,0,0,45.29,0,50.1,0,0,0,0,68.07,0,0,0,0,39.78,0,0,0,0,0,0,0

3,00:30-00:45,0,0,8.6,0,25.36,0,10.58,120.6,115.21,336.14,0,0,44.62,0,0,0,0,0,123.69,12.67,12.78,0,0,14.55,9.39,43.58,0,17.68,20.18,0,47.95,219.98,143.87,440.73,0,0,0,0,0,0,0,0,0,19.95,0,0,26.1,0,0,0,0,41.13,7.5,0,0,45.29,0,50.1,0,0,0,0,68.07,0,0,0,0,39.78,0,0,0,0,0,0,0

4,00:45-01:00,0,0,8.6,0,25.36,0,10.58,120.6,115.21,336.14,0,0,44.62,0,0,0,0,0,123.69,12.67,12.78,0,0,14.55,9.39,43.58,0,17.68,20.18,0,47.95,219.98,143.87,440.73,0,0,0,0,0,0,0,0,0,19.95,0,0,26.1,0,0,0,0,41.13,7.5,0,0,30.2,0,50.1,0,0,0,0,68.07,0,0,0,0,39.78,0,0,0,0,0,0,0

5,01:00-01:15,0,0,8.6,0,25.36,0,10.58,120.6,115.21,336.14,0,0,44.62,0,0,0,0,0,123.69,11.19,12.78,0,0,14.55,9.39,43.58,0,17.68,20.18,0,47.95,219.98,143.87,440.73,0,0,0,0,0,0,0,0,0,19.95,0,0,5.22,0,0,0,0,41.13,7.5,0,0,30.2,0,50.1,0,0,0,0,68.07,0,0,0,0,39.78,0,0,0,0,0,0,0

6,01:15-01:30,0,0,8.6,0,25.36,0,10.58,120.6,115.21,336.14,0,0,44.62,0,0,0,0,0,123.69,11.19,12.78,0,0,14.55,9.39,43.58,0,17.68,20.18,0,47.95,219.98,143.87,440.73,0,0,0,0,0,0,0,0,0,19.95,0,0,5.22,0,0,0,0,41.13,7.5,0,0,14.48,0,50.1,0,0,0,0,68.07,0,0,0,0,39.78,0,0,0,0,0,0,0

